feature,importance_gain,importance_split
R_emaildomain,718887.4754888862,1995
P_emaildomain,617892.7083628625,9858
TransactionAmt,545134.8765453845,28292
card1,538453.3519623429,27363
TransactionDT,518297.4750293121,29364
C1,503045.93005634844,4413
card2,490690.9817725867,23938
addr1,469954.19256619364,25029
id_31,454949.21476234496,9121
V294,454117.19156490266,532
DeviceInfo,412673.2587696314,8263
C13,380684.61381591856,7582
C14,364458.153293252,3224
card1_prior_count_7d,363020.9823227003,22083
D2,354541.6574961692,6610
V258,333342.2671315819,234
card1_time_since_previous_hours,287755.7889468968,24685
D15,264398.3815009296,10516
V70,252826.8214595914,472
id_30,236865.8078148961,3783
dist1,225204.9748654589,13204
C5,213927.21651005745,1513
card1_prior_count_24h,198652.762044549,13727
id_33,195693.17308801413,2902
D10,195305.52960202843,7617
card5,191972.9768051207,8937
V69,190530.2518889159,419
D4,182562.92867864668,7558
C11,176111.81317199767,2989
hour_in_day,155030.1427230835,14503
card6,152165.88783743978,619
D1,152079.20629267395,4523
V308,149547.83507099748,1298
C2,133852.86811725795,4001
C6,108857.27167601883,2905
D11,104959.24813334644,5282
D3,103689.55290438235,4381
M5,101253.3167828545,3635
M6,90656.28439937532,3206
D5,88230.7370018512,4900
elapsed_days,79476.39863312244,5781
day_in_week_cycle,78776.25672765076,8395
id_02,76526.97126121074,7063
card3,75971.5837302357,940
V90,71801.26654228568,482
V310,71411.6983641088,2216
D8,69387.39613252878,3985
V315,68450.47594874352,1625
id_01,68144.39484149218,1952
id_20,66396.70705202222,5327
V312,65367.15762898326,1170
V91,64993.42546258867,375
M4,63509.464848443866,1338
C9,62373.63820077479,2547
V317,55243.235344305634,1176
V313,52771.23076817393,2621
V62,52578.43176445365,1205
ProductCD,51056.18720269203,342
V83,50325.114328086376,1354
id_19,47406.131154328585,4981
V307,46273.72050593048,2635
V45,45374.76509530842,908
V54,41612.006604760885,1104
V283,40273.18096213043,712
C8,39255.34454254806,973
V243,38744.822102218866,121
dist2,38721.73761276901,3802
M3,37466.62062062323,1395
V82,36784.27526049316,1294
V285,36630.26320628822,560
card4,34461.22724991292,779
V314,34460.53590853512,1643
V187,34202.13227657974,160
V320,34122.05181334913,731
V87,32555.262317851186,1165
C7,32235.259102649987,453
V311,29497.247995316982,533
V76,27775.97029262781,1212
id_05,27723.337113320827,2637
V264,26704.208827331662,576
V53,26668.790149077773,1143
M8,26320.37572593987,1684
V12,25340.492737457156,819
V38,25331.45152939111,889
id_06,25058.085641674697,2659
V130,24606.29532520473,1415
C10,24577.90646739304,936
V61,24018.297535598278,1026
V78,23197.952950775623,1111
id_13,23014.27277765423,2235
V281,22910.812959380448,644
V75,22365.01834514737,1108
V156,22364.192480519414,141
M9,22253.246135488153,1495
V36,22196.693128317595,1020
V20,21873.67946472764,851
V35,21620.44453908503,962
D6,21466.268944218755,1079
id_17,21293.118833094835,398
D14,20933.22735734284,1921
V55,20822.789011865854,428
V127,20455.12054002285,1443
V67,20293.35784764588,603
V19,19741.910028614104,746
V189,19732.02837908268,121
M7,19500.95453181863,1409
V133,19432.727500870824,539
V128,19379.099785029888,784
V13,19330.250981755555,953
V49,18711.87321893871,575
V136,17022.384646743536,520
V30,16825.670055180788,336
D13,16580.350860849023,648
id_09,16478.101558849216,497
