feature,importance_gain,importance_split
V258,839941.3331712186,214
V70,677551.8938886523,364
P_emaildomain,614957.1985093057,8681
TransactionAmt,542249.7355711758,22775
card1,515703.3491829634,21660
card2,476623.79454895854,19152
TransactionDT,470363.166252777,22384
C14,459210.5932531953,2782
id_31,453244.7257247269,7979
addr1,441913.2761346549,19991
DeviceInfo,435426.6065643728,7221
card1_prior_count,361159.32254490256,19679
D2,352734.9000313878,5549
card1_prior_count_7d,328106.4712674022,16812
C1,304295.7031532973,3717
C13,281434.35315054655,6158
V294,265096.666257143,520
card1_time_since_previous_hours,264976.53159472346,18629
D15,263154.9719044715,8668
id_30,239771.51418441534,3391
dist1,231532.41632577777,10683
D10,222965.7506376505,6643
card5,203844.48945692182,7262
id_33,194368.33553510904,2650
R_emaildomain,193222.37850818038,1782
D4,187265.9953840375,6601
V308,166452.14991146326,1047
card6,158842.71968960762,555
C11,151798.61108073592,2475
hour_in_day,149313.4978389144,11556
D1,147547.28702375293,3736
C2,142434.356539011,3344
C5,130455.9652723372,1230
C4,128460.54800921679,427
D3,120614.66203007102,3515
M5,108167.32276633382,3061
C6,104691.01740005612,2432
D11,102250.29707555473,4284
V91,94562.6896161437,361
D5,91371.95179998875,3922
M6,89842.97937470675,2765
elapsed_days,88166.79761645198,4666
V317,84975.88170012832,992
V312,84252.96038773656,912
V310,80488.49941006303,1844
day_in_week_cycle,76592.60350760818,6653
D8,76257.68666604161,3207
V30,73366.00026151538,274
id_02,72643.434023723,5587
card3,69339.86018520594,777
C9,67384.32281389832,2170
M4,64703.20572313666,1227
id_20,62623.41280734539,4267
V314,56810.480076640844,1392
V83,54290.12903878093,1133
V62,53900.16087073088,1035
V313,52378.73720932007,2161
V307,50910.29198306799,2107
V45,48566.424384981394,814
ProductCD,47571.61956393719,298
id_19,44203.70874890685,4071
V283,42476.379052221775,620
V82,41090.241059303284,1171
C8,38638.86884397268,820
V54,38543.43068253994,938
V285,38397.995640426874,508
dist2,37747.10577824712,3069
V243,37533.12980359793,91
M3,36814.89458537102,1214
V187,35273.204197347164,125
V87,33262.18487492204,984
V320,33032.929968714714,625
id_06,33020.730246305466,2193
V315,32549.00306162238,1326
card4,32338.46235522628,675
C10,31997.683996737003,760
V53,30673.850395798683,919
C7,29922.303800731897,392
D12,29594.853622853756,799
V76,28813.366727650166,993
V61,28685.28385221958,903
id_05,27979.649823322892,2091
V67,27743.10452595353,539
V38,24660.39326456189,777
V13,24409.37419551611,791
V156,24398.445961624384,119
V75,24128.587551116943,838
M9,23636.51851850748,1131
V281,23544.855922967196,494
M8,22969.893875688314,1363
V130,22836.949949651957,1119
V78,22423.632575005293,885
V12,22250.63099846244,677
id_13,21762.888999551535,1762
id_01,21753.066387206316,1514
V127,21240.518015533686,1135
V35,19929.558111041784,812
D14,19792.156531244516,1588
M7,19267.81114065647,1119
V189,18503.206583470106,119
V133,18238.262526720762,494
D13,18220.365004122257,594
V165,17714.02105779946,327
V311,17642.476723492146,440
V20,17555.118583470583,727
V55,17285.038697242737,364
D6,17113.555329084396,882
V36,17061.613290965557,827
D9,16981.565916270018,1508
id_09,16351.353169709444,431
id_17,16274.334782749414,360
V49,16115.327008128166,497
V77,15474.964086145163,537
V332,15250.075905799866,71
V19,15173.675556570292,621
V48,14909.351222664118,622
V129,14843.769155055285,376
V309,14502.339625805616,518
V37,14476.1005179286,437
V56,14290.727099478245,542
V149,14038.578565776348,136
V90,14037.963987141848,401
V282,13965.11707675457,468
V160,13928.997108727694,209
V5,13883.61410203576,688
V86,13587.284698009491,620
V296,13529.074449568987,206
V4,13435.065362364054,492
C12,13314.742981433868,717
