feature,importance_gain,importance_split
R_emaildomain,720755.1881488264,1848
P_emaildomain,608490.2776155174,9289
TransactionAmt,524316.4543828964,24979
card1,523739.65600824356,24313
TransactionDT,501653.4811127782,25247
C1,496759.8168245405,4193
card2,477916.36459222436,21242
addr1,467380.85271926224,22336
id_31,443267.93823358417,8496
V294,436518.970817104,561
DeviceInfo,413136.74122448266,7526
card1_prior_count,402023.9807074964,22651
C13,379529.90568964183,6765
C14,370314.962135002,3001
D2,362171.5647250265,5899
V258,337343.2773924321,224
card1_time_since_previous_hours,278188.6753360033,21225
V70,268205.0644413531,415
D15,252113.57993075252,9378
id_30,230436.08068795502,3548
card1_prior_count_24h,228784.98892004788,13584
dist1,214951.42182846367,11834
card5,200848.71444535255,8128
C5,197177.34720629454,1372
D10,196500.01584926248,6948
id_33,196058.89945477247,2758
V69,193804.2287735939,411
D4,190221.606826365,6944
C11,180300.21965312958,2713
hour_in_day,151460.68739257753,12514
card6,148410.17961362004,575
D1,144951.7704399824,3987
C2,136454.8372066021,3572
V308,123373.74399577081,1213
D3,112031.75879336894,3876
C6,107748.99849314988,2640
D11,107456.70448485017,4701
M5,105521.17203493416,3350
D5,91931.79184649885,4503
M6,91732.19502693415,2911
elapsed_days,82194.06406746805,4989
id_02,81854.10355402529,6109
day_in_week_cycle,78162.61350594461,7406
V312,77674.53742140532,1065
card3,76071.22520366311,862
V310,73902.35771712661,2047
V317,73770.08399298787,1066
V90,72939.66696172953,417
D8,69571.93385228515,3541
id_01,66573.33512431383,1648
id_20,66382.15157623589,4750
V313,66175.99933840334,2389
V91,64930.86504659057,338
C9,64313.26291497052,2318
M4,63304.40608949959,1278
V315,60529.319055601954,1464
V62,54703.3556368649,1089
ProductCD,52271.87979799509,320
V83,49641.59074424207,1255
V45,49070.57016055286,850
V307,48684.65611644089,2384
V82,48348.4236561805,1246
V54,43188.00304147601,1021
id_19,43085.299876242876,4367
V283,39648.50257731974,677
V87,39297.84994575381,1055
M3,39050.540330424905,1321
C8,38843.985979273915,906
V243,38669.97473780811,104
dist2,38205.478894636035,3487
V285,37892.16757017374,596
V314,34858.77803829312,1358
V187,33385.01822412014,155
V320,33327.17223253846,702
card4,32942.252168267965,710
V311,30438.81922648847,501
C10,30411.75014528632,911
C7,29556.49234431982,412
id_05,29210.56293170154,2207
V76,27879.036176741123,1077
V12,27382.097208559513,766
V281,27369.892678022385,615
V61,27209.243109360337,972
id_06,25989.690993741155,2462
M9,25760.777191758156,1283
V130,25568.864811599255,1339
V38,24888.98511469364,773
V53,24431.038279891014,988
M8,24179.374909877777,1482
D6,23021.425230681896,989
V264,22782.803578168154,593
M7,21648.032330274582,1290
V67,21613.19093027711,551
V156,21404.05878138542,152
id_17,21227.360679119825,404
V20,21120.996390759945,798
V189,20785.342622861266,106
D14,20552.512194290757,1748
id_13,20403.00462605059,1905
V78,20322.489690884948,935
V75,19984.825501680374,948
V13,18919.90885463357,852
V35,18456.434353888035,815
V36,18276.57344314456,938
V127,17748.490987330675,1311
V55,17598.45304556191,411
V102,17179.02089434862,168
V48,17107.657916352153,632
V136,17028.794526964426,469
V19,17024.147664517164,690
V49,16477.24104836583,493
V296,16469.503560841084,232
id_09,15786.654051706195,462
V30,15774.900643080473,321
D9,15346.7543643862,1640
M2,15118.01057370007,781
C12,14511.432231768966,773
V5,14446.299694687128,740
id_18,14380.570675492287,848
V149,14302.854588463902,140
V165,14032.379156008363,353
V128,14012.10026922822,671
D13,13970.226903766394,603
V56,13956.589079350233,565
V86,13905.120334893465,628
V37,13609.690333336592,507
V133,13132.930280312896,492
V77,13097.985398992896,585
V24,12692.703549191356,510
V309,12674.842754334211,584
C4,12561.889580726624,448
id_14,12075.506269231439,675
V158,11853.717291906476,45
D12,11392.164874359965,839
V291,10763.640855789185,518
V131,10740.692786157131,746
V66,10636.903334662318,375
V10,10459.979994893074,518
V282,10264.647908240557,489
V44,9875.578273117542,618
V4,9794.594183564186,531
V11,9416.987903699279,390
V159,9411.760704040527,108
V29,9323.864632487297,343
V257,9314.642993688583,127
V74,9087.882272943854,244
id_03,8906.332419976592,330
V96,8880.999132454395,375
V160,8877.637936741114,222
V7,8759.08630695939,326
addr2,8512.85690434277,252
V126,8334.14589445293,532
V224,8231.198989927769,103
V201,8071.0400947630405,49
V129,7878.43463550508,461
V23,7832.903743565083,428
V47,7465.981059640646,336
C3,7454.175279974937,81
V99,7323.35795289278,265
V289,7304.203520566225,227
V318,7195.237277016044,472
V26,7130.672844111919,373
V124,6958.264561653137,255
V2,6950.211427539587,138
D7,6874.450399160385,550
id_11,6789.478971585631,360
V306,6723.720270097256,676
V152,6620.4100835472345,191
V262,6522.657200917602,142
V169,5964.244870305061,69
V222,5718.295578762889,229
V205,5609.133830070496,69
id_38,5608.295612573624,331
V52,5577.118335530162,316
V6,5332.1761202812195,182
V25,5305.5073323100805,239
V151,5295.761053144932,58
V137,5177.7050124406815,235
V244,5110.311827540398,51
V51,4979.525557652116,325
V34,4826.570579230785,179
V135,4689.01498234272,247
V267,4568.899454534054,265
V207,4510.024453133345,107
V206,4381.395602732897,57
V139,4365.2794887423515,179
V81,4343.485937401652,197
V94,4318.86596506834,143
V234,4295.810822248459,284
V321,4261.1520355939865,276
V150,4162.675924003124,128
DeviceType,4152.67326015234,192
V319,4136.66259264946,219
V316,4097.453789055347,373
V217,4026.1824700832367,47
V333,4012.2308513224125,33
V231,3966.4997956752777,41
V221,3926.6595092117786,364
V279,3918.7340818047523,98
V64,3847.623837083578,123
V261,3834.4885018765926,331
V164,3822.50174844265,127
V3,3785.431258171797,252
V134,3744.3195074647665,224
V203,3695.0136591792107,229
V298,3660.3843743503094,69
V266,3656.1645139604807,151
V143,3650.4689703285694,99
V40,3630.408660233021,190
V163,3586.318171799183,58
V300,3536.7210409343243,166
V268,3534.781647026539,156
V275,3464.854881554842,130
V292,3455.003492936492,229
V132,3352.389489889145,224
V271,3350.4002900719643,183
V73,3081.6454667150974,232
V277,3026.5876263976097,326
V209,2937.4809682667255,117
V265,2887.132877036929,266
V274,2878.569144204259,230
V335,2863.0212867856026,60
V293,2856.7694872766733,96
id_12,2846.2184298336506,27
V301,2818.1966223418713,121
V79,2781.2142229676247,210
V58,2777.6101885437965,109
V145,2744.188650250435,97
V245,2731.7927647829056,183
V33,2713.551641136408,145
V60,2606.3455365896225,145
V256,2597.518697500229,96
V210,2574.6957587599754,74
id_16,2557.2524470835924,233
V263,2477.413995653391,203
V42,2477.001806586981,136
id_07,2414.1799227148294,150
V332,2400.467551201582,97
V295,2385.9009066820145,94
V287,2308.356985270977,105
id_04,2294.3769458532333,120
V273,2265.357922464609,129
V219,2259.622306331992,57
id_28,2243.939557135105,51
V166,2232.365325689316,129
V280,2218.4872547388077,161
V105,2207.6462660729885,73
V272,2203.9549757540226,95
V85,2174.5315489917994,126
V43,2173.7703131735325,173
V125,2132.1778796613216,85
