feature,importance_gain,importance_split
R_emaildomain,724320.967694208,1943
P_emaildomain,617349.3919050395,9672
TransactionAmt,547335.7968615443,27192
card1,520610.31687122583,25369
TransactionDT,500032.5529859364,26685
C1,491749.54640969634,4259
card2,490183.72939036787,21956
addr1,458590.3466633707,23964
id_31,447383.7523471117,8739
V294,443721.5728842765,549
DeviceInfo,408252.0519834906,7883
C13,388196.91742260754,7264
C14,374953.48857681453,3215
D2,366674.8054013252,6251
card1_prior_count,366455.0245580524,22711
V258,332774.66848145425,237
card1_prior_count_7d,308304.6538926959,18778
V70,280240.0718282312,447
D15,247663.25897949934,9928
id_30,241336.83223806322,3591
dist1,226143.43407459557,12441
card5,199045.74742656946,8469
id_33,196765.1164392233,2850
D4,196356.56692251563,7321
V69,192778.06289501488,374
C5,191999.06069797277,1429
card1_prior_count_24h,185093.4517145157,13103
C11,182143.2560302317,2833
D10,182055.60029898584,7327
hour_in_day,154870.24562060088,14007
card6,147930.5338500142,611
D1,144914.04264901578,4310
C2,136601.59240591526,3786
D3,116868.1646131128,4024
V308,115928.42629897594,1197
C6,110104.5756624639,2808
M5,109917.28861860931,3562
D11,108653.62890039384,4915
D5,91895.32510824502,4661
M6,91578.28676313162,3150
V91,80353.72032016516,384
id_02,80250.96756085753,6661
elapsed_days,79786.00339388847,5123
day_in_week_cycle,79431.81892307103,8044
card3,75058.55386762321,924
V312,74475.75460675359,1004
D8,72020.05992661417,3723
V310,71673.29368658364,2047
id_01,67991.7301197499,1830
M4,67356.31798136234,1361
V317,66669.34853169322,1068
C9,64579.489136084914,2402
id_20,64498.02689914405,5002
V315,60373.83806566894,1484
V313,58610.1635248363,2411
V62,57749.888092666864,1133
V307,57283.181257367134,2370
V45,49207.21233582497,885
V83,47964.32816323638,1244
ProductCD,47893.97376729548,317
V30,46192.384819060564,341
id_19,44789.665936142206,4770
V54,42716.203545317054,1041
V283,42218.978606045246,645
V82,40460.011792078614,1253
dist2,39030.77594155073,3650
V243,38308.45015920699,94
V87,37837.811311125755,1014
M3,37788.68313185871,1380
V285,36999.948098510504,550
card4,36648.96714437008,693
V314,35621.66466662288,1428
C8,35582.73663260043,896
V311,34856.91359388828,623
C7,32119.75732372701,456
V76,31277.476461410522,1177
V320,30533.844907298684,669
V187,29800.092671364546,135
id_05,29349.203514188528,2444
id_06,29057.030854150653,2625
C10,27221.322208568454,894
V53,25655.278650134802,1051
M9,24653.9622066319,1352
V130,24170.625836104155,1311
V12,24103.70582664013,796
M8,23432.995986819267,1526
V281,23016.71247035265,521
V127,22968.812135621905,1386
V38,22865.321803674102,814
V61,22442.849416583776,968
V264,21809.058975204825,552
D6,21646.42359508574,991
D14,21356.364340558648,1813
id_17,21219.43984657526,401
V36,21184.387855544686,998
V75,21039.960725069046,980
id_13,20952.857724279165,2084
M7,20413.31337992847,1294
V189,19999.98128992319,101
V67,19658.752998307347,563
V78,19580.145572945476,1050
V13,19460.20442841947,901
V156,19384.13222321868,125
V49,18982.302386641502,537
V55,18951.84432825446,439
V20,18791.340916782618,764
V35,18651.542449235916,895
V133,17916.321166813374,474
V48,16937.50539314747,693
V19,16696.9936119169,683
V136,16380.587121158838,486
V309,16081.620932653546,666
D9,16027.84125302732,1751
V56,15973.735421404243,585
V102,15674.041864737868,192
D13,15641.257489427924,625
id_09,15137.673847228289,481
V149,15028.091421052814,155
D12,14631.115275233984,958
C12,14591.872628390789,785
V165,14077.58083820343,393
V86,13981.9814093858,706
M2,13808.29694288969,853
V5,13422.798905909061,697
V131,13406.17982712388,736
V296,13354.362874642015,233
V37,12727.838214501739,469
id_18,12633.105134367943,913
V90,12207.037604868412,461
V77,12141.588283032179,594
C4,11847.078936859965,500
V4,11679.198817074299,554
