feature,importance_gain,importance_split
V258,836099.1134221256,223
P_emaildomain,622990.362896964,9490
TransactionAmt,567871.2123730928,27513
card1,567073.7409771979,26655
TransactionDT,541155.4467817545,29009
card2,495956.39774416387,23310
card1_prior_count,493459.6144185364,28752
addr1,474399.49505230784,23920
C14,468842.90542541444,3186
id_31,455570.17662501335,8664
DeviceInfo,411938.29601074755,7742
V294,411576.13852898777,515
D2,368175.1683561504,6252
C13,356390.44630774856,7037
C1,300968.2124596834,4079
V70,298903.22863575816,416
D15,275541.68514852226,9922
dist1,237308.26927623153,12637
id_30,214347.30180475116,3532
D10,209858.89652249217,7243
id_33,204588.39525060356,2801
card5,200804.8547602743,8791
R_emaildomain,198753.61603794992,1914
card6,195197.08589670062,608
C8,191975.452771917,838
D4,183857.8771341443,7099
V308,173363.78966218233,1119
D1,166831.91536298394,4204
hour_in_day,161192.46305564046,14648
C5,157619.38637275994,1405
C2,141755.5891393572,3694
C11,139634.5845925063,2748
M4,136068.31071962416,1367
C6,127461.07599154115,2789
M5,120689.40661755204,3571
V90,113651.97582995892,468
D11,111315.30795140564,4801
D3,110081.33428658545,3981
M6,96662.46310423315,3229
D5,91540.66241534054,4575
day_in_week_cycle,88618.88773949444,8457
elapsed_days,87488.3787663132,5505
D8,80819.0026897192,3750
id_02,77206.98916214705,6661
V91,70716.90403738618,331
V310,70506.71836352348,1998
card3,68773.12496356666,873
C9,66790.9412240088,2362
id_20,66117.7390536815,4878
V314,63543.21036246419,1442
V317,61784.27137224376,1033
V312,61590.35513454676,1035
ProductCD,60803.96916463971,320
V83,56381.567178949714,1273
V315,53133.16723488271,1425
V313,52924.9416077137,2309
V30,51809.4285646379,330
V307,51003.206618756056,2336
V62,50687.85443478823,1132
V283,50611.91286572814,690
id_19,50502.21468217671,4726
V45,46814.41076923907,898
V187,46099.71289587021,132
dist2,42219.49358187616,3696
V79,40963.499494075775,246
V82,39152.16270002723,1224
M3,39115.36606630683,1381
id_01,39032.03456747532,1831
card4,37859.96639658511,765
V320,36275.476820260286,657
V54,35145.268101766706,1011
V87,34185.87222723663,1078
V67,33854.184960111976,576
V156,32057.556065678596,128
id_06,32004.650713175535,2582
V243,31913.4860239774,110
V285,31732.0132445544,538
id_05,31626.095983967185,2523
V76,31447.109986141324,1110
V75,29449.645415976644,1074
V311,28893.16008926928,662
V35,28027.745132610202,923
M8,27713.15853704512,1594
C7,27073.79268795252,377
V38,26126.551142156124,823
C10,25993.728675067425,906
V12,25161.501833617687,778
V281,25145.459499299526,555
V53,24912.446921929717,1020
V130,24621.595343098044,1272
V165,24509.10322919488,368
V61,24156.54102599621,959
V13,23951.327872931957,900
M9,23480.368696525693,1372
V133,22865.880268618464,469
id_13,22787.34209832549,2035
V257,22403.991584673524,102
M7,21593.3304335773,1409
D6,21364.018186599016,1017
V78,21058.828741431236,921
V19,20443.503988415003,704
D14,19872.50177873671,1830
V128,19774.988702595234,659
V127,19602.634894520044,1291
V36,18982.405810683966,973
C12,18842.78959542513,816
V189,18322.05103647709,106
V49,18055.959279820323,534
V56,17886.69550266862,562
V20,17835.889185100794,706
C4,17410.171622499824,453
V48,17216.140902116895,685
V55,17040.210194021463,423
D13,16880.30280956626,648
id_09,16342.392150253057,477
V136,16042.360991314054,474
M2,15705.968028694391,886
V102,15577.165131345391,178
D9,15477.45966386795,1740
V309,15011.03725245595,594
V4,14697.86104118824,599
V86,14684.25744497776,631
V131,13983.122880652547,736
D12,13908.189002737403,888
id_14,13435.578175053,723
V5,13425.81584995985,792
V37,13082.783394694328,490
id_18,13040.80554869771,936
addr2,13028.19073408842,266
id_17,12820.605129033327,335
V126,12818.35307006538,554
V44,12804.494594588876,694
V77,12621.449882373214,651
V69,12431.407612800598,403
V29,11888.399709388614,391
V296,11780.349080368876,227
V99,11567.642005071044,225
V266,10771.082956969738,154
V10,10740.717440724373,569
V282,10519.983345106244,512
V66,10458.720533907413,415
V24,10012.514322251081,546
V26,9810.323563694954,419
V306,9509.023742377758,697
V149,9317.140302956104,130
V96,9216.725046291947,385
V291,9184.00564494729,522
id_03,9049.979205980897,363
V150,9028.025928646326,120
V129,8746.883508473635,508
V218,8669.830977886915,112
V11,8260.92037628591,408
V124,8187.906377792358,245
C3,8011.1140604019165,85
V23,7867.131046235561,418
D7,7833.128079205751,568
V224,7747.562913119793,114
V152,7728.923487260938,184
V7,7666.033814668655,328
V289,6962.933815598488,198
V47,6805.674803927541,335
V207,6801.148608505726,104
V2,6563.642242759466,123
V318,6526.53918915987,432
id_11,6358.915269315243,366
V217,6306.6831304728985,51
V169,5925.23757623136,58
V316,5852.325175791979,376
V145,5700.191111087799,81
V52,5539.5461276471615,339
V205,5492.662590056658,63
V139,5428.648849695921,187
V25,5410.9313324689865,267
V264,5357.32115355134,501
V143,5141.393185287714,116
V160,5128.446515291929,232
V244,5047.08429902792,63
V319,4890.8891433775425,224
V321,4672.676672309637,230
id_38,4607.306047648191,323
V267,4527.959793999791,309
V234,4520.160039484501,277
V74,4360.3953440487385,257
V221,4349.137782499194,394
V231,4348.184812575579,36
V51,4345.288394168019,338
V293,4331.112140774727,88
V265,4195.5598581284285,277
V137,4134.856990814209,234
V3,4082.1973322331905,268
V6,3966.384546548128,178
V159,3916.7462277412415,123
V209,3891.7181357741356,132
V135,3891.577863842249,217
V288,3866.8360132575035,116
V261,3860.8432068526745,339
V203,3721.3723162412643,240
V161,3621.9165798723698,26
V287,3601.641215622425,120
V33,3583.940298035741,161
V295,3449.593208372593,96
V81,3448.7088620066643,209
V200,3439.1458155810833,60
V300,3433.7676373124123,161
V40,3403.1851888149977,206
V271,3321.682324707508,174
V164,3231.990055769682,135
V292,3221.0160275399685,223
V280,3156.200481340289,164
V277,3103.613133057952,341
V34,3100.8290834128857,141
V201,3082.952016964555,45
V222,3077.6372335404158,274
V132,2985.0126320123672,211
V43,2936.656271159649,163
V331,2928.284626290202,41
V94,2831.233752012253,160
V332,2800.9361071288586,106
V263,2778.609908044338,218
V177,2766.285249710083,12
V63,2720.3750247359276,124
V286,2698.5673586428165,72
V270,2694.271040201187,182
V134,2661.3041686415672,218
V73,2617.649654775858,208
V163,2547.629702627659,54
V274,2498.289071828127,265
V301,2487.3590219318867,111
id_04,2433.424894094467,153
id_16,2425.0273333340883,240
V256,2410.5529520511627,97
V46,2347.2952950298786,132
V268,2305.929162710905,151
V245,2284.2705057114363,163
V64,2241.8843443989754,112
V151,2233.325479924679,59
V333,2229.8473349511623,34
V39,2209.247161537409,184
V206,2178.326209872961,83
V290,2173.5803889632225,148
V323,2080.244307041168,66
DeviceType,2071.3695169091225,208
V85,2048.887241899967,147
V220,2011.6315414011478,102
V260,1963.9398740828037,133
V251,1931.5185262262821,104
id_07,1928.6478462517262,131
V225,1897.353509902954,31
V125,1872.5939429402351,94
V59,1852.8118418455124,116
V233,1848.373937189579,52
V97,1829.6145437955856,103
id_15,1828.2580274641514,59
V262,1823.1627283096313,160
V166,1804.161074846983,108
V298,1778.6866983920336,65
V170,1773.2872008383274,67
V115,1757.0481279492378,87
id_37,1739.328425347805,174
V60,1734.1329278349876,133
V42,1708.6840609014034,115
V303,1704.5784808546305,99
V279,1698.5953495651484,101
id_08,1674.9947925060987,113
id_24,1668.5538427233696,32
V276,1663.7837918698788,211
V230,1610.8049749433994,87
id_12,1608.9402576833963,34
V259,1604.2157131880522,140
V272,1595.144471615553,100
id_25,1583.6782432496548,43
V50,1574.7526070475578,59
V105,1526.6987080276012,71
V58,1526.0267046689987,98
V208,1518.283551827073,120
V80,1514.182215332985,149
V57,1491.9854432940483,92
