feature,importance_gain,importance_split
V258,846122.2662909627,215
P_emaildomain,606928.5360016227,8698
TransactionAmt,582558.3383138478,22921
card1,566283.9716237187,23027
TransactionDT,552505.5308469534,24573
card2,523323.96164122224,20129
addr1,475174.60526281595,20297
C14,470383.35344058275,2651
id_31,446823.8493261337,7761
DeviceInfo,421927.42444756627,6965
V294,400109.12468600273,420
D2,366895.46250125766,5190
C13,345443.5644905269,5890
card1_prior_count_24h,338238.74436980486,16431
V70,311248.1300406456,362
C1,305126.3368090391,3515
D15,276092.017996788,8459
dist1,239977.3221820891,10785
D10,225316.59612256289,6231
id_30,210630.1255864203,3286
id_33,210007.13242042065,2727
R_emaildomain,209557.63950148225,1815
card5,201350.78435105085,7557
card6,195129.85239997506,615
C8,189222.7054222226,764
D4,178037.2938889861,6156
V308,177616.5483776629,1007
hour_in_day,165310.17376700044,11932
D1,161576.0805836916,3610
C2,146004.85740667582,3072
C11,141888.17576038837,2379
M4,137872.84371626377,1290
C5,137076.16559800506,1236
M5,131260.0576171577,3189
V90,123442.37070316076,379
C6,120089.32083845139,2305
D11,113270.1786826253,4062
D3,112997.48932161927,3341
M6,101311.28733217716,2800
elapsed_days,91640.29799997807,4720
D5,90937.44033533335,3871
day_in_week_cycle,87600.06674534082,6927
D8,84279.69494906068,3166
V310,80479.00611019135,1656
id_02,79556.36864441633,5330
card3,76539.94934171438,911
C9,74665.80688393116,2106
V317,70561.67146676779,904
V91,69834.94320708513,286
id_20,68102.13180699944,4047
ProductCD,62528.93087750673,297
V312,61863.868057727814,838
V314,60758.67360460758,1208
V313,57391.481472849846,2089
V62,56762.55128198862,959
V307,52484.7910040319,1891
V83,52122.342238307,1062
V283,50182.27483642101,563
V45,50010.381575882435,708
id_19,48532.4747736752,3738
V30,47881.84082084894,282
V315,45404.72128742933,1276
V187,42902.47075679898,112
dist2,39901.253737568855,3036
card4,38208.43809148669,734
V82,37376.94765353203,1088
id_01,36954.46233859658,1469
M3,36621.38086795807,1170
V54,35395.614472061396,901
V243,34542.9005073905,97
V285,33954.622242212296,482
V87,33669.819749087095,908
V76,33136.42673689127,1018
id_06,31048.242996931076,2028
id_05,30878.70897307992,2055
V156,30839.320585608482,114
V320,30749.032462626696,534
V67,30548.79200166464,473
C7,28842.29534548521,375
V61,28658.23348608613,835
V12,28044.286450505257,641
V35,27755.92467316985,826
M8,26983.700950026512,1462
C10,25930.742854595184,763
M9,25844.91449508071,1129
V79,25767.08623057604,183
V53,25355.412977695465,890
V75,24784.626188337803,943
V311,24677.64265859127,566
V165,24507.21344950795,289
V281,24152.841505676508,484
C12,23526.26611611247,708
id_13,23416.541165828705,1648
D14,22807.34914147854,1539
V38,22774.137551128864,679
V13,22755.811787724495,741
V130,22559.92713841796,1071
V36,22238.733758836985,803
M7,20533.09811335802,1164
V282,20253.820509970188,405
V20,20244.864833831787,593
V48,20217.177460074425,598
D6,19465.680695861578,879
V49,19291.219433784485,419
V127,19141.370449125767,1106
V189,19120.551160484552,95
V55,18925.655300199986,349
V19,18751.45020020008,640
V133,18414.67939031124,395
V56,18322.765386521816,510
V78,17967.28039419651,788
V257,17307.977308511734,121
V102,16979.996833264828,172
V86,16902.244427025318,544
M2,16226.268463551998,787
V296,16143.872025430202,218
V5,16028.058208286762,685
D9,15698.820527613163,1398
V136,15432.942808747292,412
C4,15336.076285660267,413
D13,15292.189336180687,543
V309,15002.444999068975,535
V69,14557.913710832596,313
D12,14045.428157627583,775
V131,13994.338003337383,626
addr2,13974.905113458633,219
id_17,13863.593175381422,340
V77,13790.78573486209,530
id_09,13762.094758570194,404
id_18,13305.754037559032,738
V4,13106.932910323143,487
V24,12867.081210434437,444
V29,12614.084926128387,305
V126,12513.741146028042,487
V44,12209.970670670271,547
V128,11830.640479654074,502
id_14,11470.207014113665,595
V291,11414.424978941679,465
V37,11107.43571639061,371
id_03,10451.254113554955,297
V266,10254.494944155216,138
V149,10209.903700053692,122
V129,10205.53940808773,383
V96,9623.873604744673,293
V10,9520.259089589119,469
V11,9496.336463809013,408
V94,9437.854894965887,157
V66,9118.899535000324,351
V23,9064.548634886742,385
V124,8885.48342871666,229
D7,8852.64444771409,500
V47,8841.734060168266,296
V150,8746.315228104591,111
V7,8636.55150771141,260
V218,8630.866519868374,103
V99,8612.159847736359,214
V318,8331.706917583942,380
V224,8262.748426914215,109
V306,8161.7727390527725,576
C3,8095.401480555534,80
V145,7966.874873101711,71
V289,7081.816715419292,181
V26,6881.2225858569145,330
V2,6756.343881368637,115
V152,6625.99734339118,171
V51,6437.20457804203,304
id_11,6231.355813711882,329
V244,6078.196334570646,52
V316,6070.948286026716,331
V137,5750.33405995369,196
V319,5681.773831009865,215
V321,5583.03076082468,227
V25,5570.762093305588,263
V207,5508.391792058945,108
V52,5413.447264134884,245
V264,5385.4945348501205,416
V74,5322.811563074589,213
V139,5318.581204622984,143
V6,5314.509852766991,148
id_38,5192.620847642422,288
V169,5161.032189399004,60
V143,4954.113757252693,99
V205,4942.709143340588,51
V265,4826.355686187744,239
V135,4626.9304456710815,203
V261,4549.79650002718,328
V234,4519.634438872337,228
V81,4497.004660308361,164
V267,4442.505387306213,225
V335,4264.755772829056,38
V280,4173.930411756039,138
V40,4061.0847640037537,197
V300,4061.0720294117928,142
V292,4050.319058537483,186
V3,4009.2328850626945,212
V34,3979.4641409516335,158
V160,3938.143934071064,182
V324,3907.202355146408,13
V132,3887.5449188947678,225
V271,3876.7427867650986,142
V161,3714.865006029606,44
V217,3713.8305635154247,33
V221,3648.779932886362,330
V222,3513.120543986559,212
V33,3489.6764158010483,136
V203,3420.06303948164,190
V231,3392.520137667656,23
V331,3385.6957311034203,46
V159,3332.4483718276024,117
V209,3276.7070899009705,99
V293,3247.219457477331,86
V288,3066.6205625534058,102
V177,2984.9431871771812,17
V201,2977.1265323758125,37
V134,2968.2741417884827,204
V277,2925.962834507227,266
V262,2865.3466432094574,147
V332,2808.872656106949,73
V151,2797.3492411375046,52
V164,2749.423549115658,108
V270,2709.3874392807484,166
V301,2707.5507385730743,102
V58,2583.5326808393,94
V39,2572.1093406677246,177
V230,2566.373148858547,73
V43,2557.6268479824066,141
id_04,2522.9111104011536,121
V290,2509.314662873745,117
V245,2501.6282117962837,148
V268,2462.564675986767,125
V115,2460.038408577442,64
V200,2451.104246467352,46
V272,2411.18566352129,88
id_07,2396.523668050766,120
V220,2386.8160225450993,87
V73,2373.3952989578247,174
V225,2296.5099724531174,31
V286,2287.2233757972717,60
V274,2265.035247296095,210
V154,2220.9347916841507,23
id_15,2198.621979236603,54
V259,2155.005831003189,120
id_16,2152.5894382596016,199
V9,2144.1203330159187,117
V46,2083.7943808436394,119
V295,2040.5345005393028,82
id_37,2020.6874641776085,153
V219,2015.0441234707832,50
V279,1972.45924654603,85
V263,1956.3637557029724,152
V64,1918.6957598924637,91
V216,1903.6483822464943,97
V206,1863.9489269852638,64
V97,1818.6581933498383,91
V170,1796.2087489664555,63
V85,1793.8132691383362,95
V42,1784.0371990799904,110
V202,1777.0853788256645,107
V208,1753.1571972370148,74
id_08,1753.145559757948,106
id_25,1739.482516914606,37
V260,1734.3100326657295,131
V50,1729.0558388233185,59
V229,1713.615705639124,164
V287,1694.9689602851868,107
V339,1693.987360805273,20
id_12,1668.6458251476288,29
V63,1650.8988316059113,95
V256,1612.89177313447,75
V215,1601.2003292441368,111
V298,1596.9095235466957,80
V276,1596.7178196907043,146
V125,1585.1774277091026,65
V212,1583.1159982085228,76
V8,1572.9525063037872,83
V60,1552.2300989031792,117
id_10,1550.1429483294487,104
V303,1535.5833330750465,100
V214,1488.6593624353409,122
V15,1485.2143545150757,75
V172,1467.463682293892,13
V278,1463.2535309195518,151
V80,1453.3756430745125,136
V251,1448.9638718366623,72
V163,1410.9989167749882,48
V140,1387.5142767429352,57
V178,1323.1940241456032,31
V199,1320.899954676628,24
V59,1288.9334281682968,98
DeviceType,1263.2206233739853,157
V123,1262.7589491009712,53
V204,1248.2272489964962,141
V95,1236.7602307200432,47
V142,1233.8688323497772,29
V105,1186.2673684954643,69
V166,1161.0657951831818,91
V275,1154.2739907503128,106
V273,1144.4719651937485,85
V228,1098.1536281108856,32
V333,1095.1959337592125,29
V109,1091.5432476997375,40
V246,1032.1130467057228,42
V323,1030.3435267806053,38
V121,1003.8131823539734,13
V210,1000.0437625646591,62
V162,955.4590837359428,31
V108,936.8282995223999,31
V232,925.4264234304428,78
V330,898.7584384679794,12
V336,883.1976044178009,29
V144,882.4187500476837,44
V180,860.4328408837318,31
V253,860.3975316882133,61
V84,846.7085978984833,56
V72,835.4513432979584,46
V98,829.966989338398,36
V168,824.7824077010155,25
V100,814.3083320260048,57
V179,813.8887737989426,10
V57,810.7433522939682,72
V173,774.9738854169846,10
V233,735.4231799840927,37
V21,733.9236746430397,36
V211,729.0735352039337,50
V192,660.9816731214523,22
V18,659.3598018288612,39
id_21,657.01303845644,32
id_24,641.3573323488235,27
V101,630.1423987150192,38
V338,623.9522603154182,21
V181,593.9488655924797,25
V171,592.1326187252998,44
V304,585.0666420459747,48
V93,583.9743413925171,65
V176,581.2911019921303,32
V226,579.4577833116055,32
V299,572.7020912766457,31
V92,567.275641143322,56
V239,565.5419646501541,45
V242,559.7975156605244,57
V146,559.6865726113319,27
V235,557.4429025650024,27
V248,535.3708941042423,39
V147,528.5411450266838,46
V297,516.3039157390594,23
id_32,496.74114042520523,50
V188,493.75180810689926,40
V116,493.5506584048271,36
V238,484.42804861068726,36
V103,479.7566921710968,26
V302,470.50235921144485,41
V186,468.0399372577667,26
V155,467.43881142139435,6
V71,450.9176368713379,33
V322,447.5526795387268,7
V213,442.2360979914665,44
V167,439.26774087548256,16
V337,437.9809603691101,4
V118,418.89533269405365,28
V31,414.6704646348953,28
id_23,407.11060667037964,8
V198,389.2873340845108,33
V104,374.5404386520386,20
V114,364.5721936225891,7
M1,361.70997643470764,12
id_36,348.2540978193283,22
V17,348.2157485485077,48
V329,344.3427972793579,9
V184,336.23367911577225,15
id_26,329.97923225164413,37
V158,315.7559584379196,30
V16,304.38784968852997,25
V223,294.13746842741966,20
V284,288.1546223759651,29
V141,266.4949951171875,1
V185,250.21758830547333,12
V255,245.59908878803253,23
V106,235.54492318630219,17
id_34,235.32780170440674,6
V328,235.10819590091705,4
id_28,220.81837284564972,28
V153,214.43678331375122,3
V326,213.05116033554077,10
V122,205.99276113510132,10
id_29,195.56309366226196,24
V110,182.51342421770096,6
V183,180.38862895965576,13
V157,179.47406232357025,11
V227,178.8429085612297,19
V269,174.40669918060303,6
