feature,importance_gain,importance_split
V258,849615.6090072915,257
P_emaildomain,601968.9247929007,10754
TransactionAmt,580673.6506662592,35483
card1,563143.46767883,33675
TransactionDT,559790.9318509176,37272
card2,509936.56631537527,29064
card1_prior_count_7d,486427.99846629053,33811
addr1,473199.8593685329,30250
C14,465875.1408513859,3732
id_31,452704.2786410898,10142
DeviceInfo,420972.0354738012,8852
V294,408711.84236195683,575
D2,354332.0181745514,7381
C13,344456.2440951839,8573
V70,315491.0641455054,530
C1,309259.5406195745,5069
D15,278775.43460232764,12219
dist1,236343.598999016,15912
D10,227656.48998559266,8829
id_30,216801.37419319898,3905
R_emaildomain,207915.36373838037,2195
id_33,206331.46168581396,3151
card5,202575.4883249551,11147
card6,195771.33569332212,674
C8,188781.56190191954,1039
D4,188127.76874502748,8797
V308,175017.49867702276,1499
hour_in_day,168560.74397654086,18981
D1,162171.4888131544,5198
C2,149776.05379190296,4458
C11,140523.65991081297,3544
M4,135944.55521771312,1486
C5,131934.3481073901,1717
M5,129557.06368619204,4320
V90,123012.37223930657,589
D11,120252.37006121874,6116
D3,116905.37177955359,5055
C6,113295.95706481487,3478
M6,99141.19293405116,3957
D5,98029.44979081303,5744
day_in_week_cycle,88384.31534314156,10765
elapsed_days,83200.53638180345,7247
D8,79810.58342298865,4602
card3,78530.00672863424,1157
id_02,78194.06980799884,8791
V310,73132.13990914077,2554
V91,73061.18139213324,473
C9,71871.01069114357,2891
V317,67527.40068131685,1316
id_20,65750.23870061338,6373
V312,62618.87814708054,1359
V314,60098.870412409306,1785
ProductCD,58953.41222205758,341
V313,54661.78331621736,2875
id_19,53256.419573143125,6062
V62,51476.724114082754,1385
V307,51272.484681896865,2882
V283,50919.74092760682,835
V83,50917.08077980578,1624
V30,49774.35173904151,405
V315,48229.22932531685,1788
V45,47700.90138421208,1117
V187,42988.63214010745,164
dist2,42149.236374907196,4726
id_01,40648.36914881319,2399
V54,39335.07255355269,1258
M3,37743.09082655609,1680
card4,37104.7392975837,853
V243,36319.47207758576,150
V285,36110.80746164918,675
V82,35415.07424364984,1460
V87,31157.574140511453,1297
