feature,importance_gain,importance_split
V258,848254.6497819424,212
P_emaildomain,617970.2200219929,9840
card1,604172.6500089616,29897
TransactionAmt,578322.8679984659,28983
TransactionDT,555448.9870571494,31287
card2,519927.18393084407,25847
C14,469765.3665229082,3341
addr1,468023.2495983392,25593
id_31,439750.1335181743,9131
DeviceInfo,421232.15373550355,8130
V294,412868.26206573844,540
D2,368173.3033684939,6510
card1_time_since_previous_hours,359758.6174776703,28348
C13,353203.4261121154,7491
V70,308822.6554361284,439
C1,298366.82471604645,4214
D15,259056.43386778235,10530
dist1,233714.30079644918,13551
D10,224268.57600486279,7591
id_30,216806.4579899013,3673
R_emaildomain,209951.24944384396,1969
id_33,209382.4125352949,3046
card5,208181.8294558376,9668
card6,195697.08066372573,719
C8,191915.28615927696,861
D4,186508.56787094474,7765
V308,178326.01174741983,1359
hour_in_day,173953.87071229517,15855
D1,162590.4943881482,4434
C2,150860.7759435773,3834
C11,144306.307779029,3059
C5,140552.1811955124,1462
M4,131418.39651156962,1321
M5,128244.78364470601,3761
V90,125410.08250278234,523
C6,121837.7523598969,2833
D11,119476.96554382145,5311
D3,116692.97232915461,4350
M6,95172.93827411532,3400
D5,92708.27691014111,4990
elapsed_days,87169.54929190874,6086
day_in_week_cycle,87027.4644933641,8925
V310,81125.68480734527,2203
id_02,81089.0349933654,7035
D8,78516.58654895425,4052
card3,76799.84413635731,1001
V312,71284.44023165107,1250
C9,70311.12789516151,2567
V91,69819.93237748742,363
id_20,68937.1043535173,5323
ProductCD,62911.27827127278,317
V317,58083.0666193068,1238
V62,55004.359422534704,1197
V313,54549.552438527346,2665
V307,54016.944478571415,2797
V83,52599.874220609665,1402
V314,52356.88510926068,1642
V30,52171.06017705798,360
V283,52135.18969339132,688
V187,50792.99136352539,130
id_19,49471.741537347436,4889
V45,48468.670211315155,966
V315,46611.69680644572,1691
dist2,41813.06757041812,3942
V82,40485.7279433161,1319
M3,40330.794761925936,1549
id_01,38612.947218477726,1950
card4,36896.54618707299,794
