iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.291263212306578,0.8404339158259772,0.14021897989493284
2,0.34016623910685473,0.8537193460912467,0.13850957143133658
3,0.360019021339958,0.8596501852095118,0.13905590309057228
4,0.38358689519285566,0.8646958822486045,0.1407734061604972
5,0.3923463061433624,0.868600303344644,0.14293627272015258
6,0.3990624615874984,0.8711852825374593,0.14531109860213098
7,0.40420886645066745,0.8731955808646873,0.1482746661145954
8,0.40677883841275364,0.8751014672254377,0.1514926264791127
9,0.41069944440771095,0.8768137481517883,0.15439158931149768
10,0.4173114178465916,0.877922596395142,0.15789935397361157
11,0.42077560755238685,0.879310746360594,0.16142141352448575
12,0.4208175835891121,0.8801591027154805,0.16462316910883068
13,0.4226046612486786,0.8811916528626046,0.1678764691610666
14,0.4243787141213786,0.8825097093444325,0.17110301319205592
15,0.428752639662468,0.8835941522657973,0.17437468779224208
16,0.42909952126394896,0.8842667657068106,0.17796776386129615
17,0.42895533324043195,0.8849170260173068,0.18123234403443986
18,0.4302824466660384,0.8854493275917781,0.184529506510364
19,0.4312474192025168,0.8863109213502691,0.18761748629140002
20,0.43155630709941806,0.8867194400385738,0.19079647194425556
21,0.4323920531434989,0.8874078791808626,0.19414204697988857
22,0.4330053074639562,0.8880035757937605,0.1975013030063622
23,0.4338543201426613,0.8885341191704821,0.20045045268133896
24,0.4347881596239383,0.8892745221835326,0.20323014141066456
25,0.4355159638045917,0.8897363498119158,0.2062234117440053
26,0.4372153129463173,0.8899168754079739,0.20926176617617662
27,0.43802250125440184,0.8907288745392282,0.21222836944153584
28,0.4394578594607386,0.8911042257397092,0.2152756689420916
29,0.4400129212196597,0.8910897720091367,0.2180132289549146
30,0.44273134973446415,0.891649280492831,0.22056416356252947
31,0.44180077674103846,0.8920530434003371,0.22334605035606353
32,0.4433619679734698,0.89232931295189,0.22574076997373715
33,0.4436321306893895,0.8928108247089602,0.22817496641238344
34,0.44405810541602786,0.8930483235982212,0.2304065345684208
35,0.44489838099902124,0.8934355921128486,0.23288087115698
36,0.44577990701652037,0.8936548460975915,0.23540094580677223
37,0.4463243663287731,0.8938049135597352,0.23799102765584232
38,0.44707000562271054,0.8941458809454245,0.24002976209646285
39,0.4479927854627375,0.8945194489682968,0.24229913966984165
40,0.44856851871984205,0.8947391180030003,0.2444495569931373
41,0.4495838934728522,0.8950867992061078,0.24656695658241995
42,0.4501869559469019,0.8951330407676905,0.2493050114769532
43,0.45043320581449764,0.8952934441267698,0.25150973014296185
44,0.450509856806298,0.8955960443709622,0.2534288420231156
45,0.4504802619776063,0.8958089957451922,0.2553776022899336
46,0.4505497135896853,0.8960181905329733,0.25703611065266413
47,0.4510151829155819,0.8963683293698752,0.25884240746801634
48,0.45139275088911046,0.8966105360017449,0.2607259022000641
49,0.45161999240409834,0.8968820363218061,0.26235971984121936
50,0.4518259889684528,0.8968792846942895,0.26437884655886223
51,0.4529433278173502,0.8971180325764875,0.26582468066136417
52,0.4536541241159189,0.8974271198978417,0.26735169368716855
53,0.4541188917021364,0.8975521344831969,0.2689558938130616
54,0.4543542869340338,0.8977089311349797,0.27023505858554897
55,0.4533384053344211,0.8979411362157155,0.27138674002133145
56,0.4539901517834494,0.8981099616302453,0.2727777849740101
57,0.4542212942657137,0.8982320016908828,0.27408802907935725
58,0.45477141269151866,0.8983416536631129,0.2753602130784643
59,0.45552035513949407,0.8986426206088493,0.27637740210609013
60,0.4558150721552612,0.8989071726851255,0.2776451093476046
61,0.45614829796248063,0.8991469178401454,0.27860870775627933
62,0.45649589005924546,0.8993478308439905,0.27964223214207534
63,0.45680616699605947,0.899332570071828,0.28068433027073697
64,0.45694239419870114,0.8994788175371121,0.28173454376013307
65,0.45758266265279524,0.8997069143918489,0.28273301233666176
66,0.4578854503568627,0.9000383721374686,0.2834361419578348
67,0.45859464069887684,0.9002130293882504,0.2841084731873795
68,0.4592630363330113,0.9004587927676991,0.2851772390461608
69,0.45909007448955774,0.9005267283758337,0.28582626425884217
70,0.4598336411242782,0.9008714119958924,0.2867916777130749
71,0.46008988657726707,0.9010502908428012,0.2876814814168057
72,0.46043007991916823,0.9011677864906756,0.2887623940033716
73,0.46093299999267723,0.9013615494903382,0.29007042064053895
74,0.46110817253783365,0.9015453263110876,0.2912980433202079
75,0.46169239108038024,0.9018013583340061,0.29223529015227967
76,0.4622278618800184,0.9019144459975768,0.293113090418297
77,0.4626930819356256,0.9021113199504163,0.293820002604081
