metric,b0_value,b1_value,delta_b1_minus_b0
PR-AUC,0.6491385746479026,0.6550391328616743,0.005900558213771667
ROC-AUC,0.925020356086887,0.9280732137984835,0.0030528577115964683
Precision@0.5%,0.9593679458239278,0.9683972911963883,0.009029345372460473
Recall@0.5%,0.13971071663379356,0.14102564102564102,0.0013149243918474662
Precision@1%,0.9469525959367946,0.9480812641083521,0.0011286681715575453
Recall@1%,0.2758053911900066,0.27613412228796846,0.0003287310979618874
Precision@2%,0.8194130925507901,0.8160270880361173,-0.003386004514672747
Recall@2%,0.47731755424063116,0.47534516765285995,-0.0019723865877712132
Precision@5%,0.46410835214446955,0.46975169300225733,0.005643340857787782
Recall@5%,0.6758711374095989,0.6840894148586456,0.008218277449046685
