feature,importance_gain,importance_split
V258,847227.0701007247,179
P_emaildomain,565980.4628845453,8224
C14,527738.5913025439,2404
card1,498831.85304513574,18430
TransactionAmt,488833.9630149305,18980
card2,469809.91444829106,16245
TransactionDT,444917.4695392549,18993
V317,435341.87405091524,828
id_31,427361.3736243844,7447
DeviceInfo,420039.72756937146,6687
D2,416135.5252431333,4920
addr1,415159.2970998287,17236
V70,369211.1345152855,327
card1_prior_count,334131.67918613553,15570
C13,302180.78028413653,5452
card1_prior_count_7d,283728.8659374118,12609
D15,260593.1887473464,7627
C1,257186.24957489967,3276
card1_time_since_previous_hours,248929.94018101692,15519
dist1,233129.26162543893,9367
V91,227862.16038703918,260
id_30,217075.28154611588,3230
id_33,208665.75723785162,2564
R_emaildomain,205161.3049403727,1620
D10,203571.03688943386,5818
D4,194821.50547593832,5582
card6,191018.88113108277,489
C11,189021.82716307044,2263
card5,188286.47391220927,6258
C8,187658.96102908254,668
card1_prior_count_24h,160312.7283371985,8509
D1,148510.74175563455,3255
C5,147225.0394308567,1173
C2,143167.97127526999,2794
hour_in_day,138332.9263678193,9574
V308,136992.25365582108,953
D3,108934.25094541907,3061
M5,107180.98569071293,2684
C6,106965.6081725359,2216
V312,106894.6408483386,854
D11,103857.25371158123,3670
M6,101923.58269187808,2533
elapsed_days,86712.41014933586,3931
card3,84285.67552268505,739
D5,82044.13697874546,3434
day_in_week_cycle,77416.8639882803,5592
D8,75336.30158597231,2755
id_02,74200.37315222621,4609
C9,65523.67316836119,1893
V313,64067.23450657725,1969
id_20,63102.56664803624,3566
M4,59454.75200980902,1127
V310,58741.89771693945,1555
ProductCD,54840.043888151646,306
V62,54456.196322351694,909
V45,51937.78974881768,691
V83,49044.54179775715,1008
V307,48400.66940456629,1904
id_19,44752.2622256577,3374
V54,44560.24652612209,869
V314,41361.542452305555,1214
V315,39860.94725584984,1208
C4,39732.692722827196,385
V283,39730.717702269554,552
V243,39095.97328585386,91
id_01,38893.026591300964,1277
V87,37708.730630129576,837
V320,36728.91685152054,542
V294,35978.95755419135,454
dist2,35743.770747721195,2645
card4,35246.59639072418,650
M3,34284.334576666355,1032
V76,34102.33409714699,868
V82,33268.52677714825,961
V285,31625.657298743725,433
V53,30247.840582311153,859
V133,29402.193491339684,408
V187,28698.858853071928,106
V61,28564.58725103736,752
id_05,28391.940261363983,1777
C7,28007.771648049355,324
V35,27127.001594007015,731
id_06,26929.16870355606,1825
V309,26211.173618257046,498
V281,24932.038386702538,479
V29,24313.97385454178,304
V130,23989.390697419643,992
V38,23795.996008694172,645
C10,23448.892690896988,695
M9,22279.44531005621,983
V189,22024.704029023647,109
M8,21848.93970632553,1169
V67,21526.790922790766,421
V75,21310.250509023666,789
V12,21021.561208426952,637
V165,20533.159518182278,289
V127,20338.70214778185,1000
V55,20004.711082816124,350
V36,19613.16051620245,754
V13,19183.774160772562,689
D14,19106.27251946926,1364
M7,18893.964393407106,1011
V156,18657.39520663023,106
V131,18463.73711451888,592
id_13,18377.18834671378,1406
V48,18231.910582065582,588
V78,18114.96554994583,809
C12,17336.027364373207,635
D13,17260.49720555544,526
V49,17150.07164990902,399
D6,17068.341884732246,768
V56,17064.922283679247,469
V19,17035.727495968342,587
V20,16883.49446335435,611
D9,16418.546846836805,1277
id_14,16353.975253224373,535
V128,16087.859368503094,509
M2,15717.8562977314,680
V311,15576.043019771576,404
id_09,15240.47824281454,402
V77,14696.033920049667,494
V5,14493.127278506756,568
V136,14461.163712203503,366
V86,13874.537954509258,505
V94,13425.249618649483,136
V30,12703.181505382061,263
V37,12613.271590530872,382
V24,12591.639583170414,439
id_18,12502.803316622972,690
V291,12491.395934581757,471
V44,12390.491368949413,534
V90,12342.731031000614,336
D12,12123.429947793484,727
V192,11584.914957463741,28
V141,11524.792253494263,11
V66,10903.286253750324,343
V296,10673.238874524832,203
V149,10629.703600645065,139
V266,10564.079041182995,135
id_17,10473.38336545229,343
V126,10467.49809795618,482
id_03,10461.682168126106,272
V69,10415.847122371197,313
V102,10303.9296413064,159
V4,10291.160812318325,443
V160,9977.189742326736,193
V224,9471.596135735512,123
V282,9153.129899203777,409
V26,8865.18721613288,338
V96,8800.847448468208,292
V23,8783.611687481403,350
V99,8733.4708122015,196
V157,8657.893267810345,15
V10,8500.668914794922,389
addr2,8380.52621370554,201
V293,8127.780521154404,96
V129,8014.5596197247505,351
V289,7843.413372159004,187
V11,7790.204554319382,284
D7,7780.615866929293,446
C3,7374.9758224487305,78
V205,7149.5906907022,59
V264,7085.762242794037,412
V169,7072.511900007725,69
V257,7051.21446120739,92
V7,7012.792763411999,280
V47,6983.275121629238,242
V139,6915.278228402138,157
V306,6890.707559525967,545
V124,6838.731364607811,227
V268,6789.504884183407,134
V318,6774.8708273768425,378
id_11,6733.152189910412,263
V2,6331.5671664476395,107
V137,5932.209118694067,208
V217,5519.865339100361,33
V152,5469.860643208027,157
V150,5324.761808037758,90
V145,5120.047932565212,79
V6,5082.111473083496,148
V143,4960.240553557873,98
V134,4941.036648750305,179
id_38,4910.428345143795,262
V201,4880.624722599983,51
V244,4796.122600078583,49
V51,4779.764644920826,259
V52,4749.589942276478,239
V3,4675.977183938026,233
V25,4672.736914336681,223
V335,4408.548333615065,46
V316,4334.738937467337,306
V321,4306.50084233284,212
V163,4295.81288254261,50
V229,4273.044902563095,154
DeviceType,4138.374705314636,162
V261,4132.243686854839,270
V234,4069.3359694182873,240
V267,4010.246818333864,221
V319,3977.3768303990364,156
V74,3910.422435104847,195
V207,3848.7923654317856,96
V34,3823.5328587293625,143
V221,3802.910779953003,285
V81,3745.2785675525665,165
V73,3690.787223726511,193
V280,3609.7058349251747,127
V164,3551.796445161104,95
V159,3505.8336644768715,119
V40,3349.1883178949356,157
V209,3276.0352594852448,108
V132,3232.6193301081657,181
V135,3215.9795495271683,164
V263,3181.359804302454,173
id_15,3125.287003427744,49
V166,3046.7914727926254,109
V33,3017.29063051939,131
V292,2962.935231924057,171
V231,2946.772150874138,32
V277,2935.7362372875214,251
V301,2911.076336622238,100
V265,2899.258037060499,211
V288,2706.779260993004,73
V245,2656.7272856533527,153
V298,2629.6585735082626,60
V203,2625.6506056189537,178
V64,2579.653935968876,108
V79,2552.6432363390923,156
V177,2546.2846024036407,20
V300,2513.8650072813034,122
V270,2434.433902680874,140
V206,2432.8451224565506,69
V140,2375.53321236372,60
V42,2367.332782804966,113
V215,2360.3337578475475,113
V332,2358.840692639351,73
V39,2345.307205736637,157
V43,2263.461503982544,138
V222,2243.262974023819,210
V46,2200.6493332982063,130
V170,2186.073613166809,57
id_28,2185.8240745067596,32
id_04,2172.2536033988,130
V260,2121.4954827427864,116
V271,2088.9417254924774,120
id_16,2029.3579815626144,160
V58,1983.5988048911095,77
V154,1982.3520720005035,21
V333,1981.9486218690872,27
V63,1979.2567983269691,77
V105,1977.402418255806,48
V274,1933.038112193346,193
V323,1932.8400072455406,42
V80,1919.0589193999767,131
V9,1912.1687431931496,104
V286,1909.8144839406013,39
V331,1907.1389617919922,32
V276,1813.7006888091564,130
V256,1778.5609304308891,64
V142,1774.4011281728745,29
V123,1770.0781705379486,67
id_07,1768.1378489136696,114
id_08,1705.8490275740623,97
V290,1701.3164129257202,121
V278,1642.4604572057724,112
V220,1634.9093285799026,92
V125,1624.8893716335297,63
V60,1619.7194828391075,114
V115,1617.8384977579117,61
V262,1600.1581426262856,122
V219,1559.2456726431847,41
V303,1557.9372848272324,83
V216,1546.5639826655388,93
V275,1497.3875515460968,104
id_10,1493.9909494519234,79
V287,1490.4308411478996,88
V85,1467.1448777318,94
V172,1463.1986245512962,12
V211,1461.9227069318295,49
V97,1428.6324918866158,99
V272,1422.5354859530926,86
V50,1422.4985136985779,51
V100,1417.9842841625214,61
V279,1415.88451898098,75
V210,1415.1169792413712,51
V233,1409.797590970993,35
V259,1404.2220809459686,103
V295,1343.361457169056,65
V218,1278.469314455986,71
V208,1273.7641668915749,93
V93,1208.6778511404991,61
V8,1201.4193902611732,61
V202,1199.1450935602188,116
V178,1188.9787021875381,31
V339,1166.4746659994125,25
V273,1165.603651881218,88
V230,1162.2940927743912,56
V239,1161.8959947228432,56
id_32,1160.9154265522957,46
id_25,1132.5909765064716,39
V57,1127.9561424851418,67
V204,1111.542141020298,113
V324,1107.5955032110214,11
V251,1101.949124634266,76
V338,1099.0272685289383,36
id_37,1091.2687562704086,114
V248,1060.2112237811089,39
V109,1060.1832215189934,34
V212,1056.1196813583374,67
V15,1048.6115274429321,53
V199,1032.7721776366234,15
id_24,1020.2174481749535,30
V144,990.9762734174728,28
V168,971.0000600814819,19
V228,962.9828647375107,38
V232,913.7590348124504,65
V225,913.0100800991058,17
V329,875.4826190471649,9
V198,860.9007260203362,34
V103,860.5114877223969,35
V181,858.3498722910881,29
V72,856.6624213755131,40
V59,806.2778509259224,78
V148,793.6572947502136,7
V95,787.5427284836769,53
V304,778.3264905810356,48
V147,776.005573630333,53
V173,758.5850003361702,8
V242,739.8984600901604,63
V214,719.1112075448036,96
V92,696.3201361894608,49
