metric,b0_value,b1_value,delta_b1_minus_b0
PR-AUC,0.6491385746479026,0.6546501801821268,0.005511605534224251
ROC-AUC,0.925020356086887,0.9270250358674262,0.002004679780539198
Precision@0.5%,0.9593679458239278,0.9661399548532731,0.006772009029345272
Recall@0.5%,0.13971071663379356,0.14069690992767916,0.0009861932938856066
Precision@1%,0.9469525959367946,0.9503386004514672,0.003386004514672636
Recall@1%,0.2758053911900066,0.2767915844838922,0.0009861932938856066
Precision@2%,0.8194130925507901,0.8216704288939052,0.0022573363431150906
Recall@2%,0.47731755424063116,0.47863247863247865,0.001314924391847494
Precision@5%,0.46410835214446955,0.46636568848758464,0.0022573363431150906
Recall@5%,0.6758711374095989,0.6791584483892176,0.0032873109796186517
