feature,importance_gain,importance_split
V258,848344.4761505127,195
P_emaildomain,555342.0132313669,8186
C14,524158.043184191,2446
TransactionAmt,503253.0920307934,18981
card1,487711.65745413303,18428
TransactionDT,457989.85545143485,19344
card2,451250.1396815777,16023
id_31,442288.28313604,7465
V317,430750.66463652253,773
addr1,428150.63763558865,17193
DeviceInfo,417603.88111785054,6686
D2,413358.30404385924,4893
V70,367841.0789256692,323
C13,318505.87122380733,5538
card1_card2_prior_count,316331.46045714617,15367
card1_card2_prior_count_7d,281750.3560090363,12392
C1,268411.54092642665,3334
card1_card2_time_since_previous_hours,261036.45418658853,15852
D15,254969.82793846726,7614
V91,226623.48389786482,290
dist1,225213.4359599054,9243
id_33,212991.0173547268,2513
id_30,212774.34280875325,3123
R_emaildomain,207651.16204613447,1647
D10,205409.19445085526,5798
D4,196261.01027598977,5743
card5,194116.17701226473,6423
C8,187638.039529562,692
card6,186686.2634150684,505
C11,183305.9805315435,2172
card1_card2_prior_count_24h,165886.2076651454,8493
C2,147858.5175703764,2847
hour_in_day,138012.4528297782,9378
C5,137070.78486779332,1143
D1,135021.94120255113,3281
V308,115656.09957715869,933
D3,113348.51120129228,3080
V312,110640.93132609129,900
M5,107685.26048099995,2731
M6,105263.3766477108,2495
C6,104491.7703114748,2182
D11,102106.36859983206,3688
elapsed_days,92046.71572950482,4015
card3,83691.34242466092,765
D5,81764.43774336576,3493
D8,77173.26185768843,2836
day_in_week_cycle,76139.1070792079,5667
id_02,73783.77096292377,4629
C9,68886.69628310204,1912
id_20,66043.02779531479,3693
V313,65849.75695121288,1909
M4,65510.03200545907,1156
V310,57214.89488261938,1563
ProductCD,55569.23025435209,299
V314,53777.38583046198,1199
V307,53775.86972421408,1788
V83,50966.61269748211,1003
V62,49258.24616116285,938
V45,46254.793585538864,699
V294,45083.411895632744,441
id_19,43826.177653223276,3323
C4,41808.357632398605,383
V283,40735.363791555166,516
V87,38604.73943451047,832
V243,38126.44044953585,92
V82,37380.4064334631,1012
id_01,37124.88547441363,1280
dist2,37034.39007303119,2599
V315,36987.40673935413,1210
V285,36383.89497792721,474
V320,35558.965998888016,564
card4,34807.01338034868,656
M3,34112.342269837856,990
V76,33737.67475670576,937
V53,32004.418928146362,852
V187,31425.582250654697,95
V54,31233.51186209917,784
V133,31131.371453523636,405
id_05,29072.508291482925,1723
id_06,28637.01961633563,1782
C7,28330.650227546692,338
V61,27831.253234237432,770
V309,25234.251036465168,460
V75,24809.46415734291,843
V67,24409.788988888264,466
V35,23725.82518339157,719
V12,22997.478429079056,623
M7,22989.175882041454,1052
V130,22985.28248244524,971
V281,22915.227941423655,449
V189,21763.459529817104,103
C10,21550.82749557495,714
M8,21087.60026755929,1143
V36,20718.711548149586,743
V49,20504.439379543066,427
id_13,19994.298766821623,1448
V13,19816.618892908096,738
V131,19794.695478200912,590
M9,19787.098105728626,955
D14,19484.48752117157,1314
V38,19345.746452003717,654
V127,19045.886886775494,1017
V56,19026.913996219635,462
V29,18754.6670794487,280
V156,18591.780587613583,113
V78,18544.872850835323,743
V19,17613.87264060974,551
D13,17603.809785097837,493
V20,17395.252238869667,657
