metric,b0_value,b1_value,delta_b1_minus_b0
PR-AUC,0.6491385746479026,0.6440069846908768,-0.005131589957025784
ROC-AUC,0.925020356086887,0.9234770312389429,-0.001543324847944172
Precision@0.5%,0.9593679458239278,0.9616252821670429,0.0022573363431150906
Recall@0.5%,0.13971071663379356,0.14003944773175542,0.0003287310979618596
Precision@1%,0.9469525959367946,0.9469525959367946,0.0
Recall@1%,0.2758053911900066,0.2758053911900066,0.0
Precision@2%,0.8194130925507901,0.8143340857787811,-0.005079006772009009
Recall@2%,0.47731755424063116,0.47435897435897434,-0.00295857988165682
Precision@5%,0.46410835214446955,0.4620767494356659,-0.002031602708803648
Recall@5%,0.6758711374095989,0.6729125575279421,-0.00295857988165682
