feature,importance_gain,importance_split
V258,849505.8405795693,179
P_emaildomain,555764.1977490783,8181
card1,529960.9281173348,20507
C14,529042.6835375428,2560
card2,520997.15806764364,18101
TransactionAmt,513547.7432025373,20260
TransactionDT,482112.372594893,20780
id_31,450433.6930541694,7562
V317,437246.05522972345,871
DeviceInfo,420425.17444080114,7023
D2,419445.1035915017,4968
addr1,416011.42196011543,16229
V70,371297.0511880517,293
C13,310129.17468753457,5574
card_core_addr1_prior_count,290997.17162561417,12050
C1,268900.6492999196,3409
D15,257453.3183438778,7861
card_core_addr1_time_since_previous_hours,250929.75578162074,13670
dist1,234446.06019556522,9233
V91,229061.54491442442,290
id_33,215813.91173541546,2546
id_30,212008.63397708535,3094
R_emaildomain,199384.91760855913,1765
D4,198756.6977071464,5692
D10,198161.0735347569,5646
card6,190200.00969141722,527
card5,190106.67956733704,6907
C8,187335.04275423288,740
C11,177727.93917298317,2254
C2,153293.14128679037,2974
hour_in_day,152799.71179655194,10470
card_core_addr1_prior_count_7d,148796.2584489286,6831
C5,139201.4013223052,1137
D1,137501.35418325663,3314
V308,118058.0381655097,923
C6,113072.67948588729,2170
M5,112322.76293194294,2830
V312,104452.82767403126,824
D3,104026.64349657297,2906
D11,102248.83683043718,3777
M6,100553.62564074993,2455
elapsed_days,96178.08896198869,4525
D5,88755.05020260811,3494
card3,88299.25406762958,885
day_in_week_cycle,86391.04693967104,6240
id_02,81715.83466482162,5316
D8,80286.89261972904,3012
C9,73812.29979121685,1837
card_core_addr1_prior_count_24h,69772.67346781492,3258
M4,66681.82069343328,1165
V313,64998.48307904601,1913
id_20,64611.28063571453,4060
V310,64585.99988016486,1599
ProductCD,51499.344277501106,286
V62,51403.2757256031,862
V45,49518.95045363903,730
id_19,47562.25653511286,3561
V314,46854.90309339762,1137
V83,45778.280278623104,1021
V307,45520.72077900171,1804
dist2,43731.955818742514,3146
V243,41876.99155420065,90
V82,41680.714553534985,996
V87,40883.69842919707,863
V294,40789.31182748079,439
id_01,40504.132331073284,1499
V76,40270.246731996536,956
V283,39725.76008427143,493
C4,39376.16609305143,430
card4,38413.80280345678,748
V285,37766.13835698366,486
M3,36442.212960362434,1031
V315,35304.15224099159,1203
V54,34616.543385088444,839
C7,32624.375772714615,370
id_05,32211.81535810232,2046
V187,30823.076983898878,111
V320,30572.518312245607,520
V53,30235.16567981243,846
id_06,29267.103986233473,1969
V133,28086.754423499107,404
V61,25912.667286753654,800
V75,25882.091170608997,837
V67,25653.11057829857,466
V309,24724.634392142296,436
C10,24466.464573293924,729
