feature,importance_gain,importance_split
V258,854618.9388599396,153
P_emaildomain,632917.2900657654,6212
C13,599789.7621719837,3175
card1,576411.3410246372,11263
TransactionAmt,539805.9439811707,10213
card2,524738.987644434,10257
TransactionDT,494109.2356853485,11284
addr1,442315.9667685032,9359
id_31,431880.97474861145,4939
V294,405323.21383595467,268
DeviceInfo,403204.19328069687,4269
D2,401399.00312948227,2919
V70,337295.85586094856,183
C1,307657.14105820656,1790
D15,234507.14021229744,4288
dist1,227695.44247698784,5312
D10,215601.69661569595,3293
id_33,215087.49059391022,1963
C14,211466.74640369415,1437
card5,203252.14194583893,3754
id_30,202011.65486598015,2278
R_emaildomain,195686.55510687828,1280
C8,194058.05479574203,393
card6,193706.79652786255,397
D4,191657.72282457352,3156
C5,187718.49136972427,713
hour_in_day,157277.4699614048,5044
D1,155504.48416638374,1951
C2,153918.1069407463,1657
V91,153353.5376381874,170
V308,145244.43028616905,479
C11,138336.05064320564,1257
elapsed_days,114622.54188632965,2298
D3,110600.01961112022,1679
M5,109297.76105356216,1645
D11,108692.35584521294,2191
C6,104700.94391655922,1248
V312,95952.85656142235,481
M6,93296.51804590225,1447
D5,83442.36617398262,1897
day_in_week_cycle,81718.54380106926,2961
V30,79937.77143907547,154
card3,76149.74894595146,541
id_02,76080.8689892292,2157
D8,75517.94841599464,1513
M4,70397.64619874954,877
C9,66300.16113877296,1122
V307,65354.88738799095,1021
V317,65103.78446674347,446
ProductCD,62034.936780929565,226
id_20,61584.68050146103,1754
V310,61455.194719314575,886
V314,60917.101212501526,695
V313,58481.56975388527,1166
V62,56906.56061220169,543
V283,50555.78303170204,305
V45,50066.360176324844,362
V83,47055.514805316925,562
id_19,44853.34528207779,1601
dist2,40858.23296999931,1360
V82,40014.57457327843,580
id_01,39887.21461749077,601
V187,39148.82189369202,61
V315,37817.8345553875,696
C4,37720.3833296299,224
M3,36976.82992601395,621
card4,36497.54003739357,545
C7,36047.655301094055,215
V320,33095.687047719955,331
V87,32342.67537021637,453
V54,32275.351088047028,458
V67,32100.049329280853,274
V285,31022.95117521286,286
V53,30566.79235625267,527
id_05,29412.619797468185,916
V76,29106.247789382935,554
V61,27670.92745923996,420
V311,27416.767869710922,352
id_06,27200.03162407875,892
V243,26953.69247174263,48
V35,26302.85928630829,404
V281,25325.13784646988,267
D6,24977.436477184296,398
M9,24858.008080482483,596
V130,23972.02653503418,572
V75,23254.017572164536,482
V38,22737.96872830391,397
V12,22567.745509147644,355
M8,22040.057372570038,657
V149,21693.941948890686,72
C10,21193.3107585907,371
D14,21153.737796783447,755
M7,20908.23089671135,601
V133,20359.071851730347,204
V20,20287.19668984413,350
V36,20024.500422000885,401
V13,19691.502217769623,418
V189,19541.20951461792,49
id_17,19259.43324112892,213
V296,19142.292479515076,128
V102,19018.5591673851,87
id_13,18645.528831243515,700
V29,18259.954481601715,166
V74,18204.58280658722,97
V127,17958.697944641113,515
V5,16817.943635702133,367
V19,16621.827797412872,331
V55,16486.93083190918,201
D9,16212.944298744202,585
V78,16097.72119808197,421
V156,16066.300669193268,72
V48,15954.401403665543,301
D13,15783.513092756271,316
V165,15713.273443460464,182
M2,15305.926366567612,375
V160,15011.049699306488,63
C12,14987.76788020134,365
V37,14705.47729587555,204
V86,14375.608918190002,313
V136,14352.66315317154,250
id_09,14061.813163995743,181
V128,13667.33978843689,235
id_14,13645.449494600296,295
V4,13137.779335975647,264
D12,13081.358330249786,381
V131,12938.353234291077,310
V49,12758.203651428223,217
V77,12639.660106420517,293
V56,12605.047932386398,267
id_18,12403.045711278915,362
V69,12053.036514520645,168
V129,11236.96699810028,179
V11,11218.411864042282,216
V291,11202.248811244965,275
V309,11039.593441486359,250
V96,10983.57535457611,145
V44,10781.5443983078,289
V264,10757.105547904968,166
V24,10398.116340398788,216
id_03,10375.98275756836,160
V66,9932.740805149078,190
V266,9852.054228067398,115
V282,9738.00628376007,218
V126,9665.37373661995,219
V90,9531.848518133163,192
V124,9467.16590833664,147
V10,8906.190160036087,241
V306,8824.459167003632,266
V23,8663.863162279129,205
V157,8596.043680667877,14
V99,8319.910647392273,134
V318,8013.992468833923,188
V224,7946.697558403015,76
D7,7837.438616991043,250
C3,7803.994399309158,80
V26,7496.797540187836,184
V289,7246.658563137054,124
V47,7181.895791769028,131
V94,6579.542604923248,88
id_11,6445.986839056015,155
V7,6358.657210588455,154
V150,6315.106730461121,54
V52,6269.8385310173035,158
V205,6158.838230133057,43
V169,6109.916635274887,61
V161,6097.146123409271,21
V257,5833.115950584412,34
V300,5721.653711795807,85
V192,5700.14230632782,14
V2,5616.189850330353,72
V135,5605.167336940765,130
V139,5338.932854652405,93
V51,5092.652780532837,141
V134,5000.52961063385,84
V34,4927.711873054504,77
V145,4837.502873420715,29
V321,4834.337461471558,120
V152,4828.864553451538,87
V244,4823.398758888245,18
id_38,4817.98921918869,120
V6,4736.297098636627,97
V25,4722.815477848053,132
V261,4696.013283491135,143
V207,4629.736844062805,58
V209,4454.7729568481445,76
V3,4382.124805450439,138
V234,4380.796100139618,146
V159,4316.328085184097,70
V319,4308.960126399994,119
V217,4267.777879714966,20
V137,4214.368965148926,98
V231,4173.740199565887,24
V287,3959.4037022590637,54
V143,3867.0846128463745,69
V79,3819.728189468384,92
V203,3554.5651590824127,104
V81,3550.5957674980164,100
V316,3546.153416633606,135
V267,3479.9547057151794,108
V132,3459.1852865219116,132
V221,3447.778930902481,134
V292,3370.193778991699,96
addr2,3335.534289598465,118
V164,3205.598091363907,52
V293,3192.4130940437317,57
V331,2822.3856468200684,32
V60,2795.839919567108,69
V263,2790.723627090454,87
V40,2760.730975627899,88
V270,2754.0480120182037,85
DeviceType,2668.9551515579224,56
V151,2647.9770827293396,46
V274,2609.1874425411224,111
V73,2596.998697757721,85
V288,2587.651997566223,58
V332,2584.5012712478638,38
V33,2549.793379306793,58
V268,2535.986649990082,65
V245,2534.0425703525543,79
id_07,2435.18461561203,77
id_16,2406.4011974334717,97
V335,2351.746500492096,43
V277,2340.349200963974,115
V324,2330.299692630768,13
V39,2294.903148651123,66
V333,2290.076103925705,24
V154,2268.7975568771362,11
V256,2259.429576396942,43
V280,2245.8681406974792,60
V290,2210.9254450798035,66
V295,2187.8875317573547,37
V123,2180.901418685913,37
V220,2124.207018852234,53
V177,2084.602545261383,12
id_04,2072.448615550995,80
id_12,2068.6983518600464,10
V46,2055.805398464203,64
V50,2051.5196714401245,39
V43,2047.650921344757,72
V85,1991.4721140861511,53
V206,1970.7138497829437,50
V301,1951.1972794532776,36
V286,1942.9387745857239,21
V271,1937.4109389781952,80
V230,1936.7268691062927,39
V63,1913.5160274505615,50
V222,1881.0088920593262,82
id_08,1879.3807513713837,72
V42,1864.53054189682,51
V208,1853.372214794159,62
V276,1832.1542394161224,85
V262,1815.8542523384094,69
V163,1814.1550221443176,28
V100,1814.074158668518,31
V64,1812.8887181282043,54
V265,1809.0303356647491,85
V8,1799.0426502227783,45
V253,1795.7015013694763,35
V303,1710.6868071556091,60
V9,1698.0499858856201,58
V260,1684.6053228378296,61
V219,1681.6734833717346,26
V58,1679.6384444236755,41
V298,1652.1920647621155,38
V272,1645.5392174720764,43
V323,1623.2161507606506,23
V218,1622.2654614448547,48
V170,1621.7520174980164,32
V215,1590.8204598426819,47
V213,1587.8906104564667,31
V229,1570.1708891391754,70
V225,1569.7294268608093,19
V105,1560.4670042991638,31
V233,1556.2647457122803,18
V202,1552.9141268730164,38
id_10,1514.252233505249,53
V201,1511.2262172698975,21
V59,1507.9192485809326,36
V115,1484.6073427200317,41
id_37,1416.7087042331696,64
V166,1376.2200503349304,47
id_15,1350.4996800422668,44
V251,1340.6329584121704,39
V278,1339.3687987327576,53
V242,1334.6572103500366,37
V338,1306.7558331489563,26
V216,1303.7816624641418,49
V80,1278.4816884994507,62
V97,1236.4770936965942,31
V178,1227.9712090492249,23
id_21,1215.400654554367,28
V214,1195.8683927059174,45
id_32,1151.254744052887,16
V204,1145.2166204452515,56
V109,1131.687391757965,19
V336,1123.4134469032288,18
V155,1094.6806812286377,4
id_25,1084.0289087295532,24
V273,1074.753259420395,44
V248,1070.5806159973145,27
V210,1065.9279851913452,29
V212,1059.9950399398804,44
V228,1056.5471277236938,19
V172,1030.7202587127686,10
V259,1017.8298254013062,51
V211,996.9188942909241,35
V31,995.4534718990326,13
V275,938.0586767196655,34
V125,929.1833882331848,29
V57,919.9238753318787,43
V32,908.3697557449341,16
V279,887.4372720718384,31
V121,829.3409838676453,12
V95,793.063313961029,27
V329,787.0105800628662,10
V238,771.1702065467834,15
V92,746.3031921386719,18
V223,722.8202314376831,11
V146,718.6138467788696,17
V93,680.519317150116,23
V339,653.5585794448853,14
id_24,650.6059470176697,15
V71,632.182569026947,17
V118,626.830890417099,18
V181,623.7425286769867,19
V184,616.2212514877319,13
V226,613.1137483119965,8
V108,602.863452911377,19
V304,596.5384368896484,25
V162,588.1517524719238,9
V72,553.0408852100372,16
V21,535.0741558074951,15
V180,534.5014533996582,14
V17,527.6417279243469,23
V232,515.6802814006805,31
id_36,514.7735552787781,9
V297,513.0376100540161,18
V22,504.7671751976013,12
V239,489.039005279541,18
id_26,473.15452432632446,16
V299,463.8052749633789,14
id_28,463.20875883102417,17
V179,454.4602403640747,6
V171,452.4981083869934,12
V326,451.3155794143677,9
V15,443.1776099205017,21
V330,439.8849925994873,4
V235,428.7773656845093,12
V302,416.8583450317383,16
V176,396.12485551834106,16
V173,389.87217903137207,5
V227,387.37892484664917,9
V144,376.11511182785034,14
V101,359.66758966445923,14
V140,357.7748489379883,18
V188,342.2172679901123,16
V147,340.64166927337646,22
M1,331.82125902175903,9
V18,323.7724714279175,11
V142,312.3436393737793,21
V168,312.19881772994995,11
V104,311.3672299385071,14
V148,304.16989612579346,5
V98,301.46138095855713,11
V84,297.3306589126587,18
V16,295.51852560043335,13
V167,293.41845893859863,5
id_23,293.340416431427,4
V191,279.63903522491455,3
V284,277.44264698028564,10
V116,265.2963972091675,12
V186,263.0146675109863,9
V106,260.5078139305115,5
V200,259.78486919403076,14
V182,258.5830078125,1
id_34,254.9070920944214,8
V158,233.68838810920715,15
V110,222.7931423187256,10
V198,218.36504817008972,11
V112,217.7695508003235,10
V103,206.98815250396729,9
V240,203.83988666534424,12
V153,202.98525667190552,2
V183,195.65685415267944,6
id_35,182.15189743041992,3
V255,180.9309663772583,13
V114,176.8884472846985,8
V185,171.9814043045044,5
V328,167.9256935119629,2
V199,166.78253030776978,9
V246,166.44435739517212,10
id_22,160.8484001159668,3
V250,154.95229244232178,9
V111,139.7214994430542,4
V175,134.1929988861084,4
V122,129.82040095329285,7
V174,128.68460083007812,5
V337,123.7488203048706,6
V249,119.74340152740479,6
V120,98.68807888031006,5
V193,95.8801794052124,8
V254,91.24561023712158,6
V322,83.60880279541016,2
V334,81.060302734375,2
V236,75.7244987487793,4
V327,61.662498474121094,1
V237,59.287410497665405,7
V190,54.322160720825195,5
V247,40.02039909362793,3
V138,34.997798919677734,1
id_29,34.60225009918213,3
V269,34.478100061416626,2
V14,34.0364990234375,1
V195,25.34957981109619,2
V113,14.575799942016602,1
V119,13.531399726867676,1
V252,12.662699699401855,1
V194,11.210100173950195,1
V141,8.583199977874756,2
V197,6.476109981536865,1
V1,0.0,0
V107,0.0,0
V117,0.0,0
V196,0.0,0
V241,0.0,0
V27,0.0,0
V28,0.0,0
V305,0.0,0
V325,0.0,0
V41,0.0,0
V65,0.0,0
V68,0.0,0
V88,0.0,0
V89,0.0,0
id_27,0.0,0
