feature,importance_gain,importance_split
V258,148397.5612322986,125
card1,70920.55704039335,21695
TransactionDT,68251.83920174837,21916
card2,68030.06175735593,18865
C1,67722.43510185182,2987
TransactionAmt,63247.114276871085,20118
addr1,62229.52740757167,18168
DeviceInfo,60917.92985510826,5803
C13,57139.364994734526,5328
C14,44234.19524718821,2222
D2,37088.57015302777,4524
id_31,36455.94552598894,5370
P_emaildomain,35033.22538365424,4741
V294,30961.620406851172,345
D15,30545.126392781734,7391
R_emaildomain,27302.463740885258,1017
card5,26076.808124899864,7117
dist1,25323.084192872047,8837
D10,23388.771968066692,5310
D4,23127.09348078072,5510
hour_in_day,22243.250125452876,10896
C4,18761.536546841264,289
V317,17917.857963711023,773
D1,17439.23010355234,3164
V257,17417.90621291101,83
C11,15266.820019841194,1970
C8,15061.413387194276,622
M5,14785.75821685791,2592
elapsed_days,14352.020762622356,4692
id_30,14152.856948465109,2042
C7,13566.971328765154,280
card6,13230.832863718271,335
C2,13074.468706965446,2633
id_33,13002.80258205533,1600
day_in_week_cycle,12890.937732040882,6443
V308,12797.62831506133,862
D8,12765.493058562279,3011
id_02,12520.881359279156,4959
D11,11937.053248718381,3377
C5,11814.461606189609,984
C6,11380.034802570939,1965
id_20,11019.189891844988,3831
M6,10750.178348556161,2313
D3,10539.68662430346,2755
V70,10365.54008847475,312
V313,10000.206522792578,1709
V62,9105.988432690501,716
card3,8831.12419989705,792
id_19,8676.061882168055,3717
C9,8600.878422319889,1720
D5,8084.304154723883,3039
V283,7937.016968026757,479
V310,7505.17425391078,1432
dist2,7087.420196250081,2972
V149,6894.564042299986,98
V187,6523.794417485595,92
id_01,6204.796636670828,1320
V307,6092.497205764055,1785
V12,6005.93375352025,542
V45,5808.195114567876,603
V83,5624.14862318337,852
V312,5617.469734340906,730
C10,5537.777014106512,622
M4,5520.708655357361,512
V54,5488.098643511534,741
id_05,5320.231082960963,1890
V189,5313.131659135222,84
V82,5160.289757683873,836
V314,5155.757167950273,1017
id_06,5150.5092582553625,2048
V315,5033.125213444233,1064
V87,4839.076697483659,756
V91,4583.996344834566,250
V61,4503.931252032518,691
id_17,4308.193692788482,315
id_13,4303.486629456282,1592
V320,4282.318586617708,484
V156,4151.849012568593,94
V76,4067.6276401281357,809
V53,4032.7961383908987,712
V75,3938.441769912839,764
C12,3862.005942314863,558
V281,3677.4525027275085,358
M3,3658.864543348551,997
ProductCD,3491.6666829884052,214
D14,3471.720747515559,1334
V20,3440.6296195685863,496
V130,3439.05098760128,924
addr2,3373.492559194565,155
V67,3281.1969641447067,358
V35,3270.9296695888042,683
V296,3124.7712069153786,134
D6,3070.519943460822,791
D9,3027.897105678916,1381
V38,2931.792552009225,570
V78,2898.7895739227533,675
V30,2778.7455502450466,223
V44,2752.388625085354,437
V13,2728.58297803998,582
V36,2719.5900195986032,668
D12,2627.430900335312,694
M9,2598.4399953335524,935
V127,2564.596141502261,972
V311,2514.5313626378775,442
V48,2450.277977436781,498
V285,2399.8707694858313,342
M8,2367.7054328024387,1039
id_09,2360.4435299783945,373
V77,2321.0423311293125,458
M7,2281.0202727913857,935
id_14,2273.5870511978865,627
V131,2272.259779289365,505
V165,2171.5982836931944,312
V86,2146.3690934330225,420
D13,2129.1070330441,480
id_18,2075.973194926977,685
V282,2046.1838904470205,384
V66,1995.5850377976894,263
V136,1971.0345902889967,342
V152,1961.56880068779,132
id_03,1901.2849930673838,273
V323,1900.8840336799622,56
V262,1894.2026270925999,123
V19,1824.19037809968,483
V291,1807.38170337677,374
M2,1740.4577086269855,577
card4,1727.812214627862,289
V309,1700.7759086191654,446
V56,1627.6204883754253,367
V332,1626.7361883223057,83
V90,1568.1053984612226,314
V49,1551.8349199742079,320
V24,1516.1551910340786,329
V5,1509.9736418128014,533
V128,1494.8058684021235,480
V201,1488.0316266864538,38
V55,1459.8814285099506,261
id_38,1448.4367043823004,269
V29,1431.6220133900642,288
V37,1427.9122258722782,358
V99,1389.9334565997124,195
V224,1351.5738015770912,76
V207,1326.480821788311,86
V47,1281.5621656626463,254
V133,1245.0438339561224,287
V203,1234.9718736559153,215
V223,1216.7006912231445,27
V266,1196.2505017071962,162
V280,1186.198456838727,142
V69,1173.334425315261,285
V306,1129.9979662150145,482
V163,1129.518405675888,37
V126,1102.8892618119717,387
V4,1072.3933819383383,381
V10,1045.3487597107887,387
V261,1033.3442501723766,252
DeviceType,1031.0562751442194,143
V129,1023.1974524408579,296
V316,1017.5611038655043,317
D7,1007.7724366039038,447
V205,967.0070322602987,48
V96,950.3346916139126,254
V102,944.3833426088095,118
V256,937.6623021066189,76
V160,916.9107279628515,212
V318,903.8631884753704,310
V59,902.8613682836294,78
V74,878.2606998682022,210
V264,868.447367399931,409
V289,860.1879528164864,124
V52,850.5933924019337,254
V143,847.7265430092812,78
V26,846.0844074934721,190
V64,832.8485924601555,102
V81,830.7875667065382,158
id_11,814.8513911515474,289
V33,810.9123313426971,118
V11,809.8739020526409,312
V209,795.1752323359251,129
V169,793.8187092244625,54
V321,781.1134975850582,163
V277,774.4654682427645,246
V79,771.5892750918865,140
V243,765.062143355608,77
V267,752.0033584684134,226
V245,741.4373408704996,125
V3,731.822507455945,224
V7,723.1066931784153,196
V221,717.7673168629408,285
V333,716.2413483560085,21
V94,709.3798151612282,112
V271,698.6826357245445,128
V147,651.2000529021025,46
V51,651.0001522898674,211
V124,649.7861961871386,154
V139,649.324985191226,158
V23,632.5489508062601,233
V324,618.5872420072556,9
V58,615.9559729248285,81
V268,612.6438047140837,125
V217,606.7388753443956,47
V293,605.904155433178,65
id_04,591.7664602100849,94
V161,556.3837008029222,37
V270,554.6881412118673,124
V234,553.4217971116304,168
V300,551.4663130939007,122
V134,548.3591706156731,140
id_07,544.1083096265793,104
V292,539.2825172543526,153
V137,528.9295443147421,161
V73,518.9484877884388,149
V274,518.3187901228666,192
V286,516.6305751204491,28
V43,501.4995293468237,120
V34,487.9289789944887,106
id_37,485.10146221518517,158
id_16,484.28365494310856,176
V132,474.10486459732056,189
V216,469.61672307550907,89
V164,463.7296535372734,118
V63,462.4481232762337,64
V2,460.08496764302254,101
V25,459.44548523426056,162
V85,457.806395098567,79
C3,452.7722986936569,69
V259,452.66255486011505,122
V279,448.5718566477299,98
V251,447.2426846176386,60
V326,437.55950862169266,15
V263,429.8256236463785,154
id_08,426.68534414470196,109
V233,424.48080772161484,43
V150,423.73621632158756,93
V204,423.28088560700417,114
id_10,421.05725269019604,104
V220,418.2342802733183,78
V265,416.3974552154541,174
V275,409.4617172628641,89
V272,404.8532368391752,65
V135,400.86676409840584,145
V215,394.5981499403715,84
V222,393.5015425235033,202
V46,389.65736865997314,106
