iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.3781219212503457,0.8273663387518336,0.14287712283351667
2,0.3982505598668135,0.8391133267707785,0.13869299275997365
3,0.40962841354125085,0.842735229507525,0.1356449034848009
4,0.42363551521987425,0.8473831395899333,0.13292548983400768
5,0.4332114928012552,0.8516304880298092,0.1305608672568531
6,0.43758638808777134,0.8522973772401159,0.12857675914367306
7,0.43933757346522556,0.8537865668911157,0.1268800913982286
8,0.4429146763035887,0.8544032081548032,0.12528973322036283
9,0.4451769367354345,0.8544612344451284,0.1238855269940563
10,0.4473045319409192,0.8547225237675478,0.12249795752928679
11,0.45012172614249796,0.8552268613509235,0.12127522164150273
12,0.44967557395361374,0.8556643374600905,0.12015192298813121
13,0.4516930902223329,0.8560581968143701,0.11912460766213222
14,0.45267345534155395,0.8568999873094632,0.11808678505838756
15,0.45452948452048425,0.8571494534725881,0.11716555236754322
16,0.45610304161198445,0.857168036565963,0.11626547675327895
17,0.4584772025074058,0.858207060339556,0.11542552325491857
18,0.4605766390839192,0.860060064339354,0.11452668259806406
19,0.46231512694302107,0.8602659675503641,0.11377488419504204
20,0.464002366444992,0.8605608778411198,0.11304125182942888
21,0.46679553502902554,0.8621137738180167,0.1122175565612652
22,0.46733765616565537,0.8629271852720536,0.11160178296119298
23,0.46802803963219464,0.8634853140989344,0.11101729378280652
24,0.4692690961666418,0.8639907546391499,0.11040789070067666
25,0.47043182310548315,0.8646706525912772,0.10982547791141674
26,0.4713246871912682,0.8645544347592536,0.10932267192741045
27,0.4727657162952494,0.8650160856070981,0.10872760729404339
28,0.47415041034494426,0.8653824113924635,0.10820649978407205
29,0.47441017065127555,0.865958377760012,0.1077374346291635
30,0.47496070980424016,0.8662666887842179,0.1072633813385584
31,0.4757415132398896,0.8665702286554043,0.10687139433073906
32,0.47632310037117975,0.8671261035304157,0.1064074729536716
33,0.47698011544046215,0.8675065717588831,0.1059919447347651
34,0.47793602137888025,0.8677584340669195,0.10555182364907732
35,0.47877693385545755,0.8682970382519036,0.10514107909513769
36,0.4804734418601455,0.8687988105959396,0.1047120700835235
37,0.48153908639590776,0.869104093292655,0.1043554974135081
38,0.48161681319758987,0.869141153795387,0.10406025254928251
39,0.48355898146604526,0.8694183994829584,0.10371493913433952
40,0.4842591412067318,0.8695671776000856,0.10340966632232236
41,0.48429600228585523,0.8698716647843767,0.10314483005897884
42,0.485312884188551,0.8704134836850278,0.1028209912940793
43,0.486460111779472,0.8711323675105378,0.10245930395397153
44,0.4872721018090944,0.8722319751276854,0.10213712479528934
45,0.4880144145782973,0.8722513537334847,0.10184578516724432
46,0.48864759959859794,0.8726064789344966,0.10158198814868359
47,0.48905930150183163,0.8728079626320375,0.10135327553185566
48,0.4893976960246339,0.8730493564577343,0.10112916831853623
49,0.4902400458758892,0.8734262698601503,0.10087581782227698
50,0.49174627554743217,0.873789207992365,0.10060829398118747
51,0.49209439307221997,0.8740082083354652,0.10037005593303693
52,0.4923413942046934,0.8742624610238303,0.10015592084126745
53,0.4936081147971117,0.8755561486926937,0.09987352305574024
54,0.4939125134181109,0.8754559083626257,0.09971431059443357
55,0.4945945901909269,0.8764823826394932,0.09952367772394254
56,0.49519875619454057,0.8766966003004085,0.09934376449070995
57,0.4956300845675163,0.877126196224907,0.09912126714723163
58,0.49633953657185625,0.8772213560360128,0.09894694952393031
59,0.4976673205851082,0.8779732517056114,0.09868108307724427
60,0.49799914531618855,0.878176122746076,0.09853256090113936
61,0.4987426093326094,0.8786976522368476,0.0983405907875999
62,0.4990782765346331,0.8787747900406364,0.09819416122646044
63,0.5000176690033077,0.8794375825541098,0.09799831892145819
64,0.5004473895409265,0.8796792108061732,0.09783931285306872
65,0.5011674011078727,0.8801632897241108,0.09766510259544371
66,0.501591948708071,0.8808246410918876,0.09749322322664836
67,0.502103773109156,0.8810372235328193,0.09735946179171974
68,0.5027259125122041,0.8814995911104568,0.09719724683679913
69,0.5036862056690508,0.881903667226961,0.09701345845108329
70,0.5043916570952759,0.8825911552130902,0.0968411682597822
71,0.5051256420178527,0.883089119089432,0.09667911880674152
72,0.5056244098560505,0.8833292005117812,0.09653769515434128
73,0.5066402446120597,0.8836572936625814,0.09633979810713028
74,0.5077853139675547,0.8840235349007326,0.09615720694506463
75,0.5083778955902807,0.8842547177287876,0.09604076050118124
76,0.5084810250670343,0.8846328071060919,0.09596165327790794
77,0.5088213334760903,0.8847351226859629,0.09585576150508186
78,0.5090375456435505,0.8848960294852721,0.0957606209477337
79,0.5098656229047126,0.885899431980302,0.09559777770516015
80,0.5102827204855688,0.8861857126906267,0.09547570323993432
81,0.5120752001057308,0.8869219402242126,0.09526420200401639
82,0.5130092095167391,0.887510805806509,0.09511306214003398
83,0.5132154451678357,0.8876750041825892,0.09503849718835411
84,0.5140087026125905,0.8880315993522115,0.09492440482879759
85,0.5146254385173444,0.8882070309786142,0.09482419298053828
86,0.5154658687506959,0.8887506734089534,0.09470054406946549
87,0.51660608547275,0.8894348467599805,0.09451266875146251
88,0.5168241000567898,0.8895791323455897,0.09444740194996269
89,0.517323081019807,0.8900310756360224,0.09433556920229264
90,0.5175163216245354,0.8903964175992589,0.09423573848088515
91,0.5178484991809265,0.8904290067072765,0.09415898248999145
92,0.5185690101242479,0.8906019441908605,0.09405105440144579
93,0.5189848486319308,0.8908166345475643,0.09395273269555532
94,0.5192418180435598,0.8909557358517212,0.09388491091957593
95,0.519819017611654,0.8913971068973241,0.0937845275960567
96,0.5204807666213238,0.8917619396557479,0.09368768608837855
97,0.521143746346348,0.89207027758134,0.09358425955330277
98,0.5220983116561296,0.8921865300008603,0.09349477420149288
99,0.5227597008973562,0.8922802813322387,0.09339940762934683
100,0.5230964000964196,0.8924459631276225,0.09330790495814217
101,0.523965893568755,0.8926583956894018,0.0931843350964488
102,0.5243738736589673,0.8929528486565897,0.09307891521791471
103,0.5247642886386444,0.8929856203097288,0.09302770600833873
104,0.5256536056099632,0.8934903556493169,0.09289163645435122
105,0.5262761147096795,0.8935603261551749,0.09281965612037188
106,0.5254267276742272,0.8937741230015469,0.09277921099449248
107,0.5259173271083518,0.8940098175763959,0.09269552647711919
108,0.526675840011573,0.8942671485519686,0.09260872033204397
109,0.5272428792386031,0.8945719489452577,0.09252589894522063
110,0.5271706371450249,0.8946314836347453,0.09250457182384435
111,0.5273374582823385,0.8949433629356958,0.09243423843094012
112,0.5281351867564632,0.8954376912818272,0.09230242192636118
113,0.5284365448158336,0.8957007945262965,0.09223926997841629
114,0.5286796884051991,0.8959472362049864,0.09215915049329904
115,0.528933231496153,0.896021791475687,0.0921118665017461
116,0.5292641589020165,0.8962387588425914,0.09205493539150159
117,0.5297972498286581,0.8963696302440572,0.09196408495521555
118,0.5307828954586836,0.8969488574439353,0.09181915329018615
119,0.5312566465167234,0.8973274848489663,0.09174173703385007
120,0.5314214628230465,0.8974999381075962,0.09169024125896592
121,0.5318042079204179,0.8974975650210159,0.09164822108576147
122,0.5325763559954302,0.8978477480530526,0.09155942829086237
123,0.5328067089409749,0.8979384403124991,0.09151239209156123
124,0.5332739518890267,0.8983063033199408,0.09142352226405416
125,0.5337535851546727,0.8984177019607552,0.09136811919644358
126,0.5338851932123899,0.898738412602534,0.0913097520826942
127,0.5339371964228431,0.8987624816571936,0.09128112120415965
128,0.5343885270318005,0.8989425922032911,0.0912130207386632
129,0.5347787344570178,0.8991461011909174,0.09113773561052249
130,0.5350633735553109,0.8994037914921507,0.09107953880655727
131,0.5355040498314431,0.8996956388679193,0.09100281363798113
132,0.5356703426167804,0.8998504140726716,0.09096305648450322
133,0.5360371394997243,0.8999826113281784,0.09090960526605471
134,0.5361156044566767,0.9000061730995529,0.0908831941933183
135,0.5365970964397004,0.9003073129827728,0.09080944989478709
136,0.5369186283603831,0.9004654777622034,0.09076905645497824
137,0.5375316025818094,0.9005954902408342,0.09070777870230569
138,0.5381267608628849,0.900880441254063,0.09061946702654242
139,0.5385415885763069,0.9010318576285787,0.09055604558512532
140,0.5389913335770973,0.9013879474364436,0.09046900610579912
141,0.5391301819052046,0.9015103218428827,0.09042860276422122
142,0.5394010452761766,0.9017040310397726,0.09036195934781296
143,0.5398091863810769,0.9017524765935073,0.09031003651983013
144,0.5399816048322891,0.9018449174430656,0.09027815628565479
145,0.5401252115116585,0.9019261865311845,0.09024090994943998
146,0.5405954094857515,0.9019136158976556,0.09020526478139591
147,0.5410858974758512,0.9020694633148062,0.09015324697031972
148,0.541691923772525,0.9021930098530785,0.09007523377027095
149,0.542065336241072,0.9024366864535587,0.08999709550193286
150,0.5423127086970891,0.9026065533360451,0.0899405492086748
151,0.542628295204785,0.9026551910425393,0.08990138104826632
152,0.5430843314011136,0.9029070418214101,0.08983696217408453
153,0.54352463158428,0.9031012659876957,0.08975953409148414
154,0.5439995151694521,0.9033389013054159,0.08968104718091512
155,0.5443028830775365,0.9036274686335792,0.08962494679314359
156,0.5447881822740166,0.9036622252247244,0.08957846414277697
157,0.5448481411168015,0.9038010863379319,0.0895445357050772
158,0.5452854677275355,0.9039255436802844,0.0894838172972617
159,0.5456553386643476,0.9041576680568612,0.08941433790189056
160,0.5459833305434334,0.9042603391193373,0.08937595812374315
161,0.5465388054260112,0.9043551818783899,0.0893189512646068
162,0.5470899998364929,0.9045974327053943,0.08923592906070504
163,0.5475703779795771,0.9046846931165555,0.08917964890438435
164,0.547705764643936,0.9047965759823239,0.08915725937856829
165,0.54790360059639,0.9048904964081307,0.08912370661740496
166,0.5481863478621029,0.9050644369291194,0.08907701076893224
167,0.5485599719304863,0.9052413327595498,0.08902349255752257
168,0.5486558635288832,0.90532937715397,0.08900413817037564
169,0.5490579705599209,0.9054930605606546,0.08895006990543182
170,0.5494502365010184,0.9056622971820898,0.08889073408759272
171,0.5499363987850898,0.905837317601587,0.08883261781208909
172,0.5502738059506658,0.9060192939509797,0.08877725449758114
173,0.550502819364485,0.906271982515882,0.08872328843260746
174,0.5506082594839669,0.906352928787365,0.0887030390929846
175,0.5507609767675988,0.9064556536526137,0.08867456841512256
176,0.5513040185534253,0.906857948513037,0.08859471213649493
177,0.5513545285652228,0.9069579140646589,0.08858026408747213
178,0.5516727077678146,0.9069976550983865,0.08853965443172092
179,0.5523183094296206,0.9071058140436751,0.08846747708088024
180,0.5523598742896909,0.9071859186860711,0.08844878812744189
181,0.5524117739775587,0.9072373848811857,0.08843562980335996
182,0.5526320610944184,0.9073782597553132,0.08838963843921185
183,0.5530483223070316,0.9075210177264841,0.08833912292550145
184,0.5532827285376107,0.9075854965064746,0.0883019075046726
185,0.5534122111826235,0.907626747860892,0.08828637430595429
186,0.5535218827917036,0.907628823110695,0.0882675391897129
187,0.5537232098415101,0.9076656242072018,0.08824049292084742
188,0.5539795665838537,0.9077058686811593,0.0881997618153667
189,0.5541352737365067,0.9078154072832614,0.08816637747780036
190,0.5544281433641548,0.9080731533087948,0.0881109843884507
191,0.5546666632784846,0.9082453490827269,0.08806833180277347
192,0.5548220579961717,0.9084884953415907,0.08803192398346586
193,0.5553076683799671,0.9086438681414253,0.08796805823296658
194,0.5555873379062554,0.9087381575005304,0.08792762507123775
195,0.5559783148848884,0.9088202221010737,0.08788303575154971
196,0.5562471127938918,0.9089484840680652,0.08783789315086458
197,0.5563733902962976,0.9089873450421541,0.08781708482767703
198,0.556505565177651,0.9091678879319605,0.08777486001910467
199,0.5566570046927826,0.9092603326245741,0.08775124390940159
200,0.5568358267403176,0.9093140508500304,0.08772412310191208
201,0.5572103457536294,0.9098413257083121,0.08763836755050372
202,0.5574124375667115,0.909947839825979,0.0876074315979728
203,0.5576568995855858,0.9099962853797138,0.08757921370029233
204,0.5578963275560342,0.9099398232128512,0.08756051426545002
205,0.5580895928341794,0.9100251467241963,0.0875352774505901
206,0.5582849081146057,0.9100586543224045,0.08750632506999295
207,0.5588661458305633,0.9103239404222222,0.08741732226090329
208,0.5591396152785326,0.9103890994229814,0.08738019133816988
