feature,importance_gain,importance_split
V258,854740.1665232778,206
P_emaildomain,642424.3453090787,8788
card1,626302.8635725975,23895
C13,609119.4373796582,5876
TransactionAmt,587398.7421938777,22472
card2,565493.6257387996,20710
TransactionDT,546337.7895448804,24484
addr1,483496.47282350063,19658
id_31,439452.44054862857,7539
D2,409894.9977411032,5214
DeviceInfo,409736.4659951329,6737
V294,405753.4348971844,415
V70,337830.5524414182,327
C1,313129.1385028362,3368
D15,249051.9330510497,8170
dist1,248023.4886597395,10526
D10,225745.80426061153,5905
card5,217963.60398560762,7736
id_33,217006.41369229555,2648
C14,215439.74215358496,2584
id_30,205068.51443517208,3331
D4,202178.40399873257,5948
R_emaildomain,197170.09596180916,1762
C8,195123.06623011827,738
card6,194363.61323332787,582
C5,189338.68229418993,1160
hour_in_day,183576.82170128822,12010
D1,161066.71601229906,3490
C2,159129.5237287879,3058
V91,153767.16916030645,299
V308,146772.37068086863,950
C11,142176.1423291564,2322
elapsed_days,125056.27132052183,5171
D3,116125.21072238684,3247
D11,115605.10362452269,4026
M5,115530.57698339224,3106
C6,108469.58728247881,2293
M6,98797.77014362812,2786
V312,97428.50694859028,919
day_in_week_cycle,96697.19448894262,7014
D5,89545.09337174892,3676
id_02,84742.40903609991,5055
V30,80397.5498007536,267
D8,79568.4995957017,2998
card3,77168.19483226538,876
M4,72241.64305758476,1328
C9,69663.93669986725,2011
V307,68670.20117503405,1959
id_20,67651.71634751558,3811
V317,66648.39218109846,895
V310,63882.40914148092,1605
V314,62774.82270592451,1233
ProductCD,62211.23649889231,298
V313,61459.78520089388,2028
V62,58401.23227059841,943
V283,51370.80900579691,557
V45,51148.39107501507,689
id_19,50763.7795958519,3668
V83,48748.66437023878,1021
dist2,45775.72825691104,2991
id_01,42444.62413704395,1422
V82,41536.60957759619,1016
V315,39677.34290480614,1224
M3,39391.13676905632,1213
V187,39247.38085484505,105
C4,38293.77632254362,433
card4,37309.033026218414,761
C7,36435.037092506886,372
V320,33901.47494196892,559
V54,33751.54335260391,854
V87,33635.68149483204,822
V67,32821.227892041206,480
id_05,32336.66420841217,1970
V53,32190.22532182932,889
V285,31662.79141497612,480
V76,30695.65656632185,969
id_06,30607.52789670229,2055
V61,29085.264167368412,812
V311,28019.393426418304,570
V35,27892.53078830242,788
M9,27243.01649016142,1185
V243,27055.47292304039,88
D6,26227.69729989767,782
V281,25851.883292078972,438
V130,25690.17546081543,1065
M8,24927.68940204382,1361
V75,24814.262129068375,874
V38,23788.40586066246,717
M7,23660.5267983675,1251
V12,23541.27210086584,617
D14,23268.26262190938,1534
C10,22199.878445625305,704
V149,21776.159012794495,115
V36,21574.068752408028,786
id_13,21392.622373878956,1577
V20,21331.17910552025,628
V13,21051.521936237812,770
V133,21013.8742287755,408
V127,19756.74127537012,1018
V189,19609.223671257496,80
id_17,19568.97305083275,323
V296,19417.89635324478,213
V102,19201.71702003479,149
V29,18833.953327834606,304
V74,18555.97581845522,205
D9,18263.681732296944,1337
V5,17912.954268217087,665
V19,17672.146440923214,620
V48,17279.158968508244,638
V78,17238.55910563469,767
V55,16934.487175405025,346
M2,16684.168195843697,738
D13,16363.293994009495,526
V156,16129.673300981522,102
C12,15985.49240475893,661
V165,15964.013079583645,286
V37,15393.26199066639,387
V160,15265.986927568913,169
V86,15127.655102550983,548
V136,14799.286878705025,397
V128,14658.130975961685,528
id_09,14588.468692481518,382
id_14,14394.171172738075,584
D12,14163.773182153702,748
V131,13830.086321771145,600
V4,13825.260914206505,454
V49,13510.63035094738,396
id_18,13395.7683442235,726
V77,13356.828594505787,527
V56,13306.690010905266,474
V69,12574.831463694572,307
V291,11928.868686795235,478
V11,11848.241610705853,372
V129,11839.728601872921,379
V309,11767.647164404392,494
V44,11652.265768170357,554
V96,11442.25309509039,280
V264,11277.25339102745,352
V24,11092.968685388565,414
id_03,10861.59604805708,345
V126,10559.834970533848,484
V66,10455.477625191212,331
V282,10448.602318227291,404
V90,10122.384710073471,369
V266,10012.527971565723,169
V124,9868.26625329256,250
V306,9834.55275607109,572
V10,9776.065722584724,461
V23,9249.910952150822,366
V157,8611.871990561485,20
V99,8572.27585953474,208
D7,8533.623577713966,491
V318,8476.37747490406,357
V26,8018.18432956934,330
V224,8001.036891698837,94
C3,7806.88009929657,81
V47,7640.884070456028,269
V289,7452.70480877161,189
V94,6855.686794996262,153
V7,6800.254353880882,289
id_11,6795.835445821285,284
V52,6693.059811770916,273
V150,6419.671525776386,95
V205,6209.075029492378,58
V161,6134.291329681873,39
V169,6130.259089410305,68
V300,5959.087459802628,151
V257,5956.943916082382,78
V135,5889.320441186428,214
V2,5819.6086304187775,120
V51,5776.610811948776,296
V192,5736.272316753864,27
V139,5454.551332652569,140
id_38,5285.060480952263,266
V134,5251.649969696999,163
V34,5192.939742445946,140
V321,5108.111896634102,199
V25,5096.798773765564,231
V261,5089.716098725796,288
V152,4962.779552936554,140
V6,4953.253532648087,153
V3,4921.721924006939,275
V145,4897.234047234058,55
V244,4883.478096783161,40
V207,4703.788761019707,89
V234,4665.179945707321,261
V319,4567.256180047989,195
V209,4528.298398137093,112
V137,4505.94362282753,188
V159,4442.291887104511,117
V217,4315.704800665379,43
V231,4203.201286137104,37
V79,4100.904370546341,180
V287,4064.3352705836296,87
V316,4008.8096667528152,293
V143,3934.759012043476,103
V221,3883.0829226970673,293
V132,3820.235162258148,228
V203,3796.419503122568,201
V81,3751.9807577729225,163
V267,3745.4080000519753,194
V292,3710.307114481926,198
addr2,3709.224449276924,220
V164,3325.8281405568123,106
V293,3272.505065023899,85
V263,3076.8937809467316,186
V60,3071.99702334404,146
V40,2998.812913298607,164
DeviceType,2931.095801770687,141
V270,2930.8023604154587,147
V274,2898.307011246681,216
V73,2880.6291753053665,171
V331,2838.8470170497894,38
V33,2801.033622264862,121
V245,2743.0208726525307,153
id_16,2713.934957444668,191
V151,2711.245047211647,68
V277,2703.037026166916,249
V288,2696.7479923963547,85
V268,2662.0466814041138,114
V332,2630.2949253320694,57
V39,2616.4687994122505,151
id_07,2556.6594908237457,127
V280,2440.350131034851,126
V335,2394.7451204657555,66
V290,2372.6519588828087,112
V324,2337.513602733612,17
V43,2320.9778596162796,145
V333,2313.4786670804024,37
V295,2310.6867604851723,82
V256,2307.5390966534615,68
V154,2285.7555109262466,22
V123,2285.000288963318,62
V50,2264.4683426618576,88
V46,2223.1379849910736,119
V222,2205.884781897068,191
V220,2203.124945938587,86
V85,2189.642695605755,113
id_04,2154.6208495497704,113
id_12,2118.637941598892,22
V271,2115.1744490265846,146
V177,2108.1419855356216,20
V301,2107.8342994451523,80
V265,2100.1164904236794,181
V42,2097.8922441005707,110
V63,2052.7484520077705,96
V262,2023.5263555645943,136
V230,2023.1332024931908,69
V286,2019.0276990532875,48
V206,2016.1469289660454,67
V276,2008.78503459692,155
V64,1970.055811703205,108
id_08,1967.2924745082855,111
V208,1941.4615949392319,96
V9,1940.2089575529099,118
V8,1896.5690299868584,78
V100,1886.5842777490616,57
V253,1880.3558577895164,70
V303,1865.4672003984451,102
V163,1858.85372620821,53
V260,1838.1767910718918,113
V58,1789.3212211728096,85
V218,1779.8743745684624,110
V229,1769.6317741274834,139
V298,1751.648765861988,72
