iteration,validation_average_precision,validation_auc,validation_binary_logloss
1,0.2974889639716456,0.8428740272103219,0.14017316973095942
2,0.33304187398733803,0.8560949517942145,0.13844823373017842
3,0.36705115460592225,0.8631898830742003,0.13876611144474826
4,0.3732671600963554,0.8666383641024088,0.14026099388692578
5,0.3751348457365233,0.8697972324914421,0.14265364456188914
6,0.3802023704169504,0.8717880157844115,0.145191205528683
7,0.38124097814262725,0.8740878518112385,0.14806751361175555
8,0.386633662294706,0.8749633170774405,0.15149743471391552
9,0.38809521215728093,0.8765685035847903,0.15473417158183916
10,0.3903903318929214,0.8776032461949007,0.15791035844739462
11,0.39556160061237194,0.8792064227843859,0.16121089751120848
12,0.39603866279897837,0.8801059013809474,0.16441553669020453
13,0.3992938006260437,0.8804377626473621,0.16807733961411753
14,0.4018980863725966,0.8816683877020728,0.17140543483971843
15,0.40335773918518913,0.8826608259606433,0.17493852664972145
16,0.40516980622086646,0.883599325018084,0.17838863537244073
17,0.4081924972590669,0.8839930979036218,0.18167081247435948
18,0.40903371675622624,0.8846578522967701,0.1848273583540151
19,0.41023787123399363,0.8854429289048855,0.18794499974631237
20,0.41036094093815256,0.8857063933965428,0.19138719080784208
21,0.4115475989950317,0.8862913121611583,0.19467125857681655
22,0.41318219433117737,0.8868175839820353,0.19778863623919468
23,0.4141052762490923,0.8875918923495063,0.20098526103778472
24,0.41431653644161026,0.8879802503702803,0.20400974252513343
25,0.4154008773906869,0.8883068793170528,0.20708027022320713
26,0.4173696995450959,0.8886249728382467,0.20981307194567891
27,0.41886732539996796,0.8889244121695447,0.2129358527441873
28,0.41996485527995736,0.8890186419612943,0.21633808868760693
29,0.42124554521201474,0.8893129834798817,0.2191062447201643
30,0.42242231976056926,0.8893773412036337,0.22173881501301418
31,0.4230626732789337,0.8897457652971332,0.22466156930471773
32,0.42421701712278354,0.8902991537154362,0.22701860558790138
33,0.42620708288356196,0.8906926422148899,0.22949999447502023
34,0.4282297230783748,0.8910730374253086,0.23201982275391278
35,0.42904508964444804,0.8914120909695128,0.23437729928685583
36,0.42951069137427994,0.8916861142553067,0.23673999487537334
37,0.4309226181569678,0.8921962221860514,0.23883352040144057
38,0.431820973999393,0.8925600826515119,0.24071842211902975
39,0.43206201034451963,0.8927435616354841,0.24314569329054386
