feature,importance_gain,importance_split
V258,854212.5274991989,123
P_emaildomain,577410.1513271332,3371
C13,568373.966673851,1364
card1,435496.0995578766,3704
TransactionAmt,411132.82619285583,3104
V294,403395.2129640579,135
card2,398427.3071641922,3603
id_31,394664.90133190155,2619
DeviceInfo,375013.5945291519,2155
D2,373013.3409996033,1307
TransactionDT,349548.9583826065,3374
V70,335234.10357284546,66
addr1,326279.73221588135,3234
C1,290780.37678050995,752
id_33,202953.5308084488,1174
C14,196791.9562110901,618
C8,190351.10843467712,132
card6,189945.6767501831,199
R_emaildomain,187244.67201042175,721
id_30,185614.86169433594,1233
D15,184563.72974777222,1614
C5,181061.46933746338,355
D10,178027.3034172058,1312
dist1,160322.08805847168,1698
card5,158188.59923267365,1251
D4,155541.02289772034,1209
V91,151564.58462142944,81
V308,140282.65161132812,157
C2,136711.3659877777,662
D1,135330.10899162292,871
C11,125598.79228591919,484
D3,94748.67433834076,730
C6,92400.47045326233,528
V312,91183.0957775116,183
hour_in_day,91022.2104473114,1252
M5,87125.8283958435,538
elapsed_days,85062.15781593323,685
D11,83272.26820755005,844
V30,78465.16045188904,71
M6,74046.12454986572,501
card3,72957.54435157776,316
D5,62973.1211938858,667
D8,62210.29630279541,525
ProductCD,61404.64597988129,170
V317,60385.7504901886,149
M4,60150.26321601868,392
id_02,54502.57056427002,629
C9,53922.07879447937,447
V314,53625.777992248535,288
V307,53128.062397003174,325
V310,52702.92148017883,387
V62,51804.546251297,241
V283,47662.1302318573,125
V45,46966.47335243225,165
V313,46128.81533241272,482
id_20,45318.440625190735,580
day_in_week_cycle,41875.20212173462,677
V83,41203.272850990295,236
V187,38806.92908287048,32
C4,35454.74461174011,59
V82,34662.78608894348,259
C7,34451.197662353516,104
id_01,33819.93448352814,171
V315,30813.464592933655,306
card4,30471.082374572754,235
V320,30090.88155555725,149
V67,29609.922561645508,130
M3,29234.63622188568,205
V285,28875.28136253357,151
id_19,28745.735578536987,442
V87,28208.456327438354,188
dist2,26988.688292503357,371
V54,26921.423961639404,171
V243,26604.76445388794,14
V311,24455.68913078308,153
V53,23618.01109981537,194
V61,23290.10079574585,168
V281,23169.81000518799,131
V76,22895.762407302856,212
id_05,21859.079917907715,307
D6,21650.061987876892,168
V35,21603.537727355957,160
V149,21444.46078968048,43
V189,19400.031564712524,32
id_06,18932.086292266846,278
V38,18838.73666381836,149
V12,18809.58652305603,146
V133,18367.679805755615,76
V102,18169.30337715149,43
V296,18069.012382507324,60
id_17,18057.177713394165,118
V130,17756.26417160034,204
C10,17436.980701446533,115
V75,17296.88296699524,166
M9,17224.449647903442,193
V74,17075.425159454346,31
V20,16544.81869983673,134
V29,16476.92562866211,76
V156,15882.825748443604,48
V36,15457.516283035278,155
V55,14918.141735076904,102
V165,14792.157077789307,101
V13,14764.588613510132,153
V160,14571.107778549194,24
D14,13888.917309761047,236
V5,13316.633909225464,154
D13,13303.404445648193,127
M8,13212.663021087646,178
V19,13065.98621749878,136
V37,12898.693166732788,83
id_09,12840.260210037231,85
M7,12724.631256103516,170
V48,12427.564567565918,115
V136,12137.510614395142,115
C12,11745.253414154053,134
V86,11565.574542999268,136
id_14,11509.170049667358,115
V127,11324.398116111755,137
V78,11121.50652885437,136
V128,10896.844142913818,73
id_13,10862.823753356934,160
D9,10649.300877571106,156
V49,10436.7075881958,83
V4,10406.293821334839,118
M2,10181.970190048218,100
V69,10160.909442901611,68
V77,9937.141891479492,118
V96,9646.679189682007,56
V131,9590.388877868652,111
V56,9479.001571655273,89
V129,9438.784578323364,59
D12,9328.852102279663,108
id_18,9254.732230186462,116
V264,9243.318798065186,41
id_03,9216.54653263092,60
V266,8970.790376663208,47
V11,8618.188190460205,88
V157,8556.345979690552,9
V124,8407.968677520752,79
V24,8264.949047088623,91
V309,8127.357757568359,76
V291,8094.742000579834,86
V66,8089.636030197144,74
V44,7794.221446990967,96
V224,7691.823588371277,59
V282,7586.368112564087,79
V90,7578.199716567993,77
C3,7574.401821136475,64
V126,7276.308469772339,69
V99,6987.219167709351,50
V23,6410.238708496094,67
V289,6078.9503173828125,59
V306,6064.370943069458,75
V150,6002.55073928833,27
V318,5997.29817199707,54
V169,5987.679597854614,50
V161,5984.711402893066,10
V205,5980.239349365234,30
V47,5964.17622089386,49
V10,5879.175521850586,79
V192,5616.179197311401,5
V26,5599.69340133667,67
V94,5562.5661907196045,32
V257,5541.211067199707,10
D7,5531.734899520874,91
id_11,5184.9760093688965,57
V2,5145.199291229248,43
V139,4895.931493759155,55
V300,4854.223537445068,38
V7,4811.811939239502,55
V244,4733.796709060669,9
V145,4640.824342727661,14
V135,4444.109130859375,59
V207,4385.49249458313,37
V52,4378.70627784729,50
V217,4219.008380889893,18
V152,4185.693620681763,36
V231,4081.881130218506,14
V134,4063.32234954834,25
V34,4030.845603942871,27
V209,4009.749110221863,36
V159,3949.9240951538086,36
V6,3904.8253059387207,51
id_38,3823.3143997192383,52
V321,3792.2528972625732,47
V143,3560.8253021240234,43
V287,3474.7767543792725,26
V261,3443.711072921753,51
V137,3237.9312953948975,40
V319,3213.16432762146,47
V25,3206.777914047241,47
V51,3191.2672214508057,40
V234,3163.419687271118,48
V164,2870.1285076141357,27
V293,2868.111255645752,31
V79,2836.3447856903076,32
V81,2810.4785957336426,43
V3,2737.9537868499756,39
V331,2671.1753158569336,18
V203,2659.22611618042,31
V267,2620.1473865509033,39
V292,2430.4277000427246,37
V151,2328.234401702881,17
V324,2274.679302215576,9
V332,2273.228281021118,20
V154,2241.852996826172,6
V221,2223.9674863815308,45
DeviceType,2210.1995544433594,19
addr2,2165.278780937195,33
V316,2146.9122161865234,37
V333,2146.7576026916504,11
V335,2102.541130065918,19
V256,2041.7315979003906,24
V132,2037.3788089752197,39
V60,2029.275131225586,16
V270,2016.7974195480347,29
V268,2016.2977981567383,24
V263,2015.1762008666992,23
V177,2013.1436958312988,7
id_12,2012.0962524414062,5
V245,1959.5858707427979,23
V295,1924.9466571807861,19
V33,1895.5789108276367,22
V40,1861.6291103363037,30
id_07,1860.6608982086182,29
V288,1849.7666873931885,17
V123,1794.8872680664062,19
V280,1782.0662784576416,20
V220,1746.4636116027832,22
V286,1709.4805660247803,7
V163,1679.8768119812012,14
V230,1671.2528171539307,17
id_04,1650.8211069107056,37
V219,1596.3231239318848,17
V301,1588.717523574829,15
V85,1561.5419902801514,22
V274,1560.7705993652344,29
V50,1555.5541038513184,16
V323,1549.2180004119873,16
V73,1540.443000793457,20
V100,1519.675817489624,11
V290,1519.5871028900146,15
V253,1518.4313735961914,14
V225,1508.7237167358398,14
V206,1504.9733066558838,17
V233,1440.4537773132324,9
V39,1410.739984512329,19
V63,1403.9037246704102,18
V272,1390.1052074432373,19
V170,1389.572998046875,11
V42,1380.7736015319824,18
V58,1367.4790840148926,17
id_16,1349.2974014282227,24
V208,1338.5332145690918,22
V46,1338.3197860717773,20
V201,1335.0456943511963,7
V64,1327.8940982818604,19
id_08,1324.9058017730713,26
V8,1321.0308113098145,18
V213,1295.8425750732422,11
V271,1250.6594944000244,27
V105,1243.2055015563965,14
V218,1215.2709913253784,16
V298,1215.2512073516846,13
V262,1202.817792892456,21
V43,1188.4536094665527,17
V303,1171.2192974090576,24
V338,1166.4426021575928,13
id_10,1155.3954944610596,22
V251,1144.7211074829102,17
V242,1128.361520767212,14
V222,1126.1815967559814,18
V59,1118.2175903320312,10
V215,1114.5146884918213,13
V277,1109.6776008605957,20
V202,1094.356897354126,10
id_21,1067.3670043945312,13
V178,1064.632417678833,9
V109,1051.503921508789,12
id_15,1040.8213920593262,17
V155,1021.4400024414062,1
id_32,1009.0071029663086,4
V166,1007.9539108276367,15
V336,1007.0227966308594,8
V115,994.9274063110352,16
V265,987.1132984161377,23
V172,987.1100177764893,7
id_25,984.777889251709,15
V260,928.6394004821777,17
V229,927.5373973846436,16
V228,901.9733963012695,5
V276,895.900089263916,16
V9,885.9647026062012,12
V31,877.5725135803223,5
V216,874.4780044555664,12
V248,872.7295055389404,9
V278,858.233304977417,13
V214,833.0789051055908,13
id_37,805.1218032836914,16
V97,783.1902961730957,6
V210,766.4049053192139,12
V121,760.7979927062988,7
V329,734.3241004943848,7
V32,686.0371932983398,3
V212,684.2481021881104,14
V223,671.725492477417,6
V211,658.3443126678467,9
V146,633.4073867797852,9
V273,632.6028938293457,9
V275,626.6337051391602,11
V125,614.3045997619629,11
V339,604.0200996398926,9
V92,594.8282012939453,6
V238,593.4879760742188,1
V118,591.4533004760742,13
V80,586.7239952087402,13
V95,557.6154937744141,10
id_24,554.3859958648682,7
V259,550.1687049865723,11
V226,547.5171890258789,3
V93,515.8943042755127,10
V162,515.4217128753662,4
V184,508.54619216918945,7
V279,499.1319046020508,9
id_36,496.13510513305664,7
V181,474.14920806884766,7
V57,467.4493999481201,10
V204,467.3454065322876,9
V108,459.7794017791748,8
V71,450.1551971435547,5
V326,443.1161994934082,8
V330,439.8849925994873,4
V22,423.29309463500977,4
V180,412.8718948364258,5
V72,408.9200973510742,5
V179,397.2218894958496,2
V171,382.2942085266113,6
V173,361.12329864501953,2
id_26,360.3989944458008,5
V297,348.96939849853516,9
V227,327.8530044555664,4
V235,320.6045970916748,5
V21,318.7704048156738,3
V299,318.2134017944336,6
V304,309.91470527648926,5
V239,301.72609519958496,5
id_23,278.0199966430664,2
V167,271.8183994293213,2
V168,268.9560966491699,5
V191,258.9590148925781,1
V182,258.5830078125,1
V144,244.1144027709961,3
id_28,242.13229751586914,4
V17,234.68619918823242,4
V142,228.96049976348877,11
V176,228.88630294799805,5
V106,227.43850326538086,2
V148,221.59519577026367,2
V15,219.47080039978027,6
id_34,218.20680236816406,5
V188,214.30839729309082,5
V101,213.29269981384277,4
V232,209.91760063171387,4
V153,195.1820068359375,1
V18,182.3649024963379,3
V186,181.58779907226562,4
V328,167.9256935119629,2
id_35,162.70319747924805,2
id_22,160.8484001159668,3
V284,156.62169647216797,2
V110,153.54680252075195,2
V104,150.39189910888672,3
V158,147.98179817199707,5
V140,147.839599609375,3
V16,146.57969665527344,2
V198,144.97029876708984,3
M1,140.13710403442383,2
V183,135.67100524902344,1
V147,134.28210067749023,3
V116,127.47809982299805,3
V200,124.43789863586426,3
V302,123.56900024414062,1
V112,120.8744010925293,2
V98,114.70800018310547,1
V103,109.87290382385254,3
V174,109.87260055541992,4
V255,108.38279724121094,3
V175,100.72970008850098,2
V111,100.19089889526367,2
V122,91.62070083618164,3
V84,90.0590991973877,3
V114,88.01969909667969,2
V246,83.80029678344727,2
V322,83.60880279541016,2
V185,81.09750366210938,1
V334,81.060302734375,2
V337,76.06159973144531,2
V240,75.82119750976562,2
V120,74.33269882202148,2
V249,68.03790092468262,2
V250,67.0072021484375,1
V327,61.662498474121094,1
V199,55.97890090942383,2
V193,53.99919891357422,2
V254,40.359100341796875,1
V138,34.997798919677734,1
V14,34.0364990234375,1
V269,30.99090003967285,1
V1,0.0,0
V107,0.0,0
V113,0.0,0
V117,0.0,0
V119,0.0,0
V141,0.0,0
V190,0.0,0
V194,0.0,0
V195,0.0,0
V196,0.0,0
V197,0.0,0
V236,0.0,0
V237,0.0,0
V241,0.0,0
V247,0.0,0
V252,0.0,0
V27,0.0,0
V28,0.0,0
V305,0.0,0
V325,0.0,0
V41,0.0,0
V65,0.0,0
V68,0.0,0
V88,0.0,0
V89,0.0,0
id_27,0.0,0
id_29,0.0,0
