feature,importance_gain,importance_split
V258,854742.3887402415,209
P_emaildomain,642577.6372210681,8937
card1,627357.5600815713,24738
C13,609310.406144172,6049
TransactionAmt,588466.4879447818,23307
card2,566426.4270054698,21435
TransactionDT,547620.709738791,25459
addr1,484441.10996356606,20389
id_31,439601.5962648392,7693
D2,410063.392383188,5357
DeviceInfo,409844.97572907805,6862
V294,405768.06374308467,428
V70,337844.4467884898,337
C1,313279.92223984003,3501
D15,249382.52767148614,8441
dist1,248536.85571682453,10922
D10,225936.58772569895,6053
card5,218279.77599292994,7997
id_33,217035.48028814793,2683
C14,215531.03254425526,2660
id_30,205122.18200209737,3393
D4,202435.15521854162,6152
R_emaildomain,197200.45671266317,1797
C8,195136.5218001604,751
card6,194374.95095437765,594
C5,189362.91870722175,1182
hour_in_day,184189.58663225174,12501
D1,161207.06310105324,3601
C2,159210.7495496273,3128
V91,153773.09070330858,304
V308,146801.10643070936,973
C11,142249.206068933,2387
elapsed_days,125270.99133086205,5346
D3,116216.39238107204,3326
D11,115759.99434685707,4150
M5,115674.8007427156,3211
C6,108545.5161613524,2358
M6,98892.19580721855,2854
V312,97464.83667457104,949
day_in_week_cycle,97045.22911578417,7286
D5,89716.83938711882,3817
id_02,84946.43326640129,5254
V30,80413.9393928051,281
D8,79656.83704471588,3097
card3,77185.67718222737,895
M4,72265.62258344889,1347
C9,69720.04516285658,2057
V307,68770.49167639017,2040
id_20,67794.75967425108,3950
V317,66683.11105591059,929
V310,63953.49235153198,1665
V314,62817.77693629265,1269
ProductCD,62213.13420587778,300
V313,61514.076870679855,2077
V62,58433.692751437426,973
V283,51387.454193770885,571
V45,51190.36872795224,723
id_19,50910.45850631595,3812
V83,48793.90231207013,1061
dist2,45892.199537336826,3103
id_01,42508.702242136,1481
V82,41580.16653621197,1053
V315,39708.16441386938,1250
M3,39449.46788448095,1254
V187,39256.199658840895,115
C4,38301.70329749584,443
card4,37320.046106278896,773
C7,36439.95603853464,377
V320,33918.99827104807,576
V54,33790.38946342468,886
V87,33667.18428808451,851
V67,32839.87119293213,494
id_05,32411.32372942567,2045
V53,32214.865000844,911
V285,31674.033617913723,491
V76,30723.385011076927,997
id_06,30682.234648048878,2133
V61,29114.478151202202,834
V311,28031.800846487284,583
V35,27925.805339336395,811
M9,27295.22075486183,1218
V243,27057.275376051664,91
D6,26254.71162390709,809
V281,25861.22375714779,448
V130,25723.583311915398,1095
M8,24981.193909466267,1404
V75,24850.49800413847,905
V38,23815.485488653183,742
M7,23704.190784037113,1282
V12,23572.561117887497,640
D14,23329.699877738953,1598
C10,22219.249144673347,726
V149,21779.45414084196,120
V36,21603.158644616604,807
id_13,21459.870548665524,1645
V20,21355.7727484107,648
V13,21083.815467596054,795
V133,21030.753483772278,423
V127,19796.287029504776,1050
V189,19610.175554275513,81
id_17,19577.99097877741,333
V296,19421.483225286007,216
V102,19203.695740044117,151
V29,18847.040067642927,315
V74,18567.804049432278,215
D9,18306.915342628956,1382
V5,17932.485491126776,681
V19,17685.14853709936,631
V48,17303.409158706665,655
V78,17265.95749670267,790
V55,16944.604352355003,357
M2,16716.4122056365,761
D13,16375.492171019316,539
V156,16129.673300981522,102
C12,16012.697435617447,688
V165,15971.07839357853,295
V37,15402.907126784325,396
V160,15271.437671542168,175
V86,15150.141055583954,569
V136,14812.182262778282,407
V128,14680.213089883327,548
id_09,14599.436337560415,397
id_14,14417.563892781734,605
D12,14188.336438000202,771
V131,13862.255826711655,627
V4,13839.410454183817,466
V49,13530.72938400507,412
id_18,13421.896953046322,755
V77,13371.114255547523,543
V56,13324.408249914646,489
V69,12586.883828639984,316
V291,11943.716329574585,489
V11,11861.294820725918,382
V129,11856.807824850082,396
V309,11783.965432286263,510
V44,11665.033654212952,567
V96,11449.643633067608,288
V264,11288.214750051498,363
V24,11107.484352350235,426
id_03,10868.214616119862,352
V126,10566.400216460228,492
V282,10474.829370588064,427
V66,10463.597320139408,339
V90,10134.259811103344,381
V266,10017.022065490484,175
V124,9880.288434326649,260
V306,9862.974717259407,596
V10,9788.739637494087,473
V23,9265.109455168247,378
V157,8611.871990561485,20
V99,8576.217310607433,212
D7,8554.019678801298,510
V318,8490.192914903164,370
V26,8026.550739467144,338
V224,8001.036891698837,94
C3,7806.88009929657,81
V47,7652.004917562008,279
V289,7455.849927663803,191
V94,6869.3473281264305,162
V7,6806.21289396286,295
id_11,6802.010342776775,292
V52,6699.126079916954,278
V150,6419.671525776386,95
V205,6209.075029492378,58
V161,6134.291329681873,39
V169,6130.259089410305,68
V300,5971.606830000877,159
V257,5958.8268840909,80
V135,5894.847935140133,220
V2,5823.482042372227,124
V51,5781.315292000771,300
V192,5736.272316753864,27
V139,5459.278699696064,146
id_38,5301.70863994956,280
V134,5260.849978744984,172
V34,5201.235574424267,145
V321,5113.087272584438,203
V25,5105.49508368969,237
V261,5096.676111638546,295
V152,4965.466944932938,143
V6,4964.088798701763,161
V3,4935.069185912609,286
V145,4899.133216261864,57
V244,4884.253442764282,41
V207,4705.638001024723,91
V234,4673.712714672089,270
V319,4575.121296942234,201
V209,4530.191322147846,114
V137,4508.037789821625,190
V159,4445.105679094791,121
V217,4316.37396967411,44
V231,4203.201286137104,37
V79,4107.814151525497,187
V287,4065.5413206219673,88
V316,4023.8267757594585,311
V143,3936.740451991558,105
V221,3892.4569737911224,303
V132,3827.497918188572,235
V203,3799.9794121682644,205
V81,3759.1470988988876,170
V267,3756.1805890202522,206
V292,3717.290866613388,205
addr2,3711.7932812571526,223
V164,3328.2668825984,109
V293,3273.1727070212364,86
V263,3083.9756609797478,193
V60,3076.8293452858925,151
V40,3001.500445306301,167
DeviceType,2941.900032699108,149
V270,2931.8220504522324,148
V274,2903.9870072603226,222
V73,2896.0167113542557,182
V331,2838.8470170497894,38
V33,2805.2011712789536,124
V245,2746.023400604725,156
id_16,2722.1335134506226,197
V151,2713.1863251924515,70
V277,2711.1061301231384,257
V288,2696.7479923963547,85
V268,2663.8671013712883,116
V332,2633.091791331768,60
V39,2619.0940103530884,154
id_07,2558.9548647999763,130
V280,2443.7960879802704,129
V335,2396.5744054317474,69
V290,2373.3907209038734,113
V324,2337.513602733612,17
V43,2326.3856476545334,149
V333,2314.2932831048965,38
V295,2312.6451005339622,83
V256,2309.678620636463,71
V123,2286.2638589143753,63
V154,2285.7555109262466,22
V50,2275.1871126890182,93
V46,2225.095934033394,121
V222,2212.5024899840355,199
V220,2205.8061579465866,90
V85,2189.642695605755,113
id_04,2155.842263519764,115
id_12,2121.4664916992188,23
V271,2119.9545770287514,150
V301,2110.7601734399796,83
V265,2108.826210439205,187
V177,2108.1419855356216,20
V42,2104.9144651293755,117
V63,2054.1100789904594,98
V262,2027.1696955561638,140
V230,2025.256420493126,72
V286,2020.4070690274239,49
V206,2016.1469289660454,67
V276,2011.893297612667,159
V64,1971.68589168787,110
id_08,1968.323294520378,112
V9,1947.506857573986,125
V208,1942.5038748979568,97
V8,1901.1248999238014,80
V100,1888.947187781334,59
V253,1880.3558577895164,70
V303,1868.3799543976784,105
V163,1859.6300842165947,54
V260,1842.6211850643158,119
V58,1790.9154951572418,87
V218,1781.2263795733452,112
V229,1771.8300441503525,142
V298,1752.4354918599129,73
V215,1734.68024289608,102
V219,1733.2554016709328,46
V272,1722.4111567139626,70
id_37,1717.7880092561245,168
V170,1701.9196482300758,57
V202,1684.1063959002495,92
V323,1678.7962265610695,45
V59,1650.0385840535164,80
V105,1643.3782095313072,59
id_10,1640.5963255763054,108
V213,1626.0517155528069,50
V233,1610.3630833029747,39
V225,1589.9483668804169,27
V115,1570.3776025772095,73
V201,1561.3196545243263,41
V80,1552.1242898106575,150
V278,1525.2298924028873,131
V166,1499.2046260237694,102
V251,1429.86945104599,73
V216,1427.8607050180435,96
V242,1418.3036853671074,72
id_15,1396.4460692107677,68
V97,1360.9220020771027,74
V338,1325.4825987815857,33
V214,1318.8242020010948,99
V204,1265.8301075100899,109
V178,1260.7074888944626,35
id_21,1238.4647634029388,39
id_32,1229.8109708428383,45
V273,1224.0911673307419,102
V109,1172.8355565667152,32
V336,1154.1768557429314,30
V259,1138.691811800003,97
V212,1132.6768363714218,72
V275,1117.9996401667595,101
V228,1110.621472299099,43
V248,1110.5908727645874,44
