feature,importance_gain,importance_split
V258,846865.3511123657,110
P_emaildomain,519555.3261785507,3572
C14,514741.8104982376,675
V317,430534.41622161865,173
DeviceInfo,392475.6894760132,2336
id_31,389857.2677965164,2721
D2,387565.6550350189,1350
card1,380212.37679195404,3731
TransactionAmt,372029.902097702,3258
V70,367211.21944618225,78
card2,364902.08279800415,3436
TransactionDT,322123.4045982361,3286
addr1,304512.48355674744,3377
C13,272651.4557437897,1492
C1,239432.33552455902,822
card1_prior_count,230373.0011138916,2598
V91,226404.28173446655,68
D15,212909.9346551895,1856
id_30,202812.5050983429,1366
card1_prior_count_7d,200941.20457744598,2123
id_33,198499.9661512375,1254
R_emaildomain,198185.29895973206,757
card6,188445.98047161102,202
C8,184211.1481399536,142
C11,176473.9775428772,532
dist1,173351.70588684082,1945
D10,167511.45062541962,1450
D4,160488.03321266174,1350
card1_time_since_previous_hours,152384.46447372437,2042
card5,151178.84319496155,1288
C5,140855.59477233887,400
V308,131623.7313671112,197
D1,129851.4612865448,886
C2,126991.14642047882,703
card1_prior_count_24h,108470.0006275177,1364
V312,102204.57162380219,192
C6,94612.84305477142,595
D3,90199.89771652222,769
M5,88777.39666175842,652
M6,83563.13689136505,561
D11,81888.92822742462,877
card3,81572.8344297409,317
hour_in_day,80883.3770570755,1261
D8,62739.65401554108,532
D5,62181.79804992676,724
elapsed_days,61872.18660354614,611
C9,54832.69112491608,469
ProductCD,54072.47042179108,186
V313,52908.28946208954,501
id_02,51367.00713157654,693
M4,51019.36630153656,381
V310,50326.55028438568,374
V62,49439.36884498596,263
V45,48323.61371707916,191
id_20,45843.495750427246,656
V83,43339.15951156616,271
day_in_week_cycle,41987.37482738495,736
V54,39392.65413379669,231
V243,38714.68220424652,17
C4,37651.78399848938,77
V283,36810.64663314819,118
V307,36319.84905529022,338
V314,34281.233461380005,308
V294,33978.10699176788,129
V320,33747.66526412964,153
V87,32950.607003211975,221
id_01,32710.6378698349,191
V315,32552.09782218933,324
card4,30872.994636535645,245
V285,29366.55142402649,157
V76,28876.6930809021,234
V187,28223.770050048828,24
M3,28040.23192024231,209
V82,27929.781769752502,258
id_19,27820.985082626343,508
V133,27101.579261779785,98
C7,26595.002549171448,93
V53,24661.50207901001,209
V61,24213.633239746094,178
V309,23223.160574913025,99
V281,22647.174726486206,143
V29,22427.775323867798,88
dist2,22291.311492919922,417
V35,22040.134929656982,165
V189,21712.117846488953,41
V38,20661.223748207092,176
id_05,20556.61209011078,315
C10,19728.516072273254,137
V165,19645.286297798157,123
V67,19241.034467697144,104
id_06,18710.685190200806,267
V156,18485.892775535583,48
V55,18271.679490089417,123
V130,18088.068203926086,211
V12,16739.65265274048,148
V75,15804.908890724182,166
M9,15696.910179138184,185
V131,15270.540118217468,134
V13,15158.20248413086,160
V36,14974.230810165405,167
V49,14902.367972373962,115
D13,14814.110896110535,139
V48,14669.418115615845,159
V56,14609.801420211792,99
C12,14425.920136451721,163
id_14,14103.502197265625,121
V127,14047.562937736511,181
id_09,13792.980638504028,88
V311,13747.349643707275,125
V78,13694.831740379333,183
M8,13471.703435897827,204
V19,13373.01155757904,149
V20,13349.056985855103,139
D6,13168.629955291748,172
V128,13150.334314346313,81
D14,12763.856624603271,221
V94,12508.285546302795,45
V136,12507.221194267273,113
M7,12030.078828811646,195
V77,11860.631311416626,136
V5,11546.767649650574,151
V141,11474.669799804688,2
V192,11450.364791870117,9
V30,11374.727125167847,89
id_13,11092.574113845825,178
V86,11064.273292541504,126
M2,10998.12967300415,131
V37,10500.526582717896,81
D9,10306.705010414124,191
V90,10300.501064300537,94
V149,10258.927283287048,48
V266,10144.22905921936,53
V24,9908.70784854889,113
V296,9725.652428627014,53
V291,9724.369680404663,104
V44,9613.241751670837,112
V102,9551.353719711304,44
id_18,9382.934970855713,104
id_03,9197.254961013794,61
V160,9190.814610481262,30
V224,9063.934579849243,66
id_17,8890.295021057129,113
V157,8621.628273010254,10
V66,8597.4492893219,83
V69,8443.927276611328,85
D12,8211.419376373291,134
V293,7811.543330192566,48
V99,7749.215944290161,64
V126,7735.5095891952515,81
V4,7565.575838088989,117
C3,7313.571363449097,71
addr2,7265.565239906311,47
V96,7107.1463985443115,65
V205,7015.311676025391,41
V289,7003.258123397827,69
V169,6981.536027908325,54
V26,6728.865491867065,83
V257,6713.864652633667,17
V282,6669.00249004364,81
V23,6638.501704216003,76
V139,6450.019509315491,58
V268,6340.696688652039,36
V129,6173.7528076171875,74
V11,5933.841575622559,73
V10,5805.391319274902,78
V47,5783.509390830994,49
V2,5759.140886306763,43
id_11,5682.375270843506,75
D7,5654.52601146698,99
V7,5626.989696502686,75
V124,5576.41432094574,66
V217,5453.972677230835,21
V264,5003.901008605957,53
V150,4965.412399291992,26
V145,4797.954142570496,23
V137,4778.80370426178,55
V318,4719.387758255005,69
V201,4682.288991928101,14
V244,4632.4100704193115,8
V152,4620.492771148682,46
V143,4581.000089645386,39
V6,4284.865598678589,51
V335,4230.1723918914795,16
V163,4173.305503845215,28
V306,4096.767593383789,71
V134,3917.1677474975586,28
V229,3592.0696725845337,25
id_38,3521.647985458374,41
V207,3438.0445585250854,35
V52,3421.2942810058594,52
DeviceType,3279.240047454834,21
V3,3251.453193664551,47
V319,3221.3025074005127,52
V25,3214.6859970092773,49
V164,3168.000232696533,30
V34,3160.2608070373535,37
V321,3141.446599960327,46
V280,3086.605421066284,32
V234,3077.291687965393,58
V51,3045.097423553467,44
V261,3041.6867151260376,47
V159,2990.740177154541,28
V267,2957.9840183258057,46
id_15,2935.6333351135254,16
V316,2903.9179067611694,58
V209,2894.8992919921875,38
V231,2875.7457313537598,12
V81,2784.6513233184814,37
V74,2635.8048915863037,33
V166,2605.6840438842773,23
V40,2598.63001537323,42
V73,2562.8763904571533,25
V177,2467.605588912964,8
V288,2458.72247505188,31
V263,2402.4786138534546,21
V221,2317.894691467285,44
V135,2302.917411804199,41
V301,2267.5680923461914,27
V140,2192.5744953155518,13
V298,2181.3762950897217,18
V206,2173.460816383362,27
V64,2167.2001819610596,24
V132,2129.0720081329346,45
V33,2110.576992034912,29
V332,2075.1969776153564,25
V292,2004.6002960205078,36
V170,1976.977611541748,17
id_28,1974.6199951171875,1
V154,1943.623031616211,7
V203,1906.3256855010986,29
V277,1889.3836946487427,44
V215,1872.749906539917,22
V333,1861.6205005645752,11
V245,1861.2300128936768,24
V270,1860.4815101623535,31
V331,1833.1953010559082,17
V265,1801.8254842758179,30
V323,1797.7094917297363,13
V286,1772.5394687652588,12
V79,1748.6008968353271,26
id_04,1745.7251958847046,44
V105,1732.3438215255737,19
V142,1718.7471361160278,17
V300,1678.0821933746338,23
V63,1671.8221073150635,20
V271,1631.5318040847778,36
V43,1581.9893960952759,27
V42,1570.2071933746338,19
V58,1563.904390335083,15
V46,1559.0982208251953,25
V256,1544.8309898376465,19
V260,1531.6444053649902,24
V172,1441.7091302871704,7
id_07,1387.4321174621582,25
V219,1368.254898071289,13
V123,1307.8810892105103,17
V222,1307.3523998260498,24
id_08,1291.7986040115356,23
V233,1290.8617210388184,9
V125,1265.9277839660645,15
V211,1259.316598892212,10
V220,1249.1751899719238,18
V9,1246.2373962402344,12
V210,1225.8962097167969,17
V278,1209.3251934051514,18
id_16,1207.246208190918,21
V115,1201.3705101013184,15
V276,1188.2668991088867,19
V39,1174.367000579834,18
V303,1167.0965061187744,19
V50,1124.3021030426025,12
V274,1120.8041877746582,24
V80,1118.2662029266357,19
V295,1092.311710357666,16
V100,1091.7908153533936,11
id_10,1089.0507011413574,18
V324,1086.6938924789429,6
V339,1086.295578956604,11
V216,1083.0415086746216,15
V85,1055.3419075012207,19
V287,1048.854995727539,18
V272,1040.4257974624634,23
V279,1031.6231079101562,13
V275,1023.5624027252197,14
V178,1020.5376815795898,9
V60,1017.1839942932129,19
id_25,988.4711933135986,13
V338,987.1277980804443,14
V262,974.736213684082,15
V199,971.6276054382324,2
V290,963.993597984314,15
id_24,960.9709968566895,13
V218,948.9809017181396,15
V93,926.5945014953613,10
V109,911.0414047241211,14
V8,910.6968116760254,17
V144,907.480206489563,9
V97,906.2025966644287,15
V259,893.798906326294,16
V248,876.1239929199219,10
V239,873.3054847717285,11
V168,870.0319147109985,4
V230,865.6363887786865,11
id_32,863.7447090148926,5
V329,849.6593284606934,5
V225,841.7453117370605,7
V208,822.4080038070679,16
V57,783.9942951202393,12
V228,778.2273931503296,8
V212,765.3995113372803,11
V173,745.8742065429688,4
V198,743.8712930679321,5
V181,738.9595985412598,11
V148,737.8750152587891,2
V251,730.9195051193237,12
V273,711.4628028869629,9
V103,708.7280025482178,10
V72,673.0745124816895,8
V15,670.7992992401123,9
V118,649.6457939147949,15
V202,631.8216075897217,15
V304,582.9629993438721,13
V182,538.2264060974121,4
V147,535.6176910400391,9
