feature,importance_gain,importance_split
V258,833016.9709761739,225
P_emaildomain,587829.3161346614,8780
V70,541466.1185775101,380
TransactionAmt,501051.74425414205,22639
card1,499601.9109853357,21859
TransactionDT,483730.5813329667,22675
C14,483218.94922721386,2880
card2,461643.42279052734,19465
addr1,460976.5153077096,20443
id_31,453708.4409458637,8168
DeviceInfo,427673.6011868417,7135
C1,419197.94879852235,3921
card1_prior_count,343377.65695527196,18616
D2,295858.70224508643,5626
card1_prior_count_7d,280771.74403473735,15216
C13,278264.2604223192,6174
D15,260904.07892915606,9049
card1_time_since_previous_hours,250709.42442166805,18745
V91,245660.36430343986,296
V283,220801.14479079843,573
dist1,216137.26680718362,10627
id_30,215216.59733985364,3421
id_33,208370.86963313818,2753
D10,206217.38513457775,6607
D4,187816.21041159332,6446
R_emaildomain,187510.63748431206,1752
card5,186975.8454966843,7489
C11,180313.85781681538,2622
card1_prior_count_24h,170005.29973754287,10142
card6,151641.03915965557,549
hour_in_day,145539.83275650442,11469
C2,134988.21571049094,3329
D1,127713.55343909562,3860
C5,126728.16300547123,1385
V308,116167.69147437811,1083
C6,114637.15950189531,2471
M5,107892.01409748197,3111
D11,106262.99783656001,4314
D3,103812.63630764186,3535
V312,100783.53091558814,943
V317,93418.26906946301,1026
M6,91484.74640867114,2814
D5,90208.27676311135,4066
elapsed_days,84492.42103877664,4572
V30,82109.53627881408,296
C8,76811.84595754743,843
day_in_week_cycle,75749.04900690913,6657
id_02,72235.66890449822,5615
D8,71302.82705536485,3164
C9,67337.05277186632,2155
V294,66593.47626452148,524
V310,66578.20829311013,1841
V133,66557.39195722342,455
card3,66273.21168749034,809
id_20,64941.379847839475,4379
M4,63843.93158109486,1232
V313,63655.59861826897,2098
V307,58405.59276351333,2104
V62,54182.84059783816,1067
V83,50779.75614312291,1160
ProductCD,47797.61054170132,292
V314,46389.257254719734,1333
V45,44670.11631190777,792
id_19,42895.83102452755,4095
V54,39684.169513612986,940
dist2,38845.11369523406,3278
M3,38490.32408422232,1221
V82,38159.45460367203,1169
V243,36124.198211580515,116
C10,34999.48236170411,769
V285,34958.23153564334,521
V320,34619.12809318304,597
V187,34422.80310162902,131
V87,34120.91342948377,966
V315,32759.21480458975,1383
card4,32140.22504684329,672
V309,32111.99696302414,566
V76,31770.401211053133,1060
V67,31738.727844685316,520
id_05,31644.156742438674,2252
C7,29015.488917768,401
V156,28045.146297961473,121
V35,27013.33834642172,812
V75,26678.873364001513,894
V149,26284.542320251465,130
id_06,26264.4281501621,2235
V61,26219.37680694461,914
V130,26054.63699245453,1141
id_01,25000.32394334674,1548
id_17,24643.296787261963,366
V53,23872.241107225418,966
V281,23333.63912758231,519
D12,22776.154335677624,840
M8,22632.906907707453,1401
M9,22384.98946967721,1149
M7,22107.785899728537,1210
V38,21883.41745722294,738
V12,21205.450138032436,712
V127,21179.516067281365,1221
V311,20636.732695505023,455
V189,20321.812895923853,109
V13,20104.637949079275,791
V78,19857.863931700587,976
D6,19712.57127547264,946
V48,19559.36193010211,643
V19,19466.51390913129,678
D14,19392.79368056357,1578
id_13,19149.686212420464,1753
V20,18691.754482239485,779
C12,18512.58823557198,742
V36,17497.585538983345,876
V55,17429.42956084013,422
V131,17240.31583979726,707
D9,17018.008544892073,1522
D13,16448.773073762655,546
id_09,16403.28461280465,454
V96,16287.268256291747,310
V165,16179.377442032099,330
C4,16092.61554941535,414
V49,15611.556421011686,490
V5,15518.671724498272,663
V29,15109.798226550221,366
V136,15007.157947808504,410
V296,14903.987154901028,273
M2,14227.723836392164,733
id_03,13727.119345843792,333
V86,13386.525544852018,566
V140,13190.70842295885,58
V77,13108.973857373,539
V37,12797.971877992153,432
V90,12520.021218240261,410
V282,12465.134324282408,498
V56,12444.931470245123,499
id_18,12280.534229010344,806
V244,11928.588747859001,65
V291,11926.577954500914,445
V318,11625.292523801327,436
V257,11557.442933499813,112
V262,11206.687668591738,143
V24,11075.57804569602,479
V4,11048.074845895171,520
V44,10986.168844401836,617
V10,10959.06533023715,480
id_14,10863.43057847023,692
V128,10632.900765359402,581
V66,9861.624434947968,363
V11,9564.879969388247,378
id_38,9076.921214312315,270
V152,9076.165039002895,174
V69,8901.820938408375,351
