feature,importance_gain,importance_split
embedding_18,2223711.9746896476,6074
embedding_24,569423.6382724643,5158
P_emaildomain,554889.7116434723,7422
card1,441677.0603862405,17376
card2,408551.8382908404,15793
embedding_06,391644.3648018539,5312
id_31,385733.7666657865,7481
DeviceInfo,381035.5260068923,7437
TransactionAmt,361194.1777252853,15315
TransactionDT,340478.4812012613,16129
addr1,333654.5298743546,14480
C13,307236.9534522891,5140
embedding_22,272827.47099134326,3776
C1,202957.80968612432,3014
D15,196610.2787615955,6802
id_30,196519.5255228877,3013
C14,192830.36512483656,2073
embedding_19,181947.70348531008,5212
D2,180532.74859189987,4300
id_33,178366.35345216095,2419
embedding_17,175715.7796688378,5437
embedding_27,167930.9046127349,6017
embedding_07,163961.03366203606,5114
card5,160607.04165929556,5595
dist1,157463.01008994877,6989
embedding_00,155565.67560358346,3785
D10,149028.45827059448,4867
R_emaildomain,146245.79864689708,1607
D4,142713.92971473932,4882
embedding_16,134415.4665479064,6507
embedding_09,133158.76400454342,7092
embedding_05,127659.53664059937,7824
embedding_20,126102.7691474706,6783
embedding_03,125886.35054787993,4170
embedding_02,123380.70318952203,6973
embedding_29,123261.51575681567,6966
embedding_31,121374.30442218482,6086
D1,120750.41949480772,2998
embedding_25,116271.57525132596,6431
embedding_30,116018.90686166286,6172
C6,115821.38263198733,1919
hour_in_day,113273.65878395736,8366
embedding_11,112405.23229689896,6180
embedding_23,110283.4101486206,4365
embedding_10,103515.96929010749,4231
embedding_01,102040.5009521544,4924
embedding_21,101528.00751052797,5836
C2,100135.03642642498,2600
C11,96173.70808146894,2033
embedding_14,95596.60761971772,5674
embedding_08,93769.04397718608,4553
embedding_28,88595.5351139456,2470
D11,82053.77319151163,3000
embedding_04,79765.49844172597,3638
embedding_15,73751.8915489912,3842
M6,72156.53570394218,1940
M5,68888.72356815636,1700
embedding_12,66073.68445160985,4802
card3,61435.58362078667,711
D5,60868.09130193293,2602
V310,59805.64274905622,1583
id_02,58794.9633808434,4546
C9,57295.21231684089,1562
elapsed_days,55248.776364430785,3232
day_in_week_cycle,54227.4951800555,4635
D3,50857.19902776182,2253
C5,48639.74878281355,819
V313,48612.66241066158,2077
id_20,47463.59108489752,3501
V315,47384.12553715706,1299
M4,46777.51095753908,710
card6,40466.68322938681,329
embedding_26,40081.208536326885,2350
V314,39036.67234137654,1331
V307,39004.61211876571,1527
id_19,38864.00994326174,3234
V258,37743.0706961751,109
D8,37451.45985005796,2805
C10,36756.345644801855,775
ProductCD,36287.53554467857,278
embedding_13,34180.24971397221,1824
M3,31960.088202774525,893
card4,31916.408700108528,578
dist2,31449.97030133009,2941
V82,29044.38878417015,705
V285,27835.14864434302,423
V75,27741.251706451178,608
V83,26207.20546489954,727
V87,25638.153830572963,618
V96,25606.496985554695,274
id_05,23299.61981996894,1704
V62,23119.089347928762,651
V317,22595.900863349438,864
V61,21595.26354290545,623
id_06,20957.953128412366,1632
V76,20126.499503850937,765
V54,18718.822473615408,613
V13,18439.83535581827,546
C8,18307.47749580443,600
V78,17828.546689227223,749
V131,17585.96307885647,722
D14,17575.94100140035,1236
C7,17574.91720291972,325
V130,17451.722296983004,1004
V53,16766.465852230787,582
C12,16187.347728580236,627
C4,15778.327646449208,355
V312,15560.303340643644,892
V283,14887.2992272079,445
D6,14724.79038503766,755
V20,14387.854314386845,469
V36,14368.447031229734,514
V320,14251.325320780277,561
id_13,14209.685451284051,1342
V35,14176.388970315456,449
V56,13816.185087546706,453
V127,13661.584145635366,854
V45,13649.215268611908,451
D9,13268.425741821527,1322
V12,12959.517740368843,419
V308,12653.675226032734,774
M8,12442.991989254951,698
V294,12284.279715001583,398
V37,11846.929842978716,379
D12,11625.224990576506,693
V189,11553.588894248009,77
V291,11407.469826310873,436
V311,11342.610348671675,519
M9,11319.46469475329,564
V77,11278.746840387583,478
M2,11269.326829433441,427
id_01,11135.685104876757,1051
V70,11100.369776427746,139
V282,11002.984554126859,407
D13,10846.935664787889,452
V160,10830.894895479083,219
V55,10481.267978146672,284
V19,10276.148583114147,460
V133,10112.242748737335,385
M7,10022.509577661753,554
V90,9733.170173823833,159
V38,9628.059821099043,517
V224,8704.911829948425,87
V318,8534.792232006788,442
V67,8486.223708957434,258
V86,8366.730357259512,344
V24,8309.69182664156,320
V136,8094.054342716932,363
V49,7978.540257066488,140
id_18,7370.408678427339,575
V306,7183.976936429739,611
V30,6960.346182644367,111
V165,6909.16885240376,230
V4,6651.539160490036,241
id_17,6650.095729678869,242
V99,6598.57847777009,202
V257,6513.357605576515,80
V296,6512.134534984827,164
V91,6458.495779454708,130
V128,6443.927698940039,507
V309,6370.3164130449295,490
V124,6340.664264798164,165
V126,6263.416173428297,477
V5,6096.440183088183,306
V48,5965.894536480308,193
V52,5897.60501280427,174
id_14,5587.454234302044,412
V281,5567.871058285236,347
V280,5480.163149833679,143
V149,5383.06731249392,112
V139,5373.227309733629,150
V66,5341.960311740637,178
V44,5138.797236099839,353
V264,5128.445273011923,392
V316,5099.450824677944,393
V289,5024.073899000883,189
V69,4856.151439577341,109
D7,4737.388328969479,376
V266,4658.100561797619,186
V292,4545.301520615816,197
V129,4521.162084817886,438
id_38,4354.761512458324,229
V26,4316.975621908903,215
V29,4253.747806727886,114
V233,4250.126013368368,46
V156,4201.582774937153,77
V329,4194.945585608482,10
V152,4185.459735393524,134
V207,4168.803495377302,96
V295,4149.639166533947,102
id_09,4095.7783251553774,282
V7,3770.6645387411118,132
addr2,3634.1235515773296,108
id_37,3617.1494183838367,113
id_03,3604.3363969922066,242
V6,3562.2844960689545,83
V102,3491.348382949829,112
V3,3466.001348257065,171
V209,3441.373593121767,103
V81,3413.7206524014473,147
V11,3328.272915109992,138
V10,3326.3163625895977,121
V234,3248.8398508280516,157
V150,3239.877399995923,74
V137,3236.4271000623703,177
V321,3234.4186425060034,213
V134,3204.0177375376225,209
V205,3202.412023216486,52
DeviceType,3138.596912533045,131
V97,3109.5653355121613,86
V25,3106.5431625247,134
V23,3011.355881243944,166
id_11,2977.094211399555,194
V132,2946.9389170110226,200
V319,2938.9257459640503,148
id_21,2881.741962939501,46
V74,2872.6300662457943,131
