column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
TransactionID,144233.0,3236329.311287985,178849.57118565793,2987004.0,2994094.88,3013717.0,3077142.0,3198818.0,3392923.0,3543285.8,3569615.08,3577534.0
id_01,144233.0,-10.170501896237338,14.347949101433478,-100.0,-95.0,-40.0,-10.0,-5.0,-5.0,0.0,0.0,0.0
id_02,140872.0,174716.58470810382,159651.81685569626,1.0,1089.71,11475.2,67992.0,125800.5,228749.0,511458.6999999999,770898.3200000001,999595.0
id_03,66324.0,0.06018937337916893,0.5982313394612724,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
id_04,66324.0,-0.058937941016826485,0.7010153041069868,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id_05,136865.0,1.6155847002520731,5.249856482497284,-72.0,-9.0,0.0,0.0,0.0,1.0,12.0,25.0,52.0
id_06,136865.0,-6.698710408066343,16.491104461198184,-100.0,-100.0,-33.0,-6.0,0.0,0.0,0.0,0.0,0.0
id_07,5155.0,13.285354025218234,11.384206770817134,-46.0,-14.46,-3.0,5.0,14.0,22.0,31.0,39.0,61.0
id_08,5155.0,-38.6003879728419,26.084899144388594,-100.0,-100.0,-100.0,-48.0,-34.0,-23.0,0.0,0.0,0.0
id_09,74926.0,0.09102314283426315,0.9838415725027695,-36.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0
id_10,74926.0,-0.3011237754584523,2.7894458732852434,-100.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
id_11,140978.0,99.74532471343878,1.127601948075589,90.0,94.19000244140624,97.5,100.0,100.0,100.0,100.0,100.0,100.0
id_13,127320.0,48.05307100219918,11.774857746446466,10.0,14.0,20.0,49.0,52.0,52.0,64.0,64.0,64.0
id_14,80044.0,-344.5071460696617,93.69550192565015,-660.0,-480.0,-480.0,-360.0,-300.0,-300.0,-300.0,0.0,720.0
id_17,139369.0,189.45137727902187,30.37536048860903,100.0,121.0,166.0,166.0,166.0,225.0,225.0,225.0,229.0
id_18,45113.0,14.237337352869462,1.5613015280502323,10.0,12.0,12.0,13.0,15.0,15.0,15.0,20.0,29.0
id_19,139318.0,353.1281743923972,141.09534301913132,100.0,100.0,122.0,266.0,341.0,427.0,609.0,633.0,671.0
id_20,139261.0,403.88266636028754,152.16032721631092,100.0,107.0,153.0,256.0,472.0,533.0,600.0,612.0,661.0
id_21,5159.0,368.2698197325063,198.84703847271743,100.0,131.0,228.0,252.0,252.0,486.5,815.0999999999995,849.0,854.0
id_22,5169.0,16.00270845424647,6.897664752694576,10.0,14.0,14.0,14.0,14.0,14.0,41.0,41.0,44.0
id_24,4747.0,12.800926901200759,2.372446657786935,11.0,11.0,11.0,11.0,11.0,15.0,16.0,21.0,26.0
id_25,5132.0,329.608924395947,97.46108879911469,100.0,113.0,144.0,321.0,321.0,371.0,509.0,528.0,548.0
id_26,5163.0,149.0703079604881,32.10199467976517,100.0,100.0,100.0,119.0,149.0,169.0,199.0,216.0,216.0
id_32,77586.0,26.50859691181399,3.7375020251013966,0.0,24.0,24.0,24.0,24.0,32.0,32.0,32.0,32.0
