column,missing_pct,unique_count,top_10_values
ProductCD,0.0,5,'W':439670 | 'C':68519 | 'R':37699 | 'H':33024 | 'S':11628
card4,0.00267043722694483,4,'visa':384767 | 'mastercard':189217 | 'american express':8328 | 'discover':6651 | nan:1577
card6,0.0026602770345785214,4,'debit':439938 | 'credit':148986 | nan:1571 | 'debit or credit':30 | 'charge card':15
P_emaildomain,0.1599485216920107,59,'gmail.com':228355 | 'yahoo.com':100934 | nan:94456 | 'hotmail.com':45250 | 'anonymous.com':36998 | 'aol.com':28289 | 'comcast.net':7888 | 'icloud.com':6267 | 'outlook.com':5096 | 'msn.com':4092
R_emaildomain,0.7675161716395164,60,nan:453249 | 'gmail.com':57147 | 'hotmail.com':27509 | 'anonymous.com':20529 | 'yahoo.com':11842 | 'aol.com':3701 | 'outlook.com':2507 | 'comcast.net':1812 | 'yahoo.com.mx':1508 | 'icloud.com':1398
M1,0.4590713584177194,2,'T':319415 | nan:271100 | 'F':25
M2,0.4590713584177194,2,'T':285468 | nan:271100 | 'F':33972
M3,0.4590713584177194,2,nan:271100 | 'T':251731 | 'F':67709
M4,0.47658753005723575,3,nan:281444 | 'M0':196405 | 'M2':59865 | 'M1':52826
M5,0.5934940901547736,2,nan:350482 | 'F':132491 | 'T':107567
M6,0.28678836319300977,2,'F':227856 | 'T':193324 | nan:169360
M7,0.5863531682866528,2,nan:346265 | 'F':211374 | 'T':32901
M8,0.5863311545365258,2,nan:346252 | 'F':155251 | 'T':89037
M9,0.5863311545365258,2,nan:346252 | 'T':205656 | 'F':38632
