column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
TransactionID,590540.0,3282269.5,170474.358321127,2987000.0,2992905.39,3016526.95,3134634.75,3282269.5,3429904.25,3548012.05,3571633.61,3577539.0
isFraud,590540.0,0.03499000914417313,0.18375463417841403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TransactionDT,590540.0,7372311.310116165,4617223.646539683,86400.0,185058.82,751946.5,3027057.75,7306527.5,11246620.0,14857872.15,15629766.04,15811131.0
TransactionAmt,590540.0,135.02717637247264,239.16252201373405,0.251,9.244,20.0,43.321,68.769,125.0,445.0,1104.0,31937.391
card1,590540.0,9898.734658109526,4901.170153494899,1000.0,1338.0,2039.0,6019.0,9678.0,14184.0,17319.0,18238.0,18396.0
card2,581607.0,362.5554884999665,157.79324631004462,100.0,100.0,111.0,214.0,361.0,512.0,567.0,583.0,600.0
card3,588975.0,153.19492508170975,11.336443990207302,100.0,144.0,150.0,150.0,150.0,150.0,185.0,185.0,231.0
card5,586281.0,199.27889697943476,41.24445296502238,100.0,102.0,102.0,166.0,226.0,226.0,226.0,226.0,237.0
addr1,524834.0,290.73379392341195,101.74107175817109,100.0,123.0,126.0,204.0,299.0,330.0,485.0,512.0,540.0
addr2,524834.0,86.80063029453122,2.690623486052387,10.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,102.0
dist1,238269.0,118.50218030881064,371.8720264911674,0.0,0.0,0.0,3.0,8.0,24.0,846.0,2040.0,10286.0
dist2,37627.0,231.85542296754988,529.0534935529507,0.0,0.0,0.0,7.0,37.0,206.0,1001.0,2367.479999999996,11623.0
C1,590540.0,14.092457750533411,133.5690179994049,0.0,1.0,1.0,1.0,1.0,3.0,22.0,164.0,4685.0
C2,590540.0,15.26973448030616,154.66889921511546,0.0,1.0,1.0,1.0,1.0,3.0,27.0,154.0,5691.0
C3,590540.0,0.005643986859484539,0.15053562181686067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
C4,590540.0,4.092185118704914,68.84845855901298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2253.0
