feature,importance_gain,importance_split
V258,854765.2330614626,278
P_emaildomain,643665.4372894242,11704
card1,636078.1654902473,42846
C13,611006.4419346415,9910
TransactionAmt,597357.5469424948,42105
card2,573668.1946247816,36583
TransactionDT,556827.5869435519,44562
addr1,491823.6275125034,35771
id_31,440751.54397926107,10855
D2,411492.7151645757,8605
DeviceInfo,410752.4515312202,9381
V294,405851.8517522961,651
V70,337945.72513171285,568
C1,314226.0210003853,5683
dist1,252350.15236036852,19104
D15,251762.18436603993,13761
D10,227606.60197960213,9795
card5,220973.1351520419,13730
id_33,217257.692083925,3327
C14,216286.24638979882,4392
id_30,205440.1005469747,4281
D4,204229.8964017108,10101
R_emaildomain,197359.41787513718,2245
C8,195301.718850255,1209
card6,194447.33830548823,796
C5,189666.42979210615,1864
hour_in_day,189228.4226103574,23049
D1,162210.7277073115,5903
C2,160065.94619867206,4999
V91,153856.47802200168,484
V308,147103.6144183129,1680
C11,142899.6864380613,3880
elapsed_days,127242.49201631546,9246
D3,117214.56956784427,5626
D11,116897.76819749922,6748
M5,116566.96718578786,4906
C6,109193.20930336788,3819
day_in_week_cycle,99832.1807269901,13069
M6,99717.19039256871,4361
V312,97734.32754433528,1604
D5,90883.05732093006,6522
id_02,86661.79341784492,9838
V30,80484.03096087277,431
D8,80430.75314503908,5283
card3,77337.02089418843,1322
M4,72395.32163652033,1633
C9,70326.46619772911,3359
V307,69370.85332972556,3439
id_20,69022.65740820393,7261
V317,66920.09521721676,1545
V310,64455.76701143384,2844
V314,63143.62493155897,2035
ProductCD,62235.114679567516,365
V313,62057.188361581415,3367
V62,58686.103192482144,1552
id_19,52041.15383388847,6839
V283,51549.14082373679,938
V45,51354.31072150171,1128
V83,49077.51114209741,1711
dist2,46750.20756471902,5433
id_01,42992.9672807008,2744
V82,41865.30900749564,1681
V315,40053.48060166091,2047
M3,39823.88095175475,1967
V187,39276.381793655455,179
C4,38388.52573157102,670
card4,37381.9165469408,924
C7,36497.88623087853,540
V320,34038.78360709548,887
V54,34015.71254609525,1383
V87,33912.342340789735,1426
id_05,32967.60560371727,3619
V67,32947.64477907121,753
V53,32452.441530041397,1401
V285,31770.55048546195,735
id_06,31289.098794341087,3771
V76,30996.948695920408,1564
V61,29343.162642866373,1332
V311,28151.39433517307,922
V35,28123.66551359743,1215
M9,27673.468970894814,1982
V243,27077.0277832672,150
D6,26464.165155895054,1359
V130,26069.076342716813,1897
V281,25964.334861196578,706
M8,25421.72622127086,2250
V75,25064.26652020216,1381
M7,24095.3941995278,2043
V38,24016.741170100868,1199
V12,23729.771505974233,974
D14,23712.400651596487,2657
C10,22407.16960529983,1197
id_13,21962.686581023037,2960
V36,21842.533466115594,1282
V149,21791.720597736537,166
V20,21512.525122784078,1018
V13,21286.57294843346,1249
V133,21139.032137736678,695
V127,20173.7220877558,1935
id_17,19633.08217832446,490
V189,19621.75667285174,120
V296,19463.165017299354,327
V102,19243.645919695497,253
V29,18950.673239097,542
D9,18680.61767680943,2461
V74,18628.337748654187,338
V5,18113.85044822842,1064
V19,17838.0879406631,968
V78,17499.223524279892,1357
V48,17472.64712615311,993
V55,17026.500912114978,558
M2,16971.493204653263,1259
D13,16471.740061707795,825
C12,16161.67852153629,1082
V156,16143.853263355792,150
V165,16025.054025046527,488
V37,15498.640910372138,644
V160,15314.291011467576,298
V86,15298.822688020766,931
V136,14907.664007820189,637
V128,14868.363956317306,1014
id_09,14678.54925442487,636
id_14,14584.03853648901,1055
D12,14387.328494034708,1282
V131,14058.055095016956,1119
V4,13980.113700963557,758
V49,13645.164512962103,667
id_18,13626.290150262415,1320
V77,13502.235227361321,843
V56,13438.87702704966,779
V69,12679.06624943763,522
V291,12073.37793468684,789
V129,11983.661866255105,708
V11,11980.220405258238,624
V309,11940.43339470774,887
V44,11792.857996597886,863
