feature,importance_gain,importance_split
V258,847245.9828480333,248
P_emaildomain,566756.9735639654,10588
C14,528284.9784615934,3854
card1,504116.5773576312,31762
TransactionAmt,494583.9234021194,33754
card2,474406.52733363584,27723
TransactionDT,450414.4803047702,32796
V317,435583.2399534732,1468
id_31,428312.5219285786,10545
DeviceInfo,420756.8229396641,9070
addr1,420314.1328658946,29834
D2,417292.33318386227,8008
V70,369289.41384509206,558
card1_prior_count,338825.6687580608,26994
C13,303378.52872862294,8738
card1_prior_count_7d,287378.7234556712,21729
D15,262491.61349035054,12566
C1,257925.30959245563,5323
card1_time_since_previous_hours,253965.5198707655,28496
dist1,235754.1743751131,15942
V91,227934.2069637552,435
id_30,217326.99226678535,4005
id_33,208829.52930228412,3130
R_emaildomain,205300.1645740308,2049
D10,204957.22086071968,9331
D4,196182.65440980718,9089
card6,191071.36841967702,672
card5,189985.53389018402,10640
C11,189521.6119947955,3599
C8,187793.49399713054,1054
card1_prior_count_24h,162785.81152982637,14807
D1,149297.3992582038,5381
C5,147463.6738363132,1820
C2,143851.93239341304,4632
hour_in_day,141389.70130712166,17427
V308,137222.92374068126,1607
D3,109684.76605207846,5141
M5,107787.91311603785,4091
C6,107459.97514826804,3540
V312,107108.66834064946,1434
D11,104846.03443265334,6240
M6,102525.83739219606,3895
elapsed_days,87827.58317901194,6835
card3,84399.87997865304,1101
D5,82942.79970212281,5951
day_in_week_cycle,79039.73157051206,9749
D8,75939.39582762867,4833
id_02,75511.06688451767,8696
C9,65980.79074254632,3060
V313,64490.890329137444,3143
id_20,63991.95667530224,6395
M4,59544.4198371619,1353
V310,59122.209783151746,2601
ProductCD,54859.62740845978,373
V62,54655.651423152536,1457
V45,52073.335137188435,1106
V83,49262.58841037378,1605
V307,48901.47132118419,3184
id_19,45684.02885961905,6278
V54,44741.24968145043,1339
V314,41645.76774086058,1986
V315,40153.001607231796,1995
V283,39858.993749298155,899
C4,39792.969090640545,582
id_01,39248.630394581705,2338
V243,39109.12396420166,149
V87,37896.389249090105,1390
V320,36842.00419021398,880
dist2,36335.61055025831,4604
V294,36055.346101436764,711
card4,35288.78212637454,778
M3,34517.94127254933,1596
V76,34303.61725005135,1397
V82,33476.275072060525,1516
V285,31714.138408347964,672
V53,30412.05891022086,1287
V133,29494.60772266239,668
id_05,28830.806937817484,3205
V61,28756.836049199104,1251
V187,28717.75569901243,183
C7,28054.203940350562,500
id_06,27386.54021883756,3316
