feature,importance_gain,importance_split
R_emaildomain,718910.1583737731,2159
P_emaildomain,618063.8740035854,10953
TransactionAmt,546431.1809919365,35095
card1,539641.0935314894,33576
TransactionDT,519647.77126663923,36348
C1,503202.38973343,5312
card2,491755.7419169359,29409
addr1,471107.40491198376,31015
id_31,455148.4992356524,10467
V294,454135.9304118268,648
DeviceInfo,412811.09579284117,9227
C13,380947.4537957087,9043
C14,364586.58973801136,3937
card1_prior_count_7d,363998.9109608419,27130
D2,354806.295394592,8049
V258,333346.3270903826,263
card1_time_since_previous_hours,288946.4222394824,31009
D15,264826.7505644001,12799
V70,252842.2524889484,559
id_30,236905.78628545254,4064
dist1,225827.25542528555,16476
C5,213982.38308914378,1821
card1_prior_count_24h,199268.6851719059,16974
id_33,195721.621209573,3109
D10,195620.65351743624,9248
card5,192361.10435461998,10998
V69,190547.25979899615,508
D4,182868.02811614051,9178
C11,176226.35621371865,3624
hour_in_day,155704.91805667058,18053
D1,152259.6124663055,5513
card6,152175.51074421033,689
V308,149601.9953989014,1601
C2,133995.27208757773,4773
C6,108967.48957454786,3506
D11,105165.66174234077,6399
D3,103854.389391087,5319
M5,101372.49765782058,4211
M6,90761.07610873133,3715
D5,88444.21552553028,6102
elapsed_days,79722.72061266005,7068
day_in_week_cycle,79156.60539934412,10371
id_02,76806.51479141042,8807
card3,75996.92454601079,1107
V90,71819.64217036217,574
V310,71496.80221168324,2700
D8,69535.22028620541,4972
V315,68501.49868686125,1931
id_01,68226.3923646994,2447
id_20,66613.03034966439,6703
V312,65421.29528846592,1479
V91,65010.56331951916,466
M4,63525.005763962865,1437
C9,62480.17472252622,3109
V317,55291.93044126779,1466
V313,52864.90951180458,3167
V62,52625.72427625209,1479
ProductCD,51060.58572969586,373
V83,50383.42253826931,1684
id_19,47604.45783967152,6200
V307,46384.06995859742,3242
V45,45407.26624383032,1087
V54,41651.82607333362,1318
V283,40296.79243353009,853
C8,39282.608831748366,1152
dist2,38856.9751172103,4700
V243,38747.52683401108,141
M3,37510.90355142951,1631
V82,36829.66278857738,1548
V285,36649.37967541814,678
V314,34521.876832440495,2000
card4,34470.580678619444,841
V187,34207.50664817542,190
V320,34146.22220996022,876
V87,32604.11832420528,1439
C7,32247.227223027498,530
V311,29512.412717804313,640
id_05,27822.176205284894,3305
V76,27818.285619176924,1442
V264,26723.728340007365,709
V53,26704.23136101663,1329
M8,26381.583176784217,2004
V12,25365.68992907554,958
V38,25365.295570082963,1087
id_06,25169.053404837847,3375
V130,24665.00061408803,1750
C10,24603.886481776834,1107
V61,24052.494234405458,1215
V78,23240.405688177794,1349
id_13,23101.993565402925,2784
V281,22929.8425443694,755
V75,22397.434391252697,1288
V156,22366.270770028234,157
M9,22314.36305752769,1799
V36,22233.65643183887,1215
V20,21905.935267660767,1040
V35,21650.212987698615,1118
D6,21505.387863352895,1330
id_17,21306.044456269592,482
D14,20997.597814634442,2336
V55,20836.869274053723,516
V127,20521.054266177118,1828
V67,20311.20456836745,699
V19,19777.053453546017,922
V189,19733.847690686584,134
M7,19553.69562842697,1681
V133,19454.47923592478,668
V128,19418.48041897267,1005
V13,19363.241847336292,1128
V49,18730.969591014087,681
V136,17041.414343185723,637
V30,16838.711224913597,396
D13,16596.80656993389,763
id_09,16492.631260130554,603
D9,15913.702499039471,2352
V56,15888.659019455314,749
V102,15410.589234411716,250
V48,15238.161053292453,807
C12,14288.498457118869,1052
V86,14213.6171284765,868
M2,13812.898011244833,1023
V77,13776.049864813685,798
V296,13614.101273328066,334
V99,13400.09422494471,376
V309,13279.303871892393,863
V165,12821.068307176232,516
V24,12728.859813027084,676
V131,12570.294489778578,1100
V5,12487.16247631982,915
id_18,12455.753108136356,1175
V37,12026.954279959202,582
C4,11937.617205224931,569
V4,11920.138181332499,711
D12,11689.008020877838,1268
V158,11510.874292865396,61
V149,11449.871484301984,183
V66,10772.45410984382,508
V44,10760.772763222456,881
V282,10760.165018849075,652
id_14,10749.671799503267,972
id_03,10589.998174715787,521
V159,10497.61589762941,153
V291,10113.082088947296,740
V10,9947.5611185655,661
V96,9686.059581562877,461
V29,9215.655675597489,473
V257,8969.878929927945,167
V74,8830.140867978334,341
V289,8542.46016331762,293
V23,8466.27790980041,521
V201,8300.924360014498,72
V224,8285.218352653086,127
V306,8233.93558878079,1008
V126,8209.248297329992,862
V11,8200.763759113848,522
id_11,7756.773922596127,478
D7,7752.548795945942,780
V152,7694.621763661504,245
V7,7435.568941794336,461
V26,7025.4831964708865,491
C3,6900.958101972938,91
V129,6868.55017760396,633
V160,6840.284006282687,310
V124,6696.186167642474,350
V52,6576.8701153583825,423
V262,6507.32149374485,215
