feature,importance_gain,importance_split
R_emaildomain,722127.9001032636,2113
P_emaildomain,610150.8237638138,10842
TransactionAmt,534380.9276744947,34332
card1,518038.28821823746,32425
C1,494612.9076689184,5334
TransactionDT,493008.45604448393,34250
card2,481307.89768913016,28606
addr1,455203.7272162996,30269
id_31,445052.959379483,10373
V294,440190.99531774595,700
DeviceInfo,410784.12831991166,9203
C13,384079.76418597624,8822
C14,367616.9916184023,3992
D2,362828.4891030304,7997
card1_prior_count,361402.2313400544,29354
V258,335719.7417804301,266
card1_prior_count_7d,334430.0084718093,25487
card1_time_since_previous_hours,270041.8198135905,29834
D15,253781.5988544263,12691
V70,252092.38029931113,573
id_30,239417.8568211645,4034
dist1,226163.19976294786,16288
C5,205555.8962997757,1791
card5,200310.15139353275,10921
id_33,198152.51191714779,3112
V69,191126.78650730476,517
D4,190577.09790223092,9163
D10,187974.72987720743,9302
C11,180018.5917505175,3533
card6,150331.49173198268,696
hour_in_day,145781.97263260186,17966
D1,141467.06103916466,5473
C2,134274.07858512178,4689
V308,128921.72478527203,1571
D3,115496.48552178591,5246
C6,113710.74987764284,3627
D11,105472.36276054382,6255
M5,104783.86450796202,4031
M6,93412.77053626627,3702
D5,86694.87052642927,5968
elapsed_days,83318.97866894677,6679
V312,81769.51965919882,1466
day_in_week_cycle,81259.71826318279,10245
id_02,80275.04207998142,8791
card3,75305.9626644887,1077
V90,73021.58436807245,566
C9,72362.82220720872,3031
D8,71152.24381655082,4861
V317,67285.05220030248,1527
id_01,66409.5971182175,2313
V91,63905.36550848186,480
V310,63540.4344977811,2633
id_20,62319.05451902002,6578
V315,61677.71354705095,1935
M4,60762.59174250066,1410
V62,55760.37405026704,1435
V82,50652.53379693627,1597
ProductCD,49892.91669789329,382
V313,49705.781453713775,3054
V307,46762.92796837911,3142
V83,45485.43822136149,1629
V45,45451.79709000513,1059
id_19,44304.58254158497,6253
V283,42349.40258785337,809
V285,41971.532592244446,676
dist2,39692.126456249505,4748
V243,38364.452059779316,156
V54,36620.53315716609,1334
M3,35848.61288769543,1576
V320,35718.64083393291,823
C8,35052.90494162217,1162
V314,35044.44837800786,1941
C10,33912.209766793996,1129
V87,33733.40356831625,1464
card4,33524.531166382134,792
