feature,importance_gain,importance_split
R_emaildomain,720799.9229701757,2090
P_emaildomain,608789.2642507367,10837
TransactionAmt,526642.303417258,34721
card1,525863.5352548994,33129
TransactionDT,503986.4381958917,34850
C1,497065.2155338526,5524
card2,479797.3637467846,28993
addr1,469435.43218297884,30744
id_31,443645.64477930963,10500
V294,436551.96555043384,734
DeviceInfo,413409.69019209966,8986
card1_prior_count,404131.74572004005,31306
C13,380012.4710193947,8873
C14,370532.0233434625,3982
D2,362635.12407890335,7927
V258,337349.95439041406,265
card1_time_since_previous_hours,280420.54890758917,30498
V70,268239.4226784259,564
D15,252926.95369593427,12757
id_30,230518.53888735548,4003
card1_prior_count_24h,229999.9057641141,18697
dist1,216017.86759955809,16349
card5,201521.19791187719,10990
C5,197276.01353274286,1811
D10,197070.70561662316,9319
id_33,196116.97355999798,3088
V69,193829.22216384113,525
D4,190775.46235904843,9235
C11,180510.7196047455,3621
hour_in_day,152705.61660341546,17718
card6,148430.45586775988,696
D1,145263.47676100582,5357
C2,136736.1598498635,4804
V308,123465.49895775318,1642
D3,112353.50940773636,5298
C6,107951.16426499188,3533
D11,107842.91689735278,6390
M5,105741.81344703585,4196
D5,92296.61938152462,6122
M6,91944.62313278764,3687
elapsed_days,82635.39725678042,6781
id_02,82399.7339825891,8806
day_in_week_cycle,78847.6084568575,10197
V312,77764.55769589916,1491
card3,76115.3861198239,1101
V310,74059.82746868953,2779
V317,73869.5801808238,1528
V90,72975.8118821457,555
D8,69845.96269543469,4972
id_20,66766.30276530609,6664
id_01,66699.6513161175,2268
V313,66348.95954449475,3161
V91,64961.10713773593,470
C9,64483.88903453946,3049
M4,63335.56133844331,1428
V315,60634.825065065175,1936
V62,54788.46884077415,1469
ProductCD,52279.76517959684,369
V83,49734.87856407091,1670
V45,49131.790451183915,1129
V307,48879.0366602242,3228
V82,48429.80563084781,1616
id_19,43444.36331754178,6150
V54,43264.15907621384,1340
V283,39696.82218641043,895
V87,39388.083798334,1468
M3,39147.86989469081,1698
C8,38893.15176350996,1145
V243,38678.39687745273,150
dist2,38459.11023573205,4806
V285,37920.71662773192,723
V314,34975.35503973439,1892
V187,33391.17613386363,186
V320,33370.31880098581,907
card4,32958.49405846745,787
V311,30469.398694597185,654
C10,30461.506905019283,1156
C7,29577.7496329844,534
id_05,29390.026165340096,3157
V76,27952.326949622482,1386
V12,27426.769222728908,947
V281,27404.38017303869,784
V61,27271.99912827462,1250
id_06,26171.751738402992,3409
M9,25853.033542063087,1666
V130,25670.187237918377,1785
V38,24947.293495170772,1035
V53,24492.673185117543,1255
M8,24284.993703737855,1913
D6,23080.054268442094,1297
V264,22821.60657099262,803
M7,21735.654521763325,1641
V67,21646.99262726307,712
V156,21409.04419353977,180
id_17,21244.582933273166,493
V20,21174.931076146662,1050
V189,20790.280115429312,136
D14,20676.205319877714,2373
id_13,20565.343208584934,2706
V78,20404.420913666487,1306
V75,20059.51167626679,1244
V13,18986.845431149006,1118
V35,18511.674572594464,1045
V36,18343.63677481562,1223
V127,17864.087783299387,1808
V55,17623.539477664977,529
V102,17194.391520671546,243
V48,17155.175762720406,820
V19,17074.3958818689,903
V136,17067.882943801582,649
V49,16517.18659248948,660
V296,16484.58475471288,310
id_09,15813.365657772869,614
V30,15800.079807765782,419
D9,15458.985081724823,2236
M2,15180.957638397813,1039
C12,14562.977315858006,1021
V5,14500.426938347518,977
id_18,14444.384187001735,1185
V149,14308.25330105424,174
V128,14079.150779992342,975
V165,14057.650914188474,502
D13,14002.80873170495,781
V56,13994.121091477573,742
V86,13954.131333619356,848
V37,13640.176869500428,656
V133,13171.4205378294,683
V77,13134.89803738892,774
V24,12734.536348685622,705
V309,12728.385024026036,836
C4,12585.818516653031,578
id_14,12126.417474992573,948
V158,11855.283995427191,55
D12,11459.156069114804,1192
V291,10805.116066146642,708
V131,10799.778868876398,1010
V66,10657.327160231769,470
V10,10498.802393339574,667
V282,10304.307699553668,663
V44,9922.958715695888,835
V4,9834.191461615264,710
V11,9445.490872614086,507
V159,9416.379887074232,134
V29,9356.38563849777,474
V257,9322.137851327658,166
V74,9103.228861644864,309
id_03,8928.5016438663,446
V96,8908.177335195243,501
V160,8894.900853656232,313
V7,8786.33869625628,446
addr2,8528.99827375263,321
V126,8385.409701041877,772
V224,8235.672651983798,128
V201,8073.774081155658,66
V129,7918.150249995291,654
V23,7860.661566097289,557
V47,7490.687649864703,451
C3,7454.175279974937,81
V99,7339.4146834127605,352
V289,7314.20074852556,279
V318,7234.725551441312,667
V26,7153.065301217139,486
V124,6979.897742830217,361
V2,6959.194660231471,183
D7,6917.896067433059,769
id_11,6812.296801939607,495
V306,6784.349314287305,956
V152,6630.040056526661,245
V262,6533.480856344104,201
V169,5965.173832818866,75
V222,5737.753835313022,334
id_38,5634.497563034296,463
V205,5611.65530347079,84
V52,5599.066578343511,409
V6,5341.799303919077,233
V25,5321.170568056405,312
V151,5298.2027317509055,74
V137,5194.573165688664,308
V244,5115.4359274581075,77
V51,4999.432479605079,404
V34,4840.604901008308,237
V135,4701.9514587931335,315
V267,4591.23331688717,390
V207,4515.01334001869,138
V206,4383.688042931259,73
V139,4378.366604954004,248
V81,4352.215023487806,245
V94,4333.43786367774,200
V234,4312.704397790134,373
V321,4279.9361690580845,366
DeviceType,4172.630807593465,273
V150,4169.214640568942,163
V319,4148.274789504707,280
V316,4124.371632270515,508
V217,4028.0150019936264,57
V333,4013.6414353325963,42
V231,3967.626987077296,48
V221,3956.0967742949724,512
V279,3925.9611644260585,137
V261,3858.844212912023,467
V64,3856.782138429582,164
V164,3833.275323368609,188
V3,3804.8071091771126,339
V134,3759.17588224262,303
V203,3714.1340743005276,325
V298,3664.0346408486366,92
V266,3663.264726936817,196
V143,3656.1885198280215,131
V40,3639.513315990567,234
V163,3587.075540781021,62
V300,3545.087037023157,207
V268,3541.2320191711187,199
