feature,importance_gain,importance_split
R_emaildomain,724353.9574692734,2152
P_emaildomain,617599.4346532375,11086
TransactionAmt,549370.909598466,36430
card1,522353.0231057592,33281
TransactionDT,501951.7723720558,35447
C1,491990.2951095067,5455
card2,491752.90413888544,29087
addr1,460265.04926412925,31594
id_31,447680.07236791775,10491
V294,443750.96228351444,697
DeviceInfo,408459.7276917733,9144
C13,388582.7450324446,9179
C14,375131.6969583854,4093
card1_prior_count,368065.71168722585,30044
D2,367050.93951243535,8064
V258,332783.9428165853,293
card1_prior_count_7d,309653.2747611217,24804
V70,280263.85580709577,567
D15,248309.65489056706,12903
id_30,241405.29549264908,4006
dist1,227039.2706579268,16580
card5,199596.93949916214,11068
id_33,196809.93957010657,3136
D4,196803.59888877347,9431
V69,192809.3456968069,501
C5,192074.7398651801,1823
card1_prior_count_24h,186024.1432234086,17424
D10,182513.24553756416,9424
C11,182319.32077584416,3676
hour_in_day,155903.34616826847,18778
card6,147946.61229480803,707
D1,145171.29066351056,5531
C2,136818.54541921988,4884
D3,117150.58558373153,5379
V308,116006.05192459747,1601
C6,110264.85586927459,3584
M5,110093.0695694983,4311
D11,108964.7349777259,6369
D5,92189.26224028319,6147
M6,91752.28472720832,3874
id_02,80701.95770444348,9094
V91,80380.46817730367,513
elapsed_days,80163.7920625098,6775
day_in_week_cycle,80000.8873732686,10605
card3,75099.76764697582,1165
V312,74544.76848251745,1341
D8,72228.51774935797,4962
V310,71794.05183475092,2670
id_01,68118.91070505977,2516
M4,67377.53575953096,1476
V317,66738.00131785497,1426
id_20,64815.82448519021,6776
C9,64723.28179361671,3069
V315,60451.257636550814,1862
V313,58739.656950734556,3060
V62,57821.0431439206,1481
V307,57432.558766212314,3089
V45,49253.68273253739,1113
V83,48048.910707235336,1650
ProductCD,47900.480608321726,361
V30,46210.363223455846,430
id_19,45097.16623168811,6451
V54,42775.88864918053,1337
V283,42256.3377539292,834
V82,40522.765809848905,1563
dist2,39239.2130388394,4827
V243,38315.13828945905,132
V87,37908.26744520664,1363
M3,37862.155648209155,1707
V285,37024.649712219834,685
card4,36660.97331561148,754
V314,35703.146208595484,1856
C8,35625.290824241936,1127
V311,34886.60462429002,796
C7,32135.936178788543,552
V76,31340.991611488163,1469
V320,30571.760438129306,871
V187,29805.49147920683,174
id_05,29493.33673550561,3281
id_06,29231.947046361864,3601
C10,27259.984665885568,1104
V53,25711.87654479593,1301
M9,24737.502103991807,1721
V130,24252.321506798267,1718
V12,24144.090740941465,970
M8,23529.505197368562,1958
V127,23065.70015373826,1871
V281,23048.55418953672,676
V38,22911.5240210481,1046
V61,22501.931737072766,1245
V264,21849.601102389395,780
D6,21698.234962496907,1291
D14,21457.285181429237,2387
V36,21241.34907119721,1258
id_17,21233.915906067938,494
V75,21100.910301603377,1247
id_13,21093.388474673033,2838
M7,20488.50820659846,1634
V189,20004.216184794903,127
V67,19688.87710312009,717
V78,19645.996732085943,1372
V13,19515.51820857823,1152
V156,19387.71333181113,149
V49,19008.03733985126,654
V55,18972.731404930353,555
V20,18840.60351587087,994
V35,18699.08393547684,1105
V133,17945.503172867,637
V48,16974.12533315271,865
V19,16738.66383807361,889
V136,16405.791445676237,630
D9,16122.696600310504,2316
V309,16122.040325149894,879
V56,16007.547553606331,755
V102,15683.387675747275,240
D13,15667.445810861886,778
id_09,15157.433941047639,606
V149,15032.698546677828,184
D12,14679.045286945999,1218
C12,14643.192476764321,1050
V165,14095.27136091888,513
V86,14021.087285790592,914
M2,13852.510206624866,1057
V5,13472.167669907212,927
V131,13462.63896523416,1022
V296,13366.049432549626,299
V37,12752.598675966263,595
id_18,12677.629338938743,1166
V90,12239.8224677369,596
V77,12169.08151043579,750
C4,11871.020162124187,629
V4,11710.994005024433,717
V126,11576.890742391348,802
V24,11252.383976116776,711
V44,11192.745439976454,874
V257,11179.125962287188,161
V280,10865.943812198937,238
V282,10860.944654285908,690
V66,10820.32550869137,521
V158,10749.369243074208,51
V291,10583.426929563284,736
V96,10554.167376078665,518
V11,10527.728772513568,517
id_03,10273.078652668744,526
V10,10114.830984279513,676
id_14,10019.99331612885,1023
V29,9980.705996848643,492
V159,9933.94206637144,138
D7,9180.074306860566,859
V224,9115.519378341734,134
V128,9079.116869486868,892
V74,8982.629157468677,314
V23,8767.289891421795,521
V289,8239.113418884575,262
V318,8145.418272245675,635
V201,8140.0065929070115,65
V306,7746.47424088046,900
V152,7519.844092331827,254
V160,7288.006910707802,307
V262,7087.059188421816,201
V47,7072.207184158266,448
V129,6770.64735621959,626
V99,6721.151571653783,343
V2,6571.253219921142,184
V124,6560.119520481676,345
V7,6448.85266212374,447
V26,6242.969754744321,470
id_11,6170.951390631497,479
C3,6095.613239765167,78
V267,5716.965632457286,366
V205,5541.792669601738,74
V151,5538.678950533271,67
V169,5461.4037796109915,64
V139,5369.827360779047,239
V222,5365.03738489002,373
V316,5271.614625867456,525
V52,5150.760937094688,414
