feature,importance_gain,importance_split
V258,836106.4078856185,260
P_emaildomain,623352.9876392037,11222
TransactionAmt,570823.6921444945,38900
card1,569759.5249210522,36897
TransactionDT,544038.5174356438,39955
card2,498240.19422371313,32045
card1_prior_count,496514.7986908592,40255
addr1,476873.180788219,33248
C14,469120.5658509359,4309
id_31,455991.4365462661,10745
DeviceInfo,412249.64816355705,9297
V294,411610.07897489145,675
D2,368693.29784903675,8413
C13,356998.0087904483,9522
C1,301315.3729286827,5553
V70,298942.46443589777,582
D15,276485.38193127885,13513
dist1,238622.15277040005,17629
id_30,214439.19350127876,4010
D10,210496.63581902534,9710
id_33,204657.4405013062,3159
card5,201658.35861871764,12131
R_emaildomain,198802.71795986965,2176
card6,195219.2331788838,731
C8,192042.6152408123,1149
D4,184475.7541489005,9517
V308,173479.5385784246,1599
D1,167196.13017576933,5659
hour_in_day,162810.92640878633,20757
C5,157730.54348280653,1856
C2,142065.74432698637,4946
C11,139875.21141234413,3752
M4,136106.28087727726,1538
C6,127698.92984971032,3738
M5,120969.83280596882,4546
V90,113701.07237902284,632
D11,111748.61160648987,6503
D3,110466.3318708986,5585
M6,96911.32475335896,4107
D5,91978.67753891274,6368
day_in_week_cycle,89497.88843821734,11781
elapsed_days,88157.14745990932,8011
D8,81114.1053777188,5204
id_02,77853.80165634304,9639
V91,70750.39677555859,459
V310,70683.94530905783,2740
card3,68818.03618690372,1103
C9,66990.5858142376,3158
id_20,66569.66173398122,6964
V314,63673.63037073612,1983
V317,61879.31646436453,1436
V312,61683.32736678049,1424
ProductCD,60812.65693502873,367
V83,56497.86169233546,1744
V315,53244.78644603118,1891
V313,53117.234391093254,3096
V30,51830.4761307016,418
V307,51204.51968542114,3169
id_19,50936.5092304647,6722
V62,50778.16382227838,1495
V283,50657.29415722191,892
V45,46882.44998524338,1196
V187,46108.39770344645,180
dist2,42541.501143630594,5231
V79,40975.456243366,303
V82,39239.41772096604,1579
M3,39226.17321074754,1771
id_01,39211.35939756781,2624
card4,37877.41724649444,852
V320,36322.92479426414,876
V54,35230.90765986964,1337
V87,34281.8386965543,1491
V67,33893.21780864522,742
id_06,32226.81564998254,3638
V156,32062.811492569745,160
V243,31923.89669046551,159
id_05,31838.03035805747,3587
V285,31761.781397596,673
V76,31522.067913651466,1407
V75,29528.640883862972,1358
V311,28934.626516610384,872
V35,28088.75001194328,1162
M8,27845.706002391875,2117
C7,27094.952641956508,479
V38,26187.19645459205,1103
C10,26053.40342226252,1178
V12,25214.38033836335,987
V281,25184.58155427128,721
V53,24995.343485847116,1325
V130,24744.546526566148,1803
V165,24535.0620110631,516
V61,24238.424402080476,1290
V13,24022.826793059707,1181
M9,23601.527571622282,1802
id_13,22968.19533522427,2889
V133,22901.712524160743,631
V257,22412.004320651293,144
M7,21710.54382128641,1827
D6,21443.878288134933,1409
V78,21137.09441087395,1251
V19,20499.10257832706,939
D14,20016.406732540578,2545
V128,19843.095761209726,950
V127,19742.977983843535,1857
V36,19069.644721984863,1277
C12,18901.311705138534,1094
V189,18325.921264715493,129
V49,18098.743206605315,701
V56,17930.305904470384,750
V20,17897.672648981214,971
C4,17436.647138036788,587
V48,17266.86088617891,877
V55,17063.133467435837,529
D13,16919.690291710198,856
id_09,16366.053352311254,607
V136,16078.472986288369,647
M2,15771.690007768571,1122
D9,15632.0246928446,2503
V102,15595.767541877925,257
V309,15066.599625587463,847
V4,14747.969555780292,807
V86,14738.991964060813,870
V131,14051.216173507273,1029
D12,13977.03957118839,1218
id_14,13495.9856319651,1035
V5,13487.953296314925,1043
V37,13122.011824674904,657
id_18,13106.713409222662,1265
addr2,13048.56033135578,365
V126,12879.57368953526,825
V44,12852.339803487062,902
id_17,12844.406650781631,451
V77,12671.520590025932,868
V69,12471.449953325093,551
V29,11922.477249749005,528
V296,11801.983334988356,313
V99,11588.551115646958,312
V10,10784.522178448737,739
V266,10777.362237475812,189
V282,10562.960963882506,699
V66,10488.929670147598,548
V24,10066.098555229604,769
V26,9835.39124622941,537
V306,9578.083058420569,1011
V149,9323.953911941499,168
V96,9250.463940024376,534
V291,9236.685089588165,736
id_03,9075.119870394468,489
V150,9034.34279635176,159
V129,8792.822450131178,692
V218,8680.230951420963,167
V11,8299.599644497037,561
V124,8207.43778371811,334
C3,8011.1140604019165,85
