feature,importance_gain,importance_split
V258,846143.3029824048,286
P_emaildomain,607828.050483387,11298
TransactionAmt,589615.755151704,39776
card1,572914.3360482417,38639
TransactionDT,559732.7851364166,41406
card2,528925.1933493577,33386
addr1,481115.9121853709,34214
C14,470997.26811271906,4233
id_31,447811.8791037351,10810
DeviceInfo,422690.5698651783,9360
V294,400171.9418293163,620
D2,368110.9167024642,8352
C13,346850.08260153234,9441
card1_prior_count_24h,343051.395538304,28028
V70,311321.508413963,547
C1,305915.8383930586,5593
D15,278258.6704678759,13684
dist1,243077.91756850854,18270
D10,226771.26689727604,9771
id_30,210901.85944449902,4115
id_33,210189.89876700938,3344
R_emaildomain,209682.6605977714,2223
card5,203495.5911666453,12772
card6,195187.58162781596,799
C8,189355.10002928227,1167
D4,179553.90704458207,9860
V308,177881.79992035776,1710
hour_in_day,169130.889011506,21008
D1,162406.1731480211,5749
C2,146671.1757470481,4771
C11,142479.45791845396,3898
M4,137969.18027825654,1546
C5,137337.71127483994,1913
M5,132007.64271695912,4734
V90,123531.48692774773,594
C6,120630.67692990229,3731
D11,114302.92422525957,6591
D3,113856.27983186767,5615
M6,101952.64082431793,4175
elapsed_days,93104.41670636833,8331
D5,91919.22378583252,6469
day_in_week_cycle,89687.40254514292,11802
D8,84940.66242717206,5288
id_02,81006.60664117336,9607
V310,80872.88296858966,2708
card3,76673.85132835433,1337
C9,75148.12716127187,3315
V317,70776.42262177914,1493
V91,69912.20979624242,468
id_20,69096.92855646461,7035
ProductCD,62548.25509341806,362
V312,62081.82004997879,1459
V314,61050.94472191483,1928
V313,57850.1126826033,3285
V62,56984.226836919785,1523
V307,53007.813463531435,3225
V83,52369.29116147384,1699
V283,50300.7219311744,879
V45,50172.42224963009,1131
id_19,49558.04355227575,6768
V30,47949.023554094136,452
V315,45684.95640038699,2016
V187,42920.14425422996,175
dist2,40599.2594941929,5155
card4,38266.8783929199,884
V82,37586.40999213606,1630
id_01,37353.910817973316,2610
M3,36927.43979444727,1859
V54,35586.09288934618,1370
V243,34568.1101532802,177
V285,34042.0334328115,720
V87,33877.22163591534,1496
V76,33350.68468299508,1532
id_06,31593.73155272007,3639
id_05,31348.655048802495,3563
V320,30852.885887034237,852
V156,30851.980409674346,160
V67,30646.286357305944,741
C7,28893.610098689795,538
V61,28866.5473671481,1326
V12,28169.28180167079,956
V35,27915.41550541669,1197
M8,27360.368150502443,2289
M9,26178.5964358449,1868
C10,26064.360051307827,1155
V79,25795.493117891252,272
V53,25548.54245917499,1329
V75,24984.075595013797,1413
V311,24779.612698465586,884
V165,24563.856714971364,489
V281,24228.37309776619,722
id_13,23834.446022767574,2896
C12,23651.60100800544,1069
D14,23133.14484911412,2508
V13,22936.489745922387,1151
V38,22930.100489363074,1098
V130,22826.158133774996,1773
V36,22445.536987796426,1274
M7,20825.379261303693,1815
V20,20399.2338995412,990
V282,20362.8270618096,680
V48,20340.85379344225,889
D6,19646.33264002949,1389
V127,19466.809936612844,1967
V49,19379.79592615366,650
V189,19131.49285109341,138
V55,18985.196470938623,519
V19,18891.714988477528,972
V133,18512.93871641159,673
V56,18426.492861960083,799
V78,18163.10507108271,1303
V257,17321.659239791334,174
V86,17032.083453029394,891
V102,17012.827945522964,264
M2,16416.421013511717,1201
V5,16187.966465361416,1078
V296,16187.304154925048,344
D9,16024.308556675911,2454
V136,15520.662169605494,664
C4,15406.67378102243,627
D13,15375.984017595649,829
V309,15121.9047158584,893
V69,14652.791328646243,516
D12,14224.180376581848,1304
V131,14161.273382805288,1062
addr2,14021.675559349358,335
id_17,13908.492936737835,482
V77,13885.649581156671,810
id_09,13818.674606591463,606
id_18,13461.21242601052,1234
V4,13209.300982035697,741
V24,12954.86990199238,690
V29,12687.439552232623,482
V126,12631.376831650734,834
V44,12328.057978145778,870
V128,12007.827844850719,950
id_14,11597.64836634323,1006
V291,11538.085580967367,793
V37,11196.390473239124,613
id_03,10507.25074100867,482
V129,10307.877987794578,680
V266,10270.051764894277,197
V149,10226.698794666678,185
V96,9691.205547176301,493
V10,9641.824696682394,761
V11,9581.943040400743,630
V94,9471.335667140782,236
V66,9179.597036033869,516
V23,9119.329369954765,547
D7,8968.818698015064,848
V124,8937.131709471345,368
V47,8898.0950971134,458
V150,8761.545936107635,156
V7,8709.740932494402,430
V99,8662.681712053716,352
V218,8657.543253302574,180
V318,8421.150584839284,650
V306,8327.604393027723,1018
V224,8272.723033584654,140
C3,8095.401480555534,80
V145,7982.073898717761,121
V289,7114.088182583451,274
V26,6948.788549587131,524
V2,6780.2659250199795,176
V152,6646.886743471026,246
V51,6514.865250356495,467
id_11,6282.441855724901,503
V316,6133.911079742014,525
V244,6088.605267032981,87
V137,5781.27942449227,305
V319,5719.962047301233,323
V321,5617.3460386916995,341
V25,5611.844307228923,380
V207,5520.452680565417,155
V264,5480.707564368844,734
V52,5478.377518579364,421
V74,5376.766573615372,351
V6,5346.275138422847,233
V139,5340.730311349034,229
id_38,5265.090557292104,491
V169,5163.886692993343,72
V143,4963.24565641582,137
V205,4945.542257539928,64
V265,4877.997783888131,401
V135,4669.732287243009,318
V261,4601.476059965789,502
V234,4553.360076650977,356
V81,4522.08350135386,238
V267,4486.717644497752,364
V335,4270.351569466293,62
V280,4214.929154492915,258
V40,4105.4589918628335,307
V300,4085.155645303428,210
V292,4082.648062992841,289
V3,4069.0113790407777,364
V34,4005.1975658014417,226
V160,3975.5822756141424,295
V132,3924.3073404356837,328
V324,3908.221995845437,19
V271,3899.651917833835,213
V217,3722.097698800266,55
V161,3720.6674685254693,67
V221,3711.954650398344,533
V222,3555.6804049238563,346
