feature,importance_gain,importance_split
V258,849616.5250598937,264
P_emaildomain,602042.7929483689,11326
TransactionAmt,581306.6744538695,39527
card1,563681.4260159954,37121
TransactionDT,560371.4002626091,40936
card2,510379.83355724066,31882
card1_prior_count_7d,486986.7424674146,37350
addr1,473702.0544284545,33461
C14,465927.86811744794,4089
id_31,452784.3027288057,10798
DeviceInfo,421027.386045523,9318
V294,408717.3533325568,619
D2,354435.8591712341,8082
C13,344570.37424660474,9345
V70,315497.9259074703,575
C1,309330.12991143763,5544
D15,278947.4526043385,13314
dist1,236612.8009270765,17646
D10,227781.28795874864,9626
id_30,216818.23787868395,4048
R_emaildomain,207923.4658338949,2266
id_33,206344.02773421258,3261
card5,202745.87813217938,12247
card6,195775.84026964754,712
C8,188791.91963030398,1118
D4,188250.05571480468,9591
V308,175037.46652605385,1641
hour_in_day,168875.73273653537,20987
D1,162241.37875995785,5670
C2,149838.1193172559,4873
C11,140571.94969846308,3872
M4,135950.32443991303,1533
C5,131957.68918904662,1873
M5,129602.5449504666,4599
V90,123020.9664131254,642
D11,120334.84944536537,6681
D3,116986.58630055934,5613
C6,113344.57434481382,3808
M6,99185.86952625588,4221
D5,98117.52714506537,6334
day_in_week_cycle,88550.17624710873,11802
elapsed_days,83339.0092655383,8107
D8,79870.04757660627,5076
card3,78540.57300199941,1240
id_02,78319.96781183779,9718
V310,73165.55622965842,2780
V91,73065.69122193754,504
C9,71912.44652499259,3152
V317,67548.65644209087,1461
id_20,65840.61377772689,7045
V312,62637.5285326615,1495
V314,60119.876016527414,1927
ProductCD,58954.480332665145,351
V313,54701.011513091624,3147
id_19,53347.401327390224,6739
V62,51495.43975574523,1516
V307,51315.73058138415,3163
V83,50936.45932819694,1764
V283,50931.354084819555,918
V30,49779.26032702625,435
V315,48251.239702410996,1948
V45,47713.23748111352,1206
V187,42989.37255920842,171
dist2,42210.78328989819,5210
id_01,40685.55724610761,2665
V54,39349.19086381048,1353
M3,37761.44494282454,1795
card4,37107.0923678875,873
V243,36321.790719896555,171
V285,36116.319035448134,714
V82,35434.30515227467,1591
id_06,31188.53908180073,3583
V87,31176.29575265199,1423
V156,30918.411220282316,164
V76,30917.37384083122,1506
id_05,30463.773643411696,3469
V320,30340.17176631093,829
V35,29290.673602283,1226
C7,29226.592371061444,513
V61,29137.78929245472,1277
V67,28696.325796559453,748
V75,27148.26943411678,1410
M8,27087.752462133765,2234
V311,27011.70343322307,844
V12,25971.303748965263,1003
V38,25862.0499683246,1116
M9,25576.9195138067,1855
V79,25533.272303126752,279
V281,25470.827010698617,698
V53,25111.916956707835,1407
V130,24489.76131209731,1731
V165,24135.31316273287,499
id_13,22753.582803942263,2884
M7,22492.889795474708,1787
V13,22427.890861846507,1196
D14,22390.24142663181,2582
C10,22176.68363039568,1145
V20,21640.06338839233,1014
V133,21407.843501437455,646
D6,20360.948357090354,1337
V78,20195.9636849463,1321
V56,20037.194404922426,834
V127,20030.686601400375,1979
V49,19613.16461598873,694
V55,19120.46965035796,528
V48,19046.564754240215,898
V189,18453.999299570918,126
V36,17550.71624955535,1221
V19,17382.581084229052,909
M2,17356.690053239465,1156
C4,16612.92837177217,600
D13,16141.286564897746,792
D9,16081.091531284153,2554
V5,16023.803175520152,1041
C12,15791.219422698021,1091
V309,14976.698013812304,870
V257,14779.060100741684,163
id_09,14320.315088391304,647
D12,14152.764519102871,1259
V136,14143.020549885929,680
id_17,13699.434020332992,469
V4,13684.890907034278,793
V86,13561.926703572273,838
addr2,13158.280802473426,315
V131,12952.647912677377,1032
V102,12738.741404943168,260
V296,12653.69620225951,304
V77,12552.41092852503,772
V128,12549.906589865685,945
id_14,12538.628843732178,1034
V126,12452.908300727606,828
id_18,12414.443351261318,1242
V24,12327.637938670814,693
V282,11328.86976044625,692
V10,11279.343531951308,723
V44,11126.677491597831,878
V37,10749.65749463439,599
V149,10196.944666862488,161
V69,10168.31148788333,515
V129,10081.328718103468,724
D7,9918.673285905272,864
V266,9902.642391517758,202
V150,9856.76016306132,149
id_03,9801.787604413927,461
V289,9525.292986027896,294
V318,9232.897929213941,622
V29,9208.294593758881,522
V306,9156.181744351983,1013
V291,9110.955659776926,729
V96,8893.364994708449,504
V124,8781.308245658875,346
V218,8661.802273705602,170
V7,8597.787123166025,456
V66,8541.716457888484,488
V94,8423.86387129128,231
V11,8232.826794214547,561
id_11,8206.73078700155,491
V23,8180.354816004634,570
V224,7848.077909111977,131
V145,7687.228880383074,121
V26,7592.728745765984,547
C3,7515.7623308077455,88
V51,6643.418057810515,464
V2,6592.417645648122,164
id_38,6396.244928669184,487
V99,6144.593916468322,340
V139,6056.517788939178,254
V169,5701.501739665866,68
V152,5534.0043386258185,232
V205,5376.317646451294,74
V321,5356.253314346075,309
V319,5324.9842112362385,302
V316,5296.028819769621,526
V244,5202.942919775844,92
V47,5149.929655909538,433
V217,5143.979583449662,57
V3,5074.238544397056,374
V207,4981.26370780915,129
V267,4954.113112013787,396
V264,4806.380811937153,764
V143,4802.713142596185,140
V261,4743.746925510466,485
V234,4632.82076883316,344
V6,4586.048411041498,217
V74,4571.000376068056,328
V135,4566.4950420334935,273
V25,4547.696904689074,332
V52,4377.448223374784,416
V34,4296.940633766353,240
V160,4194.650595266372,318
V161,4121.9186887815595,58
V221,4097.131294123828,547
V137,4070.029284156859,284
V300,3988.5910669900477,223
V81,3980.9015807509422,257
V203,3967.6329475417733,342
V164,3951.366316501051,173
V292,3820.2196761518717,319
V324,3673.74386253953,15
V231,3662.607672780752,35
V265,3523.382900632918,348
V293,3494.385345507413,122
V331,3470.5814824551344,61
V209,3435.5365773513913,147
V132,3425.078949905932,318
V332,3318.565401189029,114
V43,3278.7717976272106,221
V40,3275.5798550397158,248
V64,3240.1763081029058,196
V280,3173.3630287200212,248
V290,3092.1553603857756,178
V259,3064.392839960754,205
V268,3038.814003787935,216
V277,2990.3015441149473,451
V134,2975.8317727968097,311
V33,2935.9454263672233,189
V201,2934.4720085561275,54
V245,2839.9192200899124,260
V200,2657.694012925029,83
V263,2642.7980736866593,325
V288,2535.2500983923674,114
id_37,2534.1496251150966,265
V220,2518.3483100160956,128
V177,2503.1008613035083,27
V46,2482.367215283215,180
V39,2469.8008675575256,234
V301,2467.3667987063527,140
V166,2462.6442228630185,184
V335,2448.6443251892924,78
id_16,2442.6964705102146,305
id_07,2357.4119099751115,173
V270,2344.9015973359346,234
V159,2298.7242426276207,154
V50,2285.2113476917148,90
V42,2268.07682710886,190
V73,2267.832294382155,277
V206,2243.62202078104,94
V274,2217.7329754903913,330
id_04,2176.4548058733344,173
V256,2173.432743936777,108
V271,2154.440539866686,210
V95,2102.252454943955,95
V163,2093.2711157277226,57
V262,2075.9666809737682,225
id_15,2052.9022818282247,67
V140,2025.5709102712572,118
V336,1988.9152449518442,37
V287,1911.8064827471972,148
id_10,1891.4812223538756,142
V222,1869.0669872835279,340
V212,1865.8039817214012,111
V162,1861.8692487999797,43
V272,1831.6244892328978,107
V208,1816.5660783164203,141
V279,1809.8195647373796,142
V151,1795.5225196778774,85
V215,1734.9623918756843,203
V303,1729.8473072126508,135
V329,1721.567408695817,13
V295,1708.5542055219412,122
V60,1692.921489007771,160
V276,1677.5661288574338,239
V170,1671.0558658204973,75
V298,1662.6244346648455,120
V9,1660.2829099148512,178
DeviceType,1656.5088003277779,267
V125,1649.737199254334,100
V225,1616.5158438906074,28
V260,1578.0399589389563,170
V63,1571.3292047604918,131
V105,1563.119890704751,92
V85,1536.5053755268455,164
V229,1486.8697650879622,235
V253,1455.8817131146789,89
V333,1453.4981553927064,55
V216,1442.4415909647942,140
V278,1415.8991096317768,206
V80,1410.5737302675843,189
id_12,1409.056888461113,43
V97,1398.9269911795855,145
V286,1375.7389291673899,82
id_08,1373.4724595174193,148
V93,1340.5520416796207,96
V210,1330.2344283908606,110
V58,1320.4751896113157,133
V199,1312.2716068550944,32
V92,1302.6695481315255,88
V178,1300.3582953065634,45
V172,1293.2176359407604,18
V230,1286.32233209908,98
V100,1264.9282980933785,90
V202,1258.5472738444805,160
id_21,1255.245055899024,64
V219,1226.1645658537745,64
V214,1212.6581449136138,179
V154,1210.4664177000523,31
V275,1139.5911978781223,176
V57,1136.0660370960832,144
V8,1133.9434076473117,86
V251,1124.5463580340147,97
V115,1120.3860621899366,107
V339,1092.2313480973244,24
V228,1087.8023951500654,49
V273,1066.1182824894786,157
V109,1043.1023143976927,45
V59,1029.3516989052296,141
V192,1027.1485380977392,36
id_24,1025.263665869832,37
V232,999.5591867640615,103
V323,990.0663141608238,56
V211,953.9645577296615,84
V204,942.4585809782147,188
V84,941.319597799331,111
V233,934.7784701883793,64
id_25,934.5805324912071,49
V304,932.4217478260398,89
V299,860.8554661720991,42
V123,844.307072289288,66
V103,801.4338656812906,61
V297,781.3739649951458,44
V171,775.8209208250046,65
V226,761.1216706261039,66
V144,722.1782831996679,62
V181,711.6353872269392,35
V173,697.2281201183796,8
V248,688.6943880394101,53
V223,688.1153297424316,33
V17,676.3112786412239,60
V153,645.4295866042376,7
V108,629.3440774455667,45
V116,611.6997745409608,55
V16,590.9358000010252,46
V337,581.4667412117124,14
V31,580.2933689802885,63
V106,564.9955717399716,38
id_26,560.6978603079915,46
V158,559.9434628039598,58
V104,552.6767821907997,32
V239,552.5674242600799,67
V15,551.0631437823176,83
V147,536.1164875254035,78
V184,526.7491450160742,31
V330,511.79021064937115,4
V146,501.51946936547756,28
V18,495.6090096011758,51
V302,492.82976008951664,61
V284,480.37441074848175,43
M1,478.3031796514988,25
id_36,471.95589531213045,36
V326,455.938172519207,15
V186,455.9204435199499,30
V118,448.7737659364939,30
V338,438.85312328487635,24
V213,429.2271408960223,82
V72,420.7859952300787,57
V121,396.7706521451473,11
V235,393.12403543293476,26
id_28,388.3600560799241,52
V242,385.8254951387644,71
V180,376.9327915161848,38
V168,367.349963799119,24
V142,355.90171921253204,26
V21,343.40720304101706,38
V71,343.0873372554779,48
id_32,341.2691619992256,71
V148,339.0455965027213,14
id_29,334.19136476516724,37
V101,302.0334816426039,52
V322,296.7164861410856,9
V254,294.7559452429414,34
V238,282.2270644530654,58
V174,255.43637964129448,8
V237,246.1002755537629,33
V157,243.71967616677284,15
V246,239.71657433360815,47
V176,236.5685160458088,35
V183,234.285687841475,19
V167,229.81341520696878,22
V227,227.0043010264635,25
V255,226.31028062850237,27
V141,221.4177497625351,4
V190,215.52436547726393,35
V188,209.41781781613827,74
V182,206.93909966945648,14
id_34,204.85164320468903,8
V32,201.01392430067062,22
V112,192.83126452565193,46
id_23,190.40138864517212,7
V175,178.12455344945192,13
V236,177.96402971446514,34
V122,172.5605930685997,10
V185,161.40093952417374,15
V249,160.06978203356266,29
V250,152.96872597932816,22
V22,135.71617435663939,26
V110,126.2174728140235,16
V98,124.99320963770151,46
V138,116.96470046043396,4
V198,110.9571873396635,41
V334,102.5496801957488,5
id_35,91.69289191812277,13
V252,91.62059152126312,6
V179,90.78782039135695,11
V114,81.42760345339775,9
V193,78.44000051170588,15
V1,74.09959983825684,2
V269,71.8377799987793,3
V120,63.36549949645996,2
V247,60.90857542306185,15
V328,52.55139923095703,3
V119,47.872798919677734,1
V111,32.86807633936405,5
V240,21.84948965907097,7
V14,20.88451075553894,2
V195,17.6424058675766,9
V197,8.846399739384651,3
V155,6.118452683091164,7
V194,1.6936480402946472,2
V191,1.0324575155973434,2
V327,0.5015760064125061,1
V107,0.0,0
V113,0.0,0
V117,0.0,0
V196,0.0,0
V241,0.0,0
V27,0.0,0
V28,0.0,0
V305,0.0,0
V325,0.0,0
V41,0.0,0
V65,0.0,0
V68,0.0,0
V88,0.0,0
V89,0.0,0
id_22,0.0,0
id_27,0.0,0
