feature,importance_gain,importance_split
V258,848259.6215957254,244
P_emaildomain,618221.152401425,11186
card1,606167.570189748,38301
TransactionAmt,580434.7264228202,37950
TransactionDT,557591.3071668781,40069
card2,521619.6561113782,32920
C14,469955.1018358879,4200
addr1,469818.3223793842,32916
id_31,440045.4734596163,10750
DeviceInfo,421444.44775913283,9339
V294,412890.0645583272,653
D2,368567.0621864386,8255
card1_time_since_previous_hours,362009.17320693657,37825
C13,353603.9322765283,9295
V70,308850.3864848688,563
C1,298614.0782589726,5340
D15,259744.05747038499,13380
dist1,234664.61351004243,17560
D10,224737.15741393715,9556
id_30,216873.94178475812,4081
R_emaildomain,209985.49575541168,2165
id_33,209430.6735402234,3332
card5,208794.5964757353,12278
card6,195714.6513573937,829
C8,191953.42621137947,1066
D4,186980.97983458638,9783
V308,178410.38681534305,1755
hour_in_day,175063.1194465086,20520
D1,162842.2527356632,5563
C2,151073.0483338274,4790
C11,144473.84177383035,3811
C5,140633.6935871467,1807
M4,131444.73833848536,1441
M5,128429.25838562101,4491
V90,125434.12073443085,630
C6,122020.74922538549,3647
D11,119802.47378438339,6715
D3,116969.95629141107,5580
M6,95353.75353810191,4101
D5,93027.80642738566,6448
elapsed_days,87637.41109784693,8022
day_in_week_cycle,87625.53142824769,11427
id_02,81544.0516411066,9325
V310,81253.88355457038,2771
D8,78729.1804167293,5207
card3,76835.42110583186,1186
V312,71366.4260453023,1619
C9,70455.5902889818,3191
V91,69841.1063535288,463
id_20,69242.8440370895,6893
ProductCD,62915.864718191326,351
V317,58170.05721831322,1636
V62,55069.40719847381,1498
V313,54700.63425696641,3342
V307,54186.04612184316,3544
V83,52682.83177373558,1774
V314,52449.762544333935,2061
V30,52187.59340701997,436
V283,52184.56013557315,905
V187,50798.75567704439,166
id_19,49777.39997326583,6471
V45,48515.80773932487,1192
V315,46694.005588024855,2060
dist2,42031.8416794911,5132
V82,40549.390844635665,1624
M3,40415.45911926776,1879
id_01,38736.61194669083,2572
card4,36910.407280258834,865
id_06,34287.7620594874,3690
V54,34219.314134173095,1363
V87,33515.75003744662,1479
V285,33104.444671966136,733
V76,32815.84993177652,1537
id_05,32780.82822744176,3473
V320,32718.03562836349,910
V67,31805.22039978206,739
V156,31283.442588105798,155
C7,29150.902031902224,538
V35,28422.986186124384,1133
V243,27920.470993623137,155
V61,27505.643661037087,1409
M9,26646.82010088116,1846
M8,26625.62841961533,2132
V53,26466.893296301365,1395
V12,25679.935323104262,984
C10,25437.684568457305,1160
V79,25141.76015368849,250
V75,24197.12200703472,1371
V281,23541.17290045321,752
V38,23163.36399448663,1162
V165,23003.01656281203,475
C12,22997.239511705935,1038
M7,22529.508776910603,1797
V133,22447.934041474015,754
