metric,b0_value,g1_value,delta_g1_minus_b0
PR-AUC,0.6491385746479026,0.6264202966198482,-0.022718278028054373
ROC-AUC,0.925020356086887,0.9138577334326102,-0.01116262265427681
Precision@0.5%,0.9593679458239278,0.9706546275395034,0.011286681715575564
Recall@0.5%,0.13971071663379356,0.14135437212360288,0.0016436554898093259
Precision@1%,0.9469525959367946,0.95372460496614,0.006772009029345383
Recall@1%,0.2758053911900066,0.2777777777777778,0.0019723865877712132
Precision@2%,0.8194130925507901,0.791196388261851,-0.028216704288939076
Recall@2%,0.47731755424063116,0.4608809993425378,-0.01643655489809337
Precision@5%,0.46410835214446955,0.4521444695259594,-0.011963882618510169
Recall@5%,0.6758711374095989,0.65844838921762,-0.017422748191978976
