metric,b1_card1_value,g1_value,delta_g1_minus_b1_card1
PR-AUC,0.6550391328616743,0.6264202966198482,-0.02861883624182604
ROC-AUC,0.9280732137984835,0.9138577334326102,-0.014215480365873279
Precision@0.5%,0.9683972911963883,0.9706546275395034,0.0022573363431150906
Recall@0.5%,0.14102564102564102,0.14135437212360288,0.0003287310979618596
Precision@1%,0.9480812641083521,0.95372460496614,0.0056433408577878375
Recall@1%,0.27613412228796846,0.2777777777777778,0.0016436554898093259
Precision@2%,0.8160270880361173,0.791196388261851,-0.02483069977426633
Recall@2%,0.47534516765285995,0.4608809993425378,-0.014464168310322156
Precision@5%,0.46975169300225733,0.4521444695259594,-0.01760722347629795
Recall@5%,0.6840894148586456,0.65844838921762,-0.02564102564102566
