feature,importance_gain,importance_split
embedding_18,2223035.4236788154,5052
embedding_24,568821.7729203403,4289
P_emaildomain,554536.0241406262,6817
card1,439673.881685555,14435
card2,406682.9973360002,13045
embedding_06,390935.6927835345,4236
id_31,385270.6205101609,6633
DeviceInfo,380602.74670419097,6598
TransactionAmt,359326.4112815857,12517
TransactionDT,338571.3674301207,13232
addr1,331933.49483188987,11976
C13,306742.9863283038,4356
embedding_22,272379.1424770653,3044
C1,202652.3508773446,2529
id_30,196400.5621754527,2788
D15,195864.650531888,5708
C14,192631.96027994156,1758
embedding_19,181279.57758417726,4196
D2,180121.25861501694,3679
id_33,178275.527785331,2249
embedding_17,175091.2878459394,4521
embedding_27,167123.11621376872,4830
embedding_07,163337.21356663108,4173
card5,159999.10252979398,4654
dist1,156677.68013888597,5834
embedding_00,155133.4979764819,3170
D10,148511.9427127838,4108
R_emaildomain,146171.42805713415,1470
D4,142194.44839686155,4129
embedding_16,133643.45198962092,5413
embedding_09,132285.91557908058,5767
embedding_05,126688.83235615492,6361
embedding_03,125405.78368502855,3447
embedding_20,125310.88238710165,5636
embedding_02,122609.68760579824,5829
embedding_29,122504.8967448771,5813
embedding_31,120657.98817139864,5041
D1,120449.10737636685,2542
C6,115639.02264457941,1633
embedding_25,115510.96016129851,5321
embedding_30,115304.76178407669,5138
hour_in_day,112219.0640078187,6749
embedding_11,111652.25015813112,5079
embedding_23,109785.24295020103,3594
embedding_10,103050.08671018481,3548
embedding_01,101473.02950567007,4090
embedding_21,100820.83353540301,4820
C2,99879.16491037607,2189
C11,95961.86146146059,1716
embedding_14,94957.29007774591,4737
embedding_08,93229.48333385587,3718
embedding_28,88322.08356574178,2027
D11,81737.46196341515,2527
embedding_04,79365.0085656941,3004
embedding_15,73302.39153960347,3172
M6,71968.13453561068,1682
M5,68729.4258004427,1463
embedding_12,65507.57832214236,3897
card3,61395.73475775123,632
D5,60605.99364024401,2186
V310,59636.70119524002,1330
id_02,58268.82087549567,3636
C9,57153.568790614605,1344
elapsed_days,54870.159459888935,2660
day_in_week_cycle,53654.80192705989,3759
D3,50622.54605075717,1888
C5,48559.14698714018,693
V313,48385.82181566954,1746
V315,47254.60929954052,1103
id_20,47082.30614501238,2829
M4,46740.276566684246,656
card6,40452.23770534992,302
embedding_26,39810.81826213002,1939
V314,38900.37965065241,1123
V307,38842.05292764306,1271
id_19,38509.575456261635,2609
V258,37736.92137914896,95
D8,37169.13057658076,2290
C10,36690.130358338356,654
ProductCD,36273.79965251684,248
embedding_13,33995.17100790143,1522
card4,31892.155861109495,535
M3,31885.201974481344,774
dist2,31155.796979039907,2410
V82,28973.03610098362,606
V285,27802.05581444502,370
V75,27685.632261425257,520
V83,26141.529330909252,628
V87,25587.843838512897,534
V96,25579.64476943016,232
id_05,23127.421178668737,1383
