metric,b0_value,control_value,delta_control_minus_b0
PR-AUC,0.6491385746479026,0.579477810853414,-0.0696607637944886
ROC-AUC,0.925020356086887,0.9041813931580812,-0.020838962928805826
Precision@0.5%,0.9593679458239278,0.9661399548532731,0.006772009029345272
Recall@0.5%,0.13971071663379356,0.14069690992767916,0.0009861932938856066
Precision@1%,0.9469525959367946,0.9288939051918735,-0.018058690744921058
Recall@1%,0.2758053911900066,0.2705456936226167,-0.005259697567389865
Precision@2%,0.8194130925507901,0.7533860045146726,-0.06602708803611745
Recall@2%,0.47731755424063116,0.4388560157790927,-0.038461538461538436
Precision@5%,0.46410835214446955,0.42099322799097066,-0.043115124153498885
Recall@5%,0.6758711374095989,0.6130834976988823,-0.06278763971071666
