metric,b1_card1_value,control_value,delta_control_minus_b1_card1
PR-AUC,0.6550391328616743,0.579477810853414,-0.07556132200826027
ROC-AUC,0.9280732137984835,0.9041813931580812,-0.023891820640402295
Precision@0.5%,0.9683972911963883,0.9661399548532731,-0.0022573363431152016
Recall@0.5%,0.14102564102564102,0.14069690992767916,-0.0003287310979618596
Precision@1%,0.9480812641083521,0.9288939051918735,-0.019187358916478603
Recall@1%,0.27613412228796846,0.2705456936226167,-0.005588428665351752
Precision@2%,0.8160270880361173,0.7533860045146726,-0.06264108352144471
Recall@2%,0.47534516765285995,0.4388560157790927,-0.03648915187376722
Precision@5%,0.46975169300225733,0.42099322799097066,-0.04875846501128667
Recall@5%,0.6840894148586456,0.6130834976988823,-0.07100591715976334
