metric,g1_value,control_value,delta_control_minus_g1
PR-AUC,0.6264202966198482,0.579477810853414,-0.04694248576643423
ROC-AUC,0.9138577334326102,0.9041813931580812,-0.009676340274529016
Precision@0.5%,0.9706546275395034,0.9661399548532731,-0.004514672686230292
Recall@0.5%,0.14135437212360288,0.14069690992767916,-0.0006574621959237192
Precision@1%,0.95372460496614,0.9288939051918735,-0.02483069977426644
Recall@1%,0.2777777777777778,0.2705456936226167,-0.007232084155161078
Precision@2%,0.791196388261851,0.7533860045146726,-0.03781038374717838
Recall@2%,0.4608809993425378,0.4388560157790927,-0.022024983563445066
Precision@5%,0.4521444695259594,0.42099322799097066,-0.031151241534988716
Recall@5%,0.65844838921762,0.6130834976988823,-0.04536489151873768
