feature,importance_gain,importance_split
embedding_19,1322269.2454640865,3263
P_emaildomain,568551.1760641336,5751
id_31,457180.7761428356,5167
card1,413171.3536953926,8551
DeviceInfo,404721.87785351276,4492
C14,387501.11625802517,1213
card2,385988.53433418274,7688
TransactionAmt,363130.01375234127,7328
TransactionDT,339465.90394949913,7750
addr1,328977.074272871,7349
embedding_30,275546.7631266117,2170
D2,252294.4726471901,2665
C13,251838.707518816,2861
C1,236056.06314706802,1720
V70,227602.98037934303,119
embedding_15,225090.9235277176,2657
V258,222490.09642148018,136
V257,210176.53940796852,32
id_30,207209.50726509094,2318
R_emaildomain,200058.98016953468,1236
embedding_29,197057.10490226746,2202
D15,192297.3418598175,3782
id_33,183712.96322393417,1857
embedding_25,182739.3575181961,1801
dist1,165981.0904867649,3829
D10,160796.31597352028,2877
embedding_01,153379.5207338333,2683
D4,151045.4382097721,2834
embedding_17,144764.83800840378,2217
card5,141740.09939813614,2808
C5,132657.91629242897,550
C11,124906.4402012825,1155
C8,114355.5911026001,324
D1,112476.61412382126,1734
C6,108534.48898053169,1171
embedding_26,108081.64722132683,3268
embedding_27,107858.71317529678,2864
C2,107301.12689757347,1480
embedding_16,101702.2482843399,2227
hour_in_day,100508.6595108509,3628
embedding_23,100335.033796072,2307
card6,99378.13290452957,246
embedding_11,98697.52841043472,2549
embedding_09,98432.96910953522,2994
embedding_14,96918.89563632011,2422
embedding_03,92675.17069935799,2796
embedding_22,92246.17818522453,1898
embedding_24,91679.83413791656,2468
embedding_04,89315.09204173088,3176
embedding_08,87992.36738705635,2601
D11,86757.87782406807,1841
V312,83298.40992665291,529
embedding_05,83218.69838643074,2512
embedding_06,82639.31026601791,2626
embedding_21,82224.67534637451,2529
embedding_18,82117.94992411137,2541
embedding_20,81857.94060850143,2760
D3,81181.24328756332,1482
embedding_28,77244.53593230247,1966
embedding_00,76677.23168087006,2461
embedding_12,76070.26270675659,2010
D5,73419.78241109848,1657
M5,72563.13069152832,1081
V91,71531.24380159378,107
embedding_13,67265.88062214851,1989
V317,66205.44276547432,463
V310,65113.050500154495,979
embedding_07,64886.73137879372,2331
embedding_10,62222.965993881226,1886
M6,61605.60682344437,1013
C9,61304.05186510086,965
embedding_02,59632.661005973816,1825
ProductCD,58723.044922828674,218
elapsed_days,55020.03003716469,1495
card3,54010.59180879593,443
V313,51644.496821165085,1112
embedding_31,51093.677540540695,1909
M4,50280.367579221725,545
V294,50185.92407786846,285
day_in_week_cycle,49723.99121451378,2080
id_02,49198.37196445465,1856
D8,46222.14181447029,1279
id_20,45530.56743979454,1593
V314,44598.234043598175,741
V307,40521.24732398987,959
V308,40429.57772397995,608
C4,36640.240626096725,198
V315,35538.46354055405,812
id_19,34812.6681804657,1435
V283,33540.67091560364,304
V243,32815.68928670883,37
V62,31818.601860761642,467
V45,31470.976722955704,309
V83,30048.70239675045,419
V187,29972.858874320984,55
dist2,28968.430097818375,1230
V82,28580.68355870247,462
card4,27844.746565580368,403
M3,26108.286056280136,465
C7,25225.528216362,174
C10,24442.193520069122,362
V285,23996.494448184967,303
V54,23973.75051832199,379
V87,23741.967549800873,380
V130,23458.20642566681,564
id_05,22892.552689552307,782
V61,22356.503039836884,392
V76,22061.258959054947,472
V90,21518.102380752563,113
id_06,19953.56580531597,750
D14,18320.366801023483,644
V127,18193.66320705414,615
V67,17632.791699409485,224
V69,15787.881572008133,106
V75,15584.214376449585,348
V12,15563.158627271652,264
V53,15541.2602506876,338
V20,15480.2843375206,274
