metric,b0_value,control_value,delta_control_minus_b0
PR-AUC,0.6491385746479026,0.6148507952248832,-0.034287779423019416
ROC-AUC,0.925020356086887,0.9107839810299417,-0.014236375056945305
Precision@0.5%,0.9593679458239278,0.9616252821670429,0.0022573363431150906
Recall@0.5%,0.13971071663379356,0.14003944773175542,0.0003287310979618596
Precision@1%,0.9469525959367946,0.9514672686230248,0.004514672686230181
Recall@1%,0.2758053911900066,0.27712031558185407,0.001314924391847494
Precision@2%,0.8194130925507901,0.781038374717833,-0.038374717832957095
Recall@2%,0.47731755424063116,0.4549638395792242,-0.022353714661406954
Precision@5%,0.46410835214446955,0.4485327313769752,-0.015575620767494358
Recall@5%,0.6758711374095989,0.6531886916502301,-0.02268244575936884
