metric,b1_card1_value,control_value,delta_control_minus_b1_card1
PR-AUC,0.6550391328616743,0.6148507952248832,-0.04018833763679108
ROC-AUC,0.9280732137984835,0.9107839810299417,-0.017289232768541773
Precision@0.5%,0.9683972911963883,0.9616252821670429,-0.006772009029345383
Recall@0.5%,0.14102564102564102,0.14003944773175542,-0.0009861932938856066
Precision@1%,0.9480812641083521,0.9514672686230248,0.003386004514672636
Recall@1%,0.27613412228796846,0.27712031558185407,0.0009861932938856066
Precision@2%,0.8160270880361173,0.781038374717833,-0.03498871331828435
Recall@2%,0.47534516765285995,0.4549638395792242,-0.02038132807363574
Precision@5%,0.46975169300225733,0.4485327313769752,-0.02121896162528214
Recall@5%,0.6840894148586456,0.6531886916502301,-0.030900723208415526
