metric,g1_value,control_value,delta_control_minus_g1
PR-AUC,0.6264202966198482,0.6148507952248832,-0.011569501394965043
ROC-AUC,0.9138577334326102,0.9107839810299417,-0.003073752402668495
Precision@0.5%,0.9706546275395034,0.9616252821670429,-0.009029345372460473
Recall@0.5%,0.14135437212360288,0.14003944773175542,-0.0013149243918474662
Precision@1%,0.95372460496614,0.9514672686230248,-0.0022573363431152016
Recall@1%,0.2777777777777778,0.27712031558185407,-0.0006574621959237192
Precision@2%,0.791196388261851,0.781038374717833,-0.010158013544018019
Recall@2%,0.4608809993425378,0.4549638395792242,-0.005917159763313584
Precision@5%,0.4521444695259594,0.4485327313769752,-0.0036117381489841893
Recall@5%,0.65844838921762,0.6531886916502301,-0.005259697567389865
