feature,importance_gain,importance_split
embedding_27,1314765.8350256383,3880
embedding_17,702563.3485003412,4169
embedding_05,567808.1118687987,5716
embedding_30,496703.84639030695,4736
P_emaildomain,479363.9440793991,6423
embedding_23,381927.8235911429,2527
embedding_10,368315.3201722801,5262
DeviceInfo,367280.1401362419,6734
id_31,367055.857935369,6592
card1,358729.9764530659,14080
embedding_18,346989.30977767706,6593
card2,345219.9281023443,12707
TransactionAmt,313060.7379359305,12146
TransactionDT,302301.9393719137,13351
addr1,287206.21308648586,11499
embedding_19,281656.5224507451,4274
embedding_06,278936.2091050148,3611
embedding_26,252344.02865704894,3088
C13,251489.8553546071,4190
embedding_20,214478.4206776023,4324
id_30,194922.6637737453,2831
C14,181602.97450992465,1724
embedding_11,178720.85647031665,6271
embedding_16,178070.83085909486,5192
embedding_03,175759.66109731793,4613
id_33,167691.88722786307,2295
embedding_01,162727.01485139132,6303
D15,158063.32685419917,5491
embedding_02,154295.30006852746,4604
C1,152406.92773133516,2540
D2,145542.84262651205,3639
dist1,141997.65363770723,6001
embedding_15,138213.28841111064,5926
embedding_28,138079.82751980424,3189
embedding_14,136273.43962416053,5508
embedding_22,135980.46407276392,3060
D10,131506.02491664886,3915
R_emaildomain,127332.99385935068,1424
embedding_24,126841.79699623585,3872
embedding_07,125934.00956094265,4869
embedding_08,124438.64251586795,3658
embedding_25,123558.82713449001,4584
embedding_09,121608.75410863757,5291
embedding_13,117293.05194333196,1694
C2,116426.81060317159,2223
embedding_21,116193.26843592525,5396
embedding_04,114662.00496026874,5895
embedding_29,111906.14263132215,5056
embedding_12,111088.25142168999,3660
D4,106926.50686582923,4033
card5,105495.94268286228,4458
hour_in_day,102296.83475580812,6686
embedding_31,100066.0138822496,3965
D1,89638.59975165129,2465
embedding_00,89532.13244968653,3892
C6,81056.26164618134,1573
C11,78540.16716125607,1649
D11,70878.58896231651,2543
D5,57196.31827300787,2277
D3,55879.62928327918,2004
M6,52621.06789410114,1609
day_in_week_cycle,51261.414065390825,3797
C9,50617.32676589489,1297
elapsed_days,50456.65563803911,2667
id_02,47083.38647606969,3442
id_20,45335.07379615307,2785
card3,43505.51878505945,572
V313,42521.3695872426,1660
M5,42125.2756331563,1416
C5,41588.12266457081,709
D8,38812.78041177988,2223
M4,36231.426907777786,618
V310,34622.70458495617,1233
dist2,31920.599292844534,2306
ProductCD,31857.418343037367,226
id_19,30956.894493997097,2558
V307,28682.134041249752,1241
V314,28558.840653419495,1074
card4,27978.009281098843,538
M3,21432.213356733322,728
id_06,21431.73686555028,1425
V315,21313.584868490696,975
id_05,20368.29996496439,1354
V312,19394.396939098835,794
V82,18450.825752913952,506
V130,17977.512478619814,800
D14,17955.229482769966,1036
C10,17756.08807629347,551
V283,16918.861842393875,419
V76,16439.34974128008,544
V317,15786.163504362106,739
V83,15688.484250754118,580
V285,15259.326542198658,361
V62,14864.355308651924,527
V127,14315.23819977045,735
C8,14308.585260629654,537
C4,14272.154039770365,291
V87,14218.58095651865,440
V61,14167.51296532154,508
V53,13916.978342711926,423
D9,13398.502398192883,1078
C12,13360.145788550377,476
V77,13228.714687645435,383
D6,12882.61001688242,598
V54,12773.979457080364,462
M8,12015.510557115078,622
id_13,11911.498076051474,1088
V19,11873.040173828602,373
V308,11824.93091967702,691
D13,11746.00983145833,407
V20,11721.651567697525,342
V78,11567.216362565756,526
V13,11074.626832067966,389
V75,11069.083463132381,376
V320,10972.686752825975,453
M9,10882.903981685638,540
V45,10735.963650107384,355
V96,10267.935706436634,227
M7,10095.9532841146,491
id_01,9863.126994103193,834
V136,9617.46344769001,318
V258,9586.596365690231,95
V56,9509.195035040379,365
V12,9479.608082294464,323
V131,9311.967003047466,536
M2,9293.774892807007,353
C7,9205.385050833225,253
V36,9171.955339550972,399
D12,8784.250644594431,522
V35,8575.712072610855,376
V294,8417.630263060331,320
V291,8399.853258132935,356
V37,8378.921540260315,336
V38,8235.110933750868,409
V309,8063.139208614826,477
V311,7972.68144017458,338
card6,7964.105901062489,142
V282,7692.823258280754,324
V306,7633.093160808086,563
V5,7239.379853129387,278
V316,7088.502049505711,301
V281,6989.956923246384,261
V86,6775.731356471777,224
id_14,6662.978467345238,353
V126,6657.262566745281,439
V4,6635.014073222876,259
V280,6402.880727112293,136
V70,6376.4205068945885,110
V49,6326.2029403448105,117
V90,6322.634622275829,117
D7,6245.949200749397,338
id_18,6187.176764130592,469
V261,6181.538845598698,151
V91,6179.681024551392,116
V318,6153.304184913635,357
V48,6143.564612209797,181
V133,6065.817447453737,305
V165,6009.819477200508,165
V128,5854.484802395105,369
V266,5796.054151803255,174
V55,5621.6227769851685,223
V30,5289.117997944355,104
V24,5196.567134141922,282
V99,5154.602827370167,207
V129,5123.392516314983,352
V67,5106.021290302277,195
V66,5068.260472476482,165
id_38,5019.575561344624,214
V29,5007.255534350872,119
V296,4799.580036491156,158
id_11,4662.207183480263,211
id_17,4556.159178137779,181
V206,4430.372595369816,99
V264,4383.953391194344,278
V137,4266.820181339979,134
V289,3908.056149661541,193
V160,3858.205269396305,130
V292,3747.2265650629997,181
V319,3587.6636170744896,144
V134,3500.420723259449,156
V3,3483.353967279196,170
V267,3440.3416328430176,182
V135,3380.492888301611,162
V69,3368.833684682846,76
V132,3363.7898932099342,154
V152,3292.5797280669212,101
V102,3246.087606728077,94
V295,3063.6972367167473,88
id_09,2996.049633681774,231
V203,2888.3081788122654,164
V23,2876.8614246845245,138
V205,2808.0860134363174,73
V7,2779.7030575871468,125
V270,2773.6208743453026,113
V44,2731.46812158823,195
V272,2724.1238589584827,61
V293,2672.389323413372,68
V287,2638.3951249718666,83
V26,2618.744826376438,133
V51,2463.155986189842,111
V149,2434.1398499011993,39
V74,2411.981842815876,122
V321,2393.780741363764,146
V124,2383.7269426584244,110
V300,2381.8971621394157,88
V11,2328.2669659256935,87
V10,2288.964734852314,96
V279,2219.604186028242,66
V271,2202.800440132618,143
V268,2186.207041323185,125
V81,2182.1745170354843,115
V298,2143.6557943820953,79
V52,2088.4114359021187,138
V288,2054.736138880253,68
V166,2022.0704065561295,55
V263,2009.831266105175,151
V150,1999.4433651864529,41
V169,1975.8188924193382,43
V277,1971.280875980854,200
V274,1969.5190755724907,170
V25,1931.8758634924889,109
id_03,1914.2450540065765,165
V47,1912.3365307152271,147
V208,1908.941000699997,84
V6,1887.106687605381,73
V221,1851.0133455097675,157
V222,1846.9875119328499,136
V229,1832.4783892035484,114
V234,1830.241154372692,145
V209,1807.304910004139,85
V332,1806.6318735480309,47
V73,1798.0313729643822,91
V97,1788.2789961099625,93
V115,1785.1190223693848,47
id_16,1752.1657943725586,137
V265,1726.265212714672,173
V63,1724.1990154981613,57
V79,1723.2546725571156,83
V164,1705.8823531270027,68
V94,1674.9525501132011,65
V187,1669.1548694372177,76
addr2,1656.2212517857552,86
V218,1605.1710940897465,79
V224,1506.5817635059357,44
V40,1496.3799468874931,94
V275,1466.5887903571129,80
V9,1441.9229583144188,69
V85,1423.3086629211903,98
V301,1405.6307962536812,58
V64,1399.6341074109077,76
V278,1372.937674164772,118
V207,1361.4421934187412,95
V189,1337.714375257492,59
V276,1334.3962697982788,128
V42,1313.1450790166855,62
V46,1306.0223663151264,81
V145,1271.4452424943447,35
V33,1268.5461291074753,59
id_37,1249.7399668097496,90
V57,1246.1412788629532,55
V220,1178.06507101655,69
id_36,1173.207172870636,17
V178,1158.128505706787,31
V262,1156.0287501215935,75
V125,1134.1708551049232,40
V34,1123.8302156925201,56
id_25,1120.0395851135254,46
V223,1108.494608938694,14
V290,1102.7755000591278,93
V232,1097.203526854515,46
V2,1095.903649032116,64
V100,1077.7295882701874,56
V202,1077.3480353355408,105
V259,1051.1044186353683,70
V121,1044.2401065826416,10
V215,1039.8983261585236,106
V139,1038.8167330622673,60
V331,1018.5635831356049,18
id_10,1007.2164683938026,41
V43,1006.3677180409431,92
V257,1005.1128442883492,38
V170,1000.2951064705849,37
V273,999.2124820947647,70
V214,995.6029252707958,101
V60,995.300125181675,88
V159,989.630967259407,52
V80,987.9692820608616,76
V212,977.8151907920837,72
V303,961.3704659044743,59
V216,944.8906084895134,78
V143,934.5443833172321,50
V39,880.4696387052536,64
V246,872.061090528965,31
id_07,870.165456622839,68
V260,865.6564848423004,70
