metric,b0_value,control_value,delta_control_minus_b0
PR-AUC,0.6491385746479026,0.6449401068302887,-0.0041984678176139045
ROC-AUC,0.925020356086887,0.9223389181303113,-0.0026814379565757163
Precision@0.5%,0.9593679458239278,0.9661399548532731,0.006772009029345272
Recall@0.5%,0.13971071663379356,0.14069690992767916,0.0009861932938856066
Precision@1%,0.9469525959367946,0.9413092550790068,-0.0056433408577878375
Recall@1%,0.2758053911900066,0.27416173570019725,-0.0016436554898093259
Precision@2%,0.8194130925507901,0.8047404063205418,-0.01467268623024831
Recall@2%,0.47731755424063116,0.46877054569362264,-0.008547008547008517
Precision@5%,0.46410835214446955,0.4674943566591422,0.003386004514672636
Recall@5%,0.6758711374095989,0.680802103879027,0.004930966469428033
