metric,b1_card1_value,control_value,delta_control_minus_b1_card1
PR-AUC,0.6550391328616743,0.6449401068302887,-0.010099026031385572
ROC-AUC,0.9280732137984835,0.9223389181303113,-0.005734295668172185
Precision@0.5%,0.9683972911963883,0.9661399548532731,-0.0022573363431152016
Recall@0.5%,0.14102564102564102,0.14069690992767916,-0.0003287310979618596
Precision@1%,0.9480812641083521,0.9413092550790068,-0.006772009029345383
Recall@1%,0.27613412228796846,0.27416173570019725,-0.0019723865877712132
Precision@2%,0.8160270880361173,0.8047404063205418,-0.011286681715575564
Recall@2%,0.47534516765285995,0.46877054569362264,-0.006574621959237303
Precision@5%,0.46975169300225733,0.4674943566591422,-0.002257336343115146
Recall@5%,0.6840894148586456,0.680802103879027,-0.0032873109796186517
