metric,g1_value,control_value,delta_control_minus_g1
PR-AUC,0.6264202966198482,0.6449401068302887,0.01851981021044047
ROC-AUC,0.9138577334326102,0.9223389181303113,0.008481184697701094
Precision@0.5%,0.9706546275395034,0.9661399548532731,-0.004514672686230292
Recall@0.5%,0.14135437212360288,0.14069690992767916,-0.0006574621959237192
Precision@1%,0.95372460496614,0.9413092550790068,-0.01241534988713322
Recall@1%,0.2777777777777778,0.27416173570019725,-0.003616042077580539
Precision@2%,0.791196388261851,0.8047404063205418,0.013544018058690765
Recall@2%,0.4608809993425378,0.46877054569362264,0.007889546351084853
Precision@5%,0.4521444695259594,0.4674943566591422,0.015349887133182805
Recall@5%,0.65844838921762,0.680802103879027,0.02235371466140701
