feature,importance_gain,importance_split
embedding_10,850586.0531873405,5800
P_emaildomain,558860.428732872,7189
V70,499838.6362465024,314
TransactionAmt,432083.5493841469,14730
DeviceInfo,397315.1241415143,6690
C14,396794.23650348186,2062
id_31,387084.7032803297,6656
card1,386329.3411374688,13854
TransactionDT,385615.86764010787,15423
V258,385240.3242202401,186
card2,364813.61052566767,12073
addr1,335710.98316675425,12614
C13,334113.89774665236,4833
D2,282590.31525579095,4419
embedding_12,242582.07000106573,7259
id_30,226442.9952418506,3006
C1,223369.0517576635,3008
D15,215112.9773221612,6710
embedding_11,199711.1334270239,4170
C11,197253.02442222834,1985
dist1,197159.51674222946,7149
id_33,194935.56007042527,2459
embedding_27,180625.91180077195,6893
R_emaildomain,178382.38443619013,1574
V91,176809.21510869265,218
C2,168097.40568476915,2537
embedding_01,167991.10506284237,3194
D10,164893.725017637,4992
D4,164090.86293756962,5023
embedding_04,159480.7784921229,5121
embedding_31,159301.69441843033,3796
embedding_23,146261.27090141177,4377
D1,141056.30116036534,2868
embedding_25,140969.9666042924,6672
V294,140734.34503859282,423
embedding_18,134335.38260778785,7122
V283,131006.33965083957,515
embedding_14,130882.9064424336,7206
embedding_24,121491.8399835527,3568
hour_in_day,120720.21275478601,7337
D3,111094.86719661951,2654
M5,107498.48476451635,2067
C6,102508.08600717783,1839
embedding_20,100664.71291178465,4794
card5,100068.19571644068,3831
V308,95578.9787516594,963
C5,94108.48850643635,979
D11,89652.70530125499,3114
M6,81674.04834479094,1848
D5,78917.28897842765,2954
V310,78065.53623139858,1491
embedding_02,77571.74189946055,3706
embedding_13,76853.90140330791,2793
id_02,71801.80268457532,4172
elapsed_days,71132.28144022822,2925
embedding_06,71087.97611016035,3754
D8,67705.90951395035,2528
embedding_21,65795.7103087306,4179
V312,65325.848753750324,933
embedding_29,64758.360125124454,1542
embedding_28,62103.91543605924,3825
V317,61794.63924011588,826
embedding_17,61383.497534275055,2499
day_in_week_cycle,60390.57229694724,4428
C4,59739.78266257048,357
id_20,57082.476986438036,3063
V12,55848.380707740784,528
embedding_03,55306.42419785261,1263
C9,53734.44718396664,1633
M4,53398.1678096652,894
ProductCD,52511.96723738313,268
V83,52498.67854964733,1017
V187,52077.108723282814,125
V62,51143.63046258688,869
V307,50655.09462466836,1882
V30,47559.28993743658,232
V45,45282.26446431875,671
V314,43501.48876166344,1104
V313,42361.58019840717,1762
embedding_07,41409.019159674644,1409
id_19,39825.04594618082,3009
V82,39144.70661920309,957
V53,37066.80727022886,746
V87,33955.6060744524,777
V285,33793.74568289518,449
dist2,33074.956511735916,2261
M3,32527.233065843582,902
V315,31884.894804120064,1128
V243,31802.75437670946,99
embedding_00,31478.65284126997,2549
V320,31149.59349051118,536
embedding_22,30906.113122820854,1390
V54,30322.778542160988,697
C10,28945.177016824484,674
id_05,28273.711182832718,1547
card3,27303.392174601555,420
V309,27134.138184070587,476
V13,25950.09137055278,671
V133,25856.607708394527,419
card4,25772.20533978939,456
id_06,25434.592801839113,1552
V130,25027.3738078475,952
V128,24940.413382291794,565
V61,24065.74240142107,705
V156,23987.642369627953,101
C8,23605.14959642291,655
id_01,23182.09750595689,1144
V311,22627.629966199398,428
V281,22516.00606843829,426
D6,21631.167576611042,737
V140,21614.43273985386,61
C7,20249.0593957901,384
D14,19685.20599374175,1269
V127,19196.15408310294,1076
V48,18887.64520573616,424
V20,18866.20245409012,579
V38,18860.666922986507,645
D13,18843.586439549923,497
V165,18715.827190369368,264
M8,18663.99882698059,905
embedding_19,18554.656561493874,1572
V78,18355.0518810153,763
V49,18278.25611048937,333
C12,17675.092435359955,561
V75,17621.876327306032,648
V76,17477.86616036296,778
M9,16757.722389936447,689
id_13,16559.78339242935,1276
id_09,16103.374313861132,384
V189,16038.595460355282,90
V19,15793.040720701218,538
V67,15482.58015587926,467
V35,15392.925843119621,572
V36,15174.761168122292,669
V55,15172.935147106647,340
D9,15158.64230632782,1154
V69,14693.439123213291,260
M7,14258.640353024006,783
V136,14047.694046795368,397
V149,13881.824121534824,121
V86,13724.37425762415,478
V77,13599.395309865475,463
V90,13462.397968292236,291
D12,13126.723618984222,635
M2,12460.475873112679,500
V5,12397.185287177563,519
V160,12365.964193165302,186
id_18,12204.031647652388,603
id_14,11677.430368721485,491
card6,11283.935056090355,198
V257,11238.70128005743,104
V56,11234.795981884003,482
V37,11042.429540663958,358
V291,10707.214900255203,423
V131,10457.734694957733,520
V306,10042.94370663166,553
V229,9957.23447945714,164
V126,9895.221555292606,480
V29,9870.478953421116,267
V44,9695.292034715414,514
V282,9611.26248562336,382
V124,9567.530412614346,229
V24,9166.745556235313,379
id_03,9046.932305783033,259
V10,9025.197643637657,363
V4,9005.667330265045,380
id_17,8952.840471446514,227
V102,8782.021933019161,139
V96,8211.07659882307,334
V280,7988.310713768005,178
V296,7823.291943192482,180
V206,7650.967706412077,70
D7,7530.980437278748,421
V11,7356.29195356369,224
V23,7323.687600851059,276
V318,6973.233370006084,369
V316,6796.924040496349,336
