metric,b0_value,control_value,delta_control_minus_b0
PR-AUC,0.6491385746479026,0.6295707470030312,-0.019567827644871416
ROC-AUC,0.925020356086887,0.9186791958874327,-0.006341160199454299
Precision@0.5%,0.9593679458239278,0.9616252821670429,0.0022573363431150906
Recall@0.5%,0.13971071663379356,0.14003944773175542,0.0003287310979618596
Precision@1%,0.9469525959367946,0.9413092550790068,-0.0056433408577878375
Recall@1%,0.2758053911900066,0.27416173570019725,-0.0016436554898093259
Precision@2%,0.8194130925507901,0.7974040632054176,-0.02200902934537252
Recall@2%,0.47731755424063116,0.46449704142011833,-0.01282051282051283
Precision@5%,0.46410835214446955,0.454627539503386,-0.009480812641083525
Recall@5%,0.6758711374095989,0.6620644312952005,-0.013806706114398382
