metric,b1_card1_value,control_value,delta_control_minus_b1_card1
PR-AUC,0.6550391328616743,0.6295707470030312,-0.025468385858643083
ROC-AUC,0.9280732137984835,0.9186791958874327,-0.009394017911050767
Precision@0.5%,0.9683972911963883,0.9616252821670429,-0.006772009029345383
Recall@0.5%,0.14102564102564102,0.14003944773175542,-0.0009861932938856066
Precision@1%,0.9480812641083521,0.9413092550790068,-0.006772009029345383
Recall@1%,0.27613412228796846,0.27416173570019725,-0.0019723865877712132
Precision@2%,0.8160270880361173,0.7974040632054176,-0.018623024830699775
Recall@2%,0.47534516765285995,0.46449704142011833,-0.010848126232741617
Precision@5%,0.46975169300225733,0.454627539503386,-0.015124153498871307
Recall@5%,0.6840894148586456,0.6620644312952005,-0.022024983563445066
