metric,g1_value,control_value,delta_control_minus_g1
PR-AUC,0.6264202966198482,0.6295707470030312,0.0031504503831829567
ROC-AUC,0.9138577334326102,0.9186791958874327,0.004821462454822512
Precision@0.5%,0.9706546275395034,0.9616252821670429,-0.009029345372460473
Recall@0.5%,0.14135437212360288,0.14003944773175542,-0.0013149243918474662
Precision@1%,0.95372460496614,0.9413092550790068,-0.01241534988713322
Recall@1%,0.2777777777777778,0.27416173570019725,-0.003616042077580539
Precision@2%,0.791196388261851,0.7974040632054176,0.006207674943566555
Recall@2%,0.4608809993425378,0.46449704142011833,0.003616042077580539
Precision@5%,0.4521444695259594,0.454627539503386,0.002483069977426644
Recall@5%,0.65844838921762,0.6620644312952005,0.0036160420775805946
