feature,importance_gain,importance_split
R_emaildomain,710754.2897542715,1454
P_emaildomain,595047.4372904599,7348
card1,463755.51046940684,13767
id_31,451844.5881038606,7162
TransactionAmt,446385.2045452893,11822
card2,441863.7110170126,12990
C14,434366.0961506963,1875
TransactionDT,413545.47693502903,13125
V294,409139.6411663294,494
DeviceInfo,399657.49536287785,6050
D2,377487.15107265115,4340
addr1,372890.3442682028,12124
V258,319851.2307175994,203
C2,319167.90866342187,2485
V70,318887.5801087618,322
C1,294346.51195025444,2812
C13,285331.2667507529,4531
V91,258727.2305984199,235
id_30,234875.63845342398,2872
D15,231112.9806610644,6345
id_33,200827.6574522555,2318
D10,184429.90575879812,4698
C5,180384.78347057104,931
dist1,179872.23417663574,6424
card5,178978.7284987569,4771
D4,168282.62528532743,4735
card6,162111.90619528294,486
C11,147103.81934714317,1835
V308,141290.95378440619,1162
D1,140489.47744488716,2851
D3,130922.8317027688,2799
hour_in_day,110027.2061805129,5997
C6,108077.38435220718,1870
D11,100850.24962747097,3117
M5,99068.6987374425,1975
embedding_02,84441.19406366348,5274
D5,84207.93586355448,3011
embedding_29,81952.17247438431,5505
embedding_11,81066.0134549439,5184
embedding_20,80859.21755224466,5147
embedding_31,80718.6146762073,5292
embedding_25,80432.34494197369,5270
M6,79082.33434671164,1695
V312,78815.01789528131,985
embedding_14,77686.042478472,5163
embedding_21,76488.31453680992,4879
embedding_24,76179.00789758563,5035
card3,75739.0642310381,656
D8,75381.17026296258,2138
embedding_17,74811.20322936773,5016
embedding_16,72634.24561882019,4952
embedding_01,71464.88347291946,4566
embedding_30,70207.45117902756,4599
id_01,68973.44735634327,918
embedding_03,68237.09737116098,4344
V317,67401.02670300007,922
V310,65449.68495851755,1667
id_02,65097.25173830986,3159
embedding_15,63457.7295191288,4031
C9,62259.879150778055,1518
embedding_00,60469.60981288552,3862
V283,57335.97099465132,589
M4,56911.476568341255,779
day_in_week_cycle,55957.65774321556,3497
V313,55644.733299434185,1836
embedding_08,54820.425957649946,3594
elapsed_days,54053.44935077429,2576
V62,53314.59940499067,907
id_20,53059.99607497454,2527
V83,52468.962914675474,958
V45,51704.88338151574,663
embedding_09,50541.455287486315,3105
V307,50225.770119428635,2172
ProductCD,50030.67659920454,286
embedding_05,45078.6513851285,3067
V87,44199.877270936966,742
V315,43436.5362842679,1153
V314,43268.23281541467,1190
embedding_04,42827.575698792934,2719
V285,42637.26632374525,498
embedding_18,41098.258875370026,2670
C8,40345.57220882177,527
embedding_07,38101.03717300296,2312
embedding_27,37904.70181167126,2496
embedding_06,37217.611793130636,2286
V320,36342.62734156847,591
embedding_10,35286.474585443735,2290
V30,34897.19395709038,205
V311,34738.60088261962,451
id_19,34687.761942625046,2353
embedding_23,34413.12647360563,2263
embedding_12,33985.29374366999,2205
embedding_19,33370.22961682081,2283
M3,32876.463251292706,839
V187,32844.40864902735,122
V82,32139.64768433571,896
V54,31388.076936364174,673
card4,30667.998828291893,587
V243,30187.688628435135,71
embedding_22,29024.208292603493,1760
C7,28629.524319589138,306
dist2,28212.079958200455,1773
embedding_13,27789.024844765663,1722
embedding_26,27682.96225076914,1755
V61,26250.967379271984,719
V264,25823.618248432875,337
V127,25707.190473735332,1200
V130,25232.67592060566,1046
C10,25091.378019690514,539
V76,24779.741752415895,835
id_05,24113.109588742256,1295
V281,24057.746515393257,548
C12,23899.062663286924,556
V75,23560.895087122917,645
V67,22663.65228641033,457
V53,22359.038203060627,741
V102,21469.752065956593,183
id_06,20865.951612234116,1239
V35,20801.757932424545,533
V38,20595.67206686735,574
embedding_28,20326.928135871887,1166
V12,20126.564964056015,531
V156,19703.13913089037,111
V20,19235.001607954502,558
V165,19040.292099237442,251
V335,18865.377054929733,42
M8,18496.61407727003,783
D14,18171.06971871853,981
V13,17892.676829755306,572
V55,17155.98377084732,329
M9,16919.007994234562,588
D6,16563.640227675438,591
V136,16408.823887497187,366
V19,16380.49252474308,533
V49,16252.205303370953,288
V189,16077.922801434994,81
V48,15748.595730900764,402
V78,15726.679439604282,706
V257,15384.505324423313,87
V56,15201.388933897018,481
V90,15078.31168103218,291
M7,14899.238427221775,645
addr2,14571.36429977417,147
D13,14387.9550165236,414
id_09,14248.560571968555,330
V131,14238.607094049454,648
V128,14118.436658740044,662
id_13,14033.167119473219,1005
V36,13887.820738136768,529
V77,13613.217061579227,522
C4,13610.920333325863,329
V306,13184.30304300785,749
V86,12943.83237361908,431
V94,12816.930790483952,114
V291,12698.611818522215,446
V5,12682.06451022625,509
id_17,12674.603488147259,248
D9,12589.883810818195,957
V296,12545.605914592743,202
V96,12491.531940639019,384
V133,12070.780544757843,451
V149,12049.999128997326,121
V129,11699.020423531532,386
V24,11470.152982771397,351
M2,11064.208708882332,396
id_18,11055.550867795944,472
id_03,10849.899292588234,292
V309,10631.468933522701,500
V318,10518.141475379467,402
V282,10359.625148057938,411
D12,10246.088103026152,547
id_14,9937.306659519672,397
V126,9872.83834117651,531
V69,9687.141004145145,244
V4,9140.541034758091,353
V37,9018.50466310978,327
V66,8993.902877509594,270
V10,8786.550441920757,296
V44,8547.804628372192,440
V99,8074.978112459183,217
V224,8058.880697011948,94
V145,7914.349850654602,55
D7,7603.565361201763,381
V217,7599.763420879841,53
V289,7493.408294200897,190
V29,7473.531384289265,179
V124,7458.54147452116,191
V7,7082.772764861584,220
V26,7069.91624301672,282
V160,6959.315915286541,155
V11,6944.047286987305,249
C3,6795.532186746597,70
V148,6278.261819601059,10
V287,6213.1251276135445,119
id_11,6166.623522877693,197
V2,6079.182457089424,98
V40,6014.364743232727,131
V316,5995.151379168034,335
V97,5963.990156114101,148
V47,5806.296290278435,273
V205,5613.959273040295,55
V152,5331.7718968987465,119
V266,5219.206079423428,168
V23,4906.951118707657,260
V169,4896.361205279827,67
V139,4853.583988368511,148
V244,4837.265935659409,47
V81,4750.058777689934,139
V231,4684.134964942932,30
V209,4662.988670825958,100
V292,4593.112756162882,210
V34,4465.747649133205,129
V201,4332.916280627251,40
V333,4330.188693225384,35
V6,4309.973062694073,126
V164,4300.643428146839,92
id_38,4239.075772285461,219
V319,4117.8906009197235,174
V267,4027.4477258324623,197
V137,3987.774573802948,203
V263,3968.078471302986,182
V25,3872.880721449852,173
V52,3837.0387813448906,233
V135,3831.1112561821938,166
V256,3829.0870938897133,65
V3,3805.610334813595,185
V321,3800.4326963424683,220
V293,3781.5257405638695,95
id_32,3723.843044281006,30
V234,3669.059412419796,174
V207,3587.8183485269547,87
V150,3583.5986528992653,68
V74,3555.280049562454,185
