feature,importance_gain,importance_split
embedding_22,907767.3331295028,5274
P_emaildomain,583165.697672993,8717
id_31,421669.3999269046,9615
DeviceInfo,414414.6947778687,8432
TransactionAmt,409896.8888738975,20270
V258,397258.8560211733,292
card1,374809.0171891302,18408
C14,365951.92145708576,2836
card2,336463.7767980732,16948
TransactionDT,315850.94930538535,19097
addr1,315607.2332287766,18231
C13,303179.46855892614,6853
V91,287220.1164288074,321
D2,284452.50720399246,6380
C1,236006.96694831923,4533
V70,225048.744459074,419
id_30,218103.55298234895,3417
C11,215852.47644760087,2935
D15,202286.4552423954,9913
id_33,202209.7302240543,2723
V69,197442.94747519493,349
card1_prior_count_7d,193600.5373379141,10663
V283,187235.94290255383,861
D4,177829.54943607375,7222
dist1,167927.2449434437,9742
embedding_18,166662.51736183092,5266
R_emaildomain,166248.83574451506,1755
card1_prior_count,161220.63366850838,11517
card1_time_since_previous_hours,149069.32699859142,12864
D10,147804.93402286991,7188
embedding_06,147725.54163582623,7720
C2,140154.23845517263,3819
card5,123080.47567548603,6021
C5,114257.39794627577,1339
D1,112164.21642513946,4225
card1_prior_count_24h,107397.15337973647,7225
D3,106384.23302448541,3935
V294,103482.48194819316,699
embedding_31,98931.16161946952,6337
embedding_28,97897.90057546273,7829
V308,97349.37124532089,1589
hour_in_day,96176.81195667386,9646
V317,94223.9578922689,1395
C6,94033.65972211584,2813
embedding_24,91408.3586949408,7782
embedding_26,90574.89170786366,8290
V312,89643.27750852704,1377
embedding_11,88714.94948587194,7743
embedding_21,88471.59829330444,7035
embedding_17,86869.63233777136,7719
embedding_00,86581.11390171945,6959
embedding_08,86096.00505920127,7654
embedding_02,85426.98077807948,6980
M5,83831.6070634313,2642
embedding_30,82094.35367504135,6597
embedding_04,79931.95489735529,6375
embedding_20,79229.83268566057,7050
embedding_25,78327.88035394996,8357
embedding_29,76899.74181377515,7406
embedding_09,75626.97936531156,7460
M6,75215.18536983803,2184
D11,74533.74212124199,4496
embedding_07,72851.80872013047,6161
embedding_01,72463.57628534734,7444
D5,71263.79808234796,4273
embedding_27,69926.1819706969,7062
embedding_13,67676.62926147506,7387
M4,64116.3377199173,932
C9,63982.68620677665,2226
elapsed_days,63971.75584032759,3804
C4,63862.77281239256,466
id_02,63665.33389081061,6321
D8,59288.52022603154,3987
V307,54815.64974657819,2811
V310,54335.926333636045,2444
V313,51725.45136562362,2665
V53,51621.641914479434,1024
id_20,51332.03581880778,4746
ProductCD,51033.11386997998,350
V285,49588.43677118793,697
V187,49204.67938276753,180
V83,47351.69658594206,1384
embedding_12,46948.690028149635,5053
V45,46615.832835976034,925
V314,46611.656583908945,1853
