feature,importance_gain,importance_split
embedding_07,824877.664258711,6199
P_emaildomain,592734.1543494724,9144
DeviceInfo,439051.4532700293,8862
TransactionAmt,434614.4980601147,23916
C14,415058.2133232206,3293
C1,411544.5248424001,4757
id_31,401955.9431037642,9945
card1,391957.69144654274,21743
card2,355854.65507027134,20037
addr1,347642.20933925733,20430
TransactionDT,332023.5210324526,22799
C13,318114.51185063645,7452
V70,284062.32206730545,474
V258,279132.4704188034,297
D2,277800.6863291152,6884
V317,266555.0860398151,1535
embedding_31,227884.36429603025,8119
D15,224266.48248890415,10714
card1_prior_count_7d,217926.68679502234,13438
id_30,215355.255895257,3528
card1_prior_count,204862.0475831926,15117
R_emaildomain,197984.27959351242,1877
id_33,196359.52679037675,2889
V91,189615.04005154222,368
dist1,189583.8637004979,11413
card1_time_since_previous_hours,177440.75538073108,16788
embedding_30,167628.46139493957,7676
V312,165274.1310878694,1493
D4,161533.83757372946,8044
D10,155835.56964213774,7799
C5,146848.51900276914,1479
D3,141165.52394314855,4452
card5,139310.31442431733,7122
C11,139252.83947359398,3006
card1_prior_count_24h,135856.3906325698,9190
D1,133436.160248518,4658
C2,132557.96211549267,4093
hour_in_day,110500.59504436329,11845
embedding_21,107844.37513147667,9508
C6,107148.10869445652,2948
M4,100845.1634067148,1027
embedding_20,100114.42750201374,7250
V308,97110.69485674426,1725
C10,96386.31683630124,1077
elapsed_days,94168.70796215907,4861
M5,92626.17060558125,2821
embedding_26,92497.45268085226,8586
embedding_18,91682.61689543724,7943
D11,87584.74478859082,5051
embedding_09,83136.23780402169,7399
M6,80922.44590587541,2521
embedding_11,80900.83726558462,7710
D5,79877.95213082805,4817
embedding_24,77909.2353429608,7363
embedding_28,77111.1834525019,7870
embedding_02,74823.35296817496,5404
embedding_29,72606.89577815682,6940
embedding_22,68593.1098138988,6309
id_02,67822.54204051569,7273
V310,65676.89823353663,2572
embedding_06,64759.88130861521,6761
V30,63652.01154381037,343
V294,63225.64693495259,703
D8,62454.784964203835,4306
V83,62398.66340396553,1434
embedding_00,62247.75576982275,6229
V313,58452.66031902656,2830
embedding_08,54859.01619911194,4355
day_in_week_cycle,54854.96305540949,6736
C9,54562.87968208268,2439
id_20,53738.687571484596,5314
V307,52303.89359094575,2941
V187,51240.48561792448,184
V79,51079.13942719996,196
ProductCD,50030.588442094624,340
card6,49498.04592078552,375
embedding_01,48463.61944074929,5000
embedding_25,46017.72265945375,5985
V283,43985.86946556717,829
V314,42797.90475735068,1825
card3,42633.29959992319,720
V62,41511.66080709919,1459
V285,41187.78465837985,651
V45,40549.64767027274,951
embedding_27,40511.36145256832,3405
V243,39624.46384216845,170
V315,39483.92603517696,1782
embedding_04,36709.0129519999,3591
id_19,36653.33366250992,5132
V54,35733.084320966154,1139
M3,35590.05303157866,1104
embedding_17,33954.60196144879,3466
dist2,33140.552690628916,4028
V82,32776.43655748665,1471
V320,31188.59951546043,923
V87,30146.614607580006,1262
C8,29390.148467987776,1071
C7,28357.520939853042,462
V246,27810.079504348338,48
V12,27609.009252026677,804
id_05,27309.604972101748,2743
V61,27056.398194674402,1115
V156,26716.50161612034,155
V102,26403.192178353667,272
V311,25877.655525282025,599
V13,25836.87625726685,969
id_06,24847.10041507706,2744
V281,23717.770132400095,760
V76,23316.40075130388,1139
V75,22853.5498495847,1052
card4,22717.79448118806,561
V38,22074.86121480167,1020
id_01,21805.654420509934,2074
V189,21730.316538970917,141
V78,21418.171175714582,1169
V53,21267.595116369426,1071
V130,20796.40116742626,1657
V20,20589.535013135523,961
V127,18948.798695340753,1871
D6,18423.911760628223,1234
D12,18294.205744896084,1125
V131,18124.57164457068,1061
D14,18107.221978209913,1966
V67,17659.061762951314,657
V35,17567.930167280138,845
V165,17323.403506513685,464
V55,17248.40679179132,566
V19,17236.696341168135,780
id_13,17011.41151703149,2274
V280,16855.06181642413,270
V36,16853.458889588714,937
V49,16727.87093233317,517
V136,15996.492023997009,513
V86,15917.675066176802,756
M8,15535.774046953768,1157
D9,15334.484383150935,2028
D13,14918.990693897009,819
M9,14796.437687426805,1065
M7,14611.063256751746,1063
V133,13813.89923016727,707
C12,13578.478700067848,948
V306,13319.743140019476,1078
V56,13093.635466858745,734
V291,12928.277550674975,681
id_09,12619.081200964749,565
V48,12551.563363142312,562
id_03,12049.47082548216,481
V149,11830.928075283766,167
id_17,11773.412762120366,434
V5,11765.494659349322,808
id_14,11641.551199745387,803
V37,11469.66514890641,557
V128,11381.38874065131,939
V90,11147.59413574636,426
V77,11133.352138593793,686
V44,11028.945548515767,788
M2,10980.80289990455,718
V29,10882.105555642396,363
V24,10876.804611284286,627
V229,10285.956396847963,248
V4,9679.886087603867,533
V296,9442.017569601536,314
V160,9154.901124272496,251
V99,9012.114997636527,334
id_18,8956.860307198018,939
C4,8878.359924823046,530
V201,8820.991052053869,77
V126,8813.712628040463,772
V69,8802.483333989978,363
V289,8448.537999913096,276
V205,8378.313882924616,68
V282,8085.807660676539,650
D7,7891.21327008307,795
V23,7732.073525309563,469
V26,7634.465562850237,470
V66,7493.145312961191,476
V309,7443.071341440082,803
V224,7389.1060262694955,115
V124,7347.609131444246,308
V96,7345.958745103329,573
V318,7205.0923632234335,694
V316,6971.735872298479,592
C3,6873.49080491066,76
V64,6389.2151886336505,177
V270,6217.530096679926,203
V2,6121.665867745876,141
id_11,6075.408588480204,423
V11,6017.369727667421,343
