feature,importance_gain,importance_split
R_emaildomain,717397.9690840952,1772
P_emaildomain,583667.6248295233,9267
C1,529588.2580677867,4596
id_31,453745.9098543972,10029
TransactionAmt,441667.185583137,21662
C14,427597.36011500284,3044
card1,427593.6354846917,22574
V294,415191.33681248873,777
DeviceInfo,414181.2967936918,8105
card2,386058.53769969195,21370
addr1,379064.9691391811,21172
TransactionDT,353666.1301739365,21986
V70,342855.9587991759,434
D2,336062.1614233814,6968
V258,301178.55708847195,244
C13,290690.777485881,7172
card1_prior_count,255122.58372747526,17748
D15,229800.87036772072,10359
id_30,221041.53188338876,3488
card1_prior_count_7d,219750.24922038987,13538
card1_time_since_previous_hours,205374.69288486242,17868
V91,203240.79698241502,390
D10,184988.71806890145,7957
D4,182685.01063076034,7763
id_33,182023.29414089024,2732
dist1,181150.2618353255,11343
C5,181149.3843599148,1428
card5,169435.69494164735,7919
card6,162402.82590975985,629
C2,147069.9986325875,3980
V308,143090.64061871916,1866
C11,138779.4410101585,2950
D1,133112.20535145327,4667
card1_prior_count_24h,125462.2780116722,8850
elapsed_days,114158.18273344263,4492
hour_in_day,108634.53733157367,10601
D3,105240.92133967951,4605
C6,98205.78084113821,2975
D11,93702.09142715856,5084
M5,91198.97230533138,2907
D5,89772.43424700946,4918
M6,78102.4704458788,2580
card3,78101.755694177,909
V312,76734.22215502709,1597
embedding_21,75145.37615842745,9220
embedding_24,74468.61142853275,8461
embedding_00,73321.80238393694,8110
V310,72629.89755527303,2751
embedding_26,72475.1856113486,8748
embedding_09,71574.73175812885,8075
embedding_30,69620.53405472636,8067
V317,69246.49649193883,1605
embedding_28,68505.4206873998,8112
embedding_11,66694.52624414116,8046
id_02,66292.28826063499,6280
D8,65632.35685175657,3974
V314,64060.31964917481,2035
embedding_20,63622.96799281612,7590
V307,62585.41266796738,3468
C9,61534.40773088485,2459
embedding_07,60601.90485860035,7073
embedding_29,58616.23051755503,7583
embedding_06,57037.67490841076,7237
id_01,56620.77128690481,1652
embedding_02,56279.769995678216,6588
M4,55009.28361045197,1043
embedding_18,54736.8584953621,6483
day_in_week_cycle,53910.12572616711,6159
embedding_31,53887.206449866295,6164
V313,52590.692603547126,3041
ProductCD,51983.80810595676,342
V62,51346.43371056765,1392
V30,50037.18115888536,360
id_20,49493.68712384999,4806
V83,48840.963070608675,1495
embedding_01,47056.34303700179,5150
V283,45984.65500507876,940
embedding_08,45124.530694410205,5067
V45,43848.40528396517,952
embedding_27,43829.81423139945,4497
V285,41532.58478647098,703
V320,39358.02266458422,989
V54,38571.22590526566,1149
embedding_22,38568.39396260679,4457
C8,37300.18753037974,895
id_19,37168.86270401254,4756
V315,36629.33645942435,1994
V243,35018.205185979605,143
embedding_04,34822.33692096546,4028
embedding_25,34294.38933779299,4066
V67,33472.0855769068,712
card4,32523.32867560163,657
M3,32404.218981336802,1241
V82,32271.666354950517,1484
V311,32048.629884954542,582
V87,31070.253478050232,1293
V187,27893.916093256325,196
C7,27515.234098628163,448
embedding_17,27403.278183769435,3104
dist2,27011.79205861315,3229
V12,26013.746557753533,830
V281,23692.704570621252,808
V130,23604.268778301775,1754
id_05,23585.145284302533,2361
V53,23323.389963552356,1096
id_06,23232.63094516471,2503
V76,22557.959975462407,1151
V127,20635.41768484935,1975
V61,20544.256999898702,1105
V55,20361.98024675995,529
V189,20067.53704059124,138
V156,20014.07920941338,145
V38,19024.775287572294,960
V49,18779.332769602537,480
V75,18721.836504645646,1027
M9,18483.39446215704,995
V78,18251.57695397362,1174
D6,18119.17365839705,1118
V264,17967.91157450527,673
C10,17947.841829530895,941
V128,17606.351213056594,1038
V13,17605.111372616142,897
V35,17359.511622585356,825
V20,17039.93198169768,903
V229,17020.262695584446,229
M8,16623.277068849653,1200
D14,16438.5584769547,1697
V102,16199.713824622333,282
V133,16091.146873537451,760
id_13,16086.685177702457,1947
V131,15973.84925385192,1069
V36,15892.01361264661,993
M7,15489.563586376607,1041
D9,15096.472935277969,1741
D13,14857.18899518624,698
V136,14682.531963467598,594
V48,14396.711384039372,593
id_09,14283.838960710913,516
C12,13979.007754374295,975
V56,13858.602889049798,774
V29,13830.580911263824,385
V19,13646.464819908142,734
V86,13613.219659540802,673
C4,13080.270858291537,498
D12,12973.202815935016,988
id_14,12817.680393140763,763
V5,12525.970857221633,782
V244,12403.618526827544,70
V309,12273.109043821692,939
V77,12096.273945488036,768
V37,12027.340414900333,533
V165,11987.150283806026,447
V159,11741.494656652212,115
V24,11421.546852983534,585
id_17,11099.368369918317,487
V291,10978.566026441753,768
M2,10811.936108481139,638
id_18,10764.371670037508,892
V66,10738.177638489753,471
id_03,10340.067633748055,403
V201,10326.925407074392,68
V296,10063.371375225484,349
V327,9970.781584084034,6
V4,9969.108779750764,521
V90,9906.845205254853,420
V282,9662.423076141626,612
V69,9290.833328858018,398
V149,9166.06675902009,179
V44,8662.504434481263,687
V306,8648.107901830226,1103
V126,8643.621935550123,912
V160,8608.030492916703,287
V257,8392.94064071402,161
addr2,8095.068857617676,259
V224,8088.350669667125,114
V11,7671.163843665272,388
V289,7610.58803922683,284
V124,7526.989793561399,286
V26,7492.681034363806,487
V318,7407.892913125455,713
V96,7343.3838859423995,605
V129,7299.879439167678,620
V164,7296.597735341638,166
D7,7263.153683383018,681
V170,7097.480621270835,79
V10,6950.339362256229,456
V23,6881.141350664198,394
id_38,6842.47345180437,425
V262,6575.039689578116,152
V332,6450.2129410766065,110
C3,6417.29462146759,66
V2,6324.661582581699,157
V169,6313.442373648286,69
V99,6059.374241050333,328
V137,6033.46371120587,279
V205,6003.995378147811,83
V155,5913.807344079018,10
V316,5884.05390894413,560
V139,5850.822015680373,225
id_11,5705.796534243971,355
V7,5703.085446901619,364
V47,5433.969768099487,371
V150,5280.340014778078,124
V145,5264.086253091693,92
V152,5036.909753657877,218
V207,4891.695243846625,160
V266,4862.648242264986,226
V52,4692.176455948502,333
V6,4590.599799647927,192
V209,4508.626496460289,170
V81,4461.90520914644,233
V234,4440.3224808089435,278
V245,4332.529067255557,208
V319,4329.096966531128,245
V34,4060.02658970654,219
V203,4027.5419319346547,358
V300,3933.276227518916,189
V25,3898.967356365174,262
id_28,3780.944757580757,54
V163,3774.9463191255927,75
V94,3769.560206282884,193
V293,3767.4443386122584,132
V267,3708.979418464005,326
V74,3662.998278684914,337
id_12,3650.9678024873137,36
V64,3548.562915697694,152
V217,3506.0040950402617,73
V231,3421.3445609137416,42
V261,3352.6322433277965,336
V134,3350.755251221359,397
V280,3337.67716961354,268
V268,3327.030259486288,208
V79,3288.973456207663,188
V206,3259.8794243112206,93
V321,3247.87900076434,311
V221,3232.7411300726235,428
V33,3223.3588869720697,195
V161,3214.238715812564,58
V132,3156.601957656443,321
V3,3131.41799864918,292
V73,3076.0130327418447,247
V135,2976.9847413413227,228
V287,2970.24341410771,157
V263,2945.8321213386953,291
V292,2915.26203276217,317
V143,2861.603094793856,117
V270,2803.841353625059,215
V51,2739.9402118325233,316
V42,2723.396959915757,133
id_16,2722.003096073866,219
V323,2655.381058894098,90
V279,2618.134346652776,184
V271,2560.312795832753,203
V173,2535.5290558487177,9
V274,2479.724353849888,333
V265,2362.4219920001924,344
V220,2315.6403891444206,113
V333,2310.7836596667767,45
V295,2244.1236029826105,133
V58,2231.410805553198,118
V219,2230.385559812188,74
V39,2214.755029797554,212
V303,2180.594675336033,121
V290,2172.43940551579,153
V277,2128.752008460462,364
V125,2067.5123520605266,93
V331,2056.1158925443888,59
V43,2006.5975804664195,203
V59,1955.790585398674,96
id_08,1947.233236528933,120
V208,1936.9539069458842,149
V115,1926.0254954993725,94
id_15,1918.0957462489605,51
V97,1876.8280868045986,235
V154,1836.4660944342613,24
id_04,1808.294815890491,153
V216,1799.210147768259,127
V335,1783.998541802168,82
V230,1771.4827914014459,111
V215,1763.0215146020055,179
V273,1745.365778118372,173
V60,1742.263770058751,149
V288,1739.8165137320757,106
V256,1716.9832040518522,125
V40,1682.7591546550393,182
id_07,1654.412690013647,114
V301,1653.0363354086876,99
V259,1650.272332765162,169
V222,1628.9276091493666,268
V275,1617.1534858830273,152
V177,1571.3213063403964,27
V46,1551.6901316419244,164
V105,1522.256118670106,99
V93,1503.8085996210575,74
V202,1503.4238262623549,177
V166,1466.658999800682,123
V214,1436.2669812813401,153
V140,1413.4741185605526,99
V218,1370.6735407300293,147
V338,1343.0652431994677,43
V50,1339.2332017198205,76
V286,1337.799719594419,51
V100,1337.131518393755,93
V171,1292.2661376744509,71
V204,1272.9994425922632,188
id_10,1266.1072596870363,113
V260,1264.8036514408886,126
V9,1258.4854806438088,124
V326,1215.2727422043681,23
V253,1213.1612604930997,74
V123,1183.1302414312959,84
V272,1166.705429404974,116
V211,1161.159401204437,114
V63,1160.4114573933184,104
id_21,1158.2507998347282,52
V158,1139.8678280487657,44
V276,1119.2585270181298,183
V80,1101.144548598677,170
DeviceType,1097.5619166567922,223
V223,1097.3349687606096,32
V57,1062.1624618507922,96
V210,1054.2664079330862,95
id_24,1050.7101200819016,36
V167,1044.48634012416,28
V251,1035.5913676060736,121
V233,1031.8664915114641,71
id_37,1027.697349242866,200
V298,1022.2766557782888,96
embedding_15,1009.6413957104087,53
V8,999.7650759890676,75
V95,999.3566586747766,102
V151,986.7272196635604,50
V324,978.2637215405703,18
V85,977.885992679745,129
V226,970.6358954533935,26
V330,957.5792061835527,13
V176,956.031705699861,45
V248,867.9722338952124,54
V299,864.8306209892035,37
V278,861.4899960272014,172
V212,805.4597773887217,129
V146,793.3401984013617,28
embedding_13,784.0590992495418,72
V172,782.6366504430771,12
V228,781.0708552226424,52
V232,767.518082704395,120
V329,755.0686905421317,20
V103,746.1098682209849,79
V181,745.5779238715768,32
V200,742.8063340336084,103
V147,731.6713861897588,84
V109,722.4506205096841,46
V339,711.4616287946701,39
V92,675.7448226362467,68
V225,655.7690197378397,33
V180,655.5093248672783,33
V16,655.4528370201588,38
V84,651.4484732747078,70
V304,636.5747199505568,65
V238,624.1963667497039,54
V192,623.5543885082006,17
V284,620.0771588385105,51
V178,614.9531363993883,41
id_25,609.4945117235184,47
V108,576.4997925423086,51
V106,562.8712197318673,32
V198,547.9444971829653,29
V336,546.83696975559,47
V157,511.8980956301093,17
V297,504.95339581370354,45
V144,494.56313893944025,50
V190,485.10934268310666,42
V242,476.803952768445,85
V235,475.93610848486423,37
V15,467.46131460368633,51
V162,457.1125609129667,24
V142,446.55098516494036,24
V213,437.09251249581575,87
V185,425.16329161822796,17
V227,410.85197757184505,24
V246,402.3688025660813,50
M1,401.1232545077801,23
V184,399.9824186973274,31
V101,398.46182779222727,67
V239,355.196228466928,97
V98,352.41104389727116,24
V118,350.085518270731,15
id_32,349.024352632463,55
V188,343.10282780230045,65
V179,337.1681941449642,21
V17,321.5879577547312,54
V168,320.48183961212635,36
V72,315.3820333182812,65
V186,308.4723134189844,30
V71,300.7000170350075,38
V31,299.52490033209324,45
V121,299.2286461889744,10
V18,295.6533930450678,38
id_29,285.5178585499525,31
V302,285.19774121046066,28
id_26,284.3245825506747,35
V250,274.1085509210825,15
V182,270.6450420767069,19
V237,262.12606409192085,36
V104,250.0724298208952,28
id_34,247.52553129196167,5
V148,247.2552650347352,13
V22,238.30543899536133,28
V122,227.3377878665924,10
embedding_16,224.9695154428482,21
id_36,206.14250572025776,13
V116,203.07576204836369,36
V175,195.13728384673595,8
V322,190.12602345645428,11
V236,185.1504112482071,30
V254,179.72321540117264,31
V112,179.48406831920147,36
V110,179.46950787305832,8
V21,177.43475426733494,33
V255,176.87855657190084,28
V199,169.88814201951027,36
id_23,168.44751508533955,10
embedding_19,137.55749201774597,10
V1,128.36709785461426,2
id_35,115.78586855530739,18
V32,105.97893100231886,17
V240,101.83693885803223,3
V114,97.25552797317505,8
V249,86.19581735879183,21
V337,85.28746289387345,12
V120,79.3428783416748,4
V174,63.73865148425102,6
V119,56.883100509643555,3
V269,56.646058440208435,3
V247,52.691070042550564,10
V252,51.93351410329342,8
V191,50.568010687828064,6
V197,46.4721620157361,8
V334,44.772750698029995,9
V141,42.73822396993637,10
V193,37.41200350224972,9
V113,37.189095199108124,4
V195,29.5561039224267,5
V183,28.43251085281372,8
V194,26.176112234592438,3
V196,19.86901915818453,6
V153,8.263046652078629,6
V68,7.748159885406494,1
V138,1.2052600383758545,1
id_22,1.1874799728393555,1
V111,0.5524604916572571,2
V328,0.4910424053668976,3
V14,0.3470880091190338,1
V107,0.0,0
V117,0.0,0
V241,0.0,0
V27,0.0,0
V28,0.0,0
V305,0.0,0
V325,0.0,0
V41,0.0,0
V65,0.0,0
V88,0.0,0
V89,0.0,0
embedding_03,0.0,0
embedding_05,0.0,0
embedding_10,0.0,0
embedding_12,0.0,0
embedding_14,0.0,0
embedding_23,0.0,0
id_27,0.0,0
