alerts,true_positives,false_positives,false_negatives,precision,recall,variant,alerts_per_day,alert_fraction_of_volume,recall_delta_vs_b0,precision_delta_vs_b0,additional_frauds_caught_vs_b0
314,304,10,2738,0.9681528662420382,0.09993425378040763,B0,10,0.0035447782255788487,0.0,0.0,0
785,748,37,2294,0.9528662420382166,0.24589086127547666,B0,25,0.008861945563947121,0.0,0.0,0
1571,1342,229,1700,0.8542329726288987,0.44115713346482577,B0,50,0.017735180230523475,0.0,0.0,0
3141,1862,1279,1180,0.5928048392231773,0.6120973044049968,B0,100,0.03545907135841772,0.0,0.0,0
6282,2249,4033,793,0.3580070041388093,0.7393162393162394,B0,200,0.07091814271683544,0.0,0.0,0
12564,2536,10028,506,0.20184654568608723,0.8336620644312952,B0,400,0.14183628543367088,0.0,0.0,0
25128,2759,22369,283,0.10979783508436804,0.9069690992767916,B0,800,0.28367257086734177,0.0,0.0,0
50256,2930,47326,112,0.05830149633874562,0.9631821170282708,B0,1600,0.5673451417346835,0.0,0.0,0
314,306,8,2736,0.9745222929936306,0.10059171597633136,B1-card_core_addr1,10,0.0035447782255788487,0.0006574621959237331,0.006369426751592355,2
785,747,38,2295,0.9515923566878981,0.2455621301775148,B1-card_core_addr1,25,0.008861945563947121,-0.0003287310979618596,-0.001273885350318471,-1
1571,1347,224,1695,0.8574156588160408,0.4428007889546351,B1-card_core_addr1,50,0.017735180230523475,0.0016436554898093259,0.0031826861871420142,5
3141,1845,1296,1197,0.5873925501432665,0.606508875739645,B1-card_core_addr1,100,0.03545907135841772,-0.005588428665351808,-0.005412289079910759,-17
6282,2239,4043,803,0.35641515440942373,0.7360289283366206,B1-card_core_addr1,200,0.07091814271683544,-0.0032873109796187627,-0.001591849729385586,-10
12564,2533,10031,509,0.2016077682266794,0.8326758711374096,B1-card_core_addr1,400,0.14183628543367088,-0.0009861932938856066,-0.00023877745940784068,-3
25128,2755,22373,287,0.10963865011142948,0.9056541748849442,B1-card_core_addr1,800,0.28367257086734177,-0.0013149243918474385,-0.00015918497293855582,-4
50256,2923,47333,119,0.058162209487424385,0.9608809993425378,B1-card_core_addr1,1600,0.5673451417346835,-0.002301117685733045,-0.00013928685132123808,-7
314,305,9,2737,0.9713375796178344,0.10026298487836949,B1-card1,10,0.0035447782255788487,0.0003287310979618596,0.0031847133757961776,1
785,747,38,2295,0.9515923566878981,0.2455621301775148,B1-card1,25,0.008861945563947121,-0.0003287310979618596,-0.001273885350318471,-1
1571,1348,223,1694,0.8580521960534692,0.443129520052597,B1-card1,50,0.017735180230523475,0.0019723865877712132,0.003819223424570417,6
3141,1869,1272,1173,0.5950334288443171,0.6143984220907298,B1-card1,100,0.03545907135841772,0.002301117685733045,0.0022285896211398093,7
6282,2269,4013,773,0.3611907035975804,0.7458908612754767,B1-card1,200,0.07091814271683544,0.006574621959237303,0.003183699458771061,20
12564,2582,9982,460,0.205507800063674,0.8487836949375411,B1-card1,400,0.14183628543367088,0.015121630506245931,0.00366125437758677,46
25128,2773,22355,269,0.11035498248965298,0.9115713346482577,B1-card1,800,0.28367257086734177,0.00460223537146609,0.0005571474052849384,14
50256,2935,47321,107,0.05840098694683222,0.9648257725180802,B1-card1,1600,0.5673451417346835,0.0016436554898093814,9.949060808659566e-05,5
314,306,8,2736,0.9745222929936306,0.10059171597633136,B1-card1_card2,10,0.0035447782255788487,0.0006574621959237331,0.006369426751592355,2
785,747,38,2295,0.9515923566878981,0.2455621301775148,B1-card1_card2,25,0.008861945563947121,-0.0003287310979618596,-0.001273885350318471,-1
1571,1358,213,1684,0.864417568427753,0.44641683103221563,B1-card1_card2,50,0.017735180230523475,0.005259697567389865,0.010184595798854224,16
3141,1879,1262,1163,0.5982171283030882,0.6176857330703485,B1-card1_card2,100,0.03545907135841772,0.005588428665351697,0.00541228907991087,17
6282,2251,4031,791,0.3583253740846864,0.739973701512163,B1-card1_card2,200,0.07091814271683544,0.0006574621959236637,0.0003183699458770839,2
12564,2564,10000,478,0.20407513530722698,0.8428665351742275,B1-card1_card2,400,0.14183628543367088,0.009204470742932291,0.002228589621139754,28
25128,2769,22359,273,0.11019579751671442,0.9102564102564102,B1-card1_card2,800,0.28367257086734177,0.0032873109796186517,0.0003979624323463826,10
50256,2931,47325,111,0.05832139446036294,0.9635108481262328,B1-card1_card2,1600,0.5673451417346835,0.0003287310979619429,1.9898121617317743e-05,1
314,308,6,2734,0.9808917197452229,0.1012491781722551,G1-card1,10,0.0035447782255788487,0.0013149243918474662,0.01273885350318471,4
785,747,38,2295,0.9515923566878981,0.2455621301775148,G1-card1,25,0.008861945563947121,-0.0003287310979618596,-0.001273885350318471,-1
1571,1315,256,1727,0.8370464672183323,0.43228139381985536,G1-card1,50,0.017735180230523475,-0.008875739644970404,-0.017186505410566433,-27
3141,1804,1337,1238,0.574339382362305,0.5930309007232084,G1-card1,100,0.03545907135841772,-0.019066403681788358,-0.01846545686087231,-58
6282,2174,4108,868,0.3460681311684177,0.7146614069690993,G1-card1,200,0.07091814271683544,-0.024654832347140054,-0.01193887297039159,-75
12564,2475,10089,567,0.1969914040114613,0.8136094674556213,G1-card1,400,0.14183628543367088,-0.020052596975673853,-0.004855141674625918,-61
25128,2713,22415,329,0.10796720789557465,0.8918474687705457,G1-card1,800,0.28367257086734177,-0.015121630506245931,-0.001830627188793385,-46
50256,2900,47356,142,0.05770455269022604,0.9533201840894149,G1-card1,1600,0.5673451417346835,-0.009861932938855955,-0.0005969436485195809,-30
