variant,alerts_per_day,cost_ratio_missed_fraud_to_false_alert,false_positives,false_negatives,total_cost_in_false_alert_units,costs_are_illustrative,cost_minimising_alerts_per_day
B0,10,5,10,2738,13700,True,100
B0,25,5,37,2294,11507,True,100
B0,50,5,229,1700,8729,True,100
B0,100,5,1279,1180,7179,True,100
B0,200,5,4033,793,7998,True,100
B0,400,5,10028,506,12558,True,100
B0,800,5,22369,283,23784,True,100
B0,1600,5,47326,112,47886,True,100
B1-card_core_addr1,10,5,8,2736,13688,True,100
B1-card_core_addr1,25,5,38,2295,11513,True,100
B1-card_core_addr1,50,5,224,1695,8699,True,100
B1-card_core_addr1,100,5,1296,1197,7281,True,100
B1-card_core_addr1,200,5,4043,803,8058,True,100
B1-card_core_addr1,400,5,10031,509,12576,True,100
B1-card_core_addr1,800,5,22373,287,23808,True,100
B1-card_core_addr1,1600,5,47333,119,47928,True,100
B1-card1,10,5,9,2737,13694,True,100
B1-card1,25,5,38,2295,11513,True,100
B1-card1,50,5,223,1694,8693,True,100
B1-card1,100,5,1272,1173,7137,True,100
B1-card1,200,5,4013,773,7878,True,100
B1-card1,400,5,9982,460,12282,True,100
B1-card1,800,5,22355,269,23700,True,100
B1-card1,1600,5,47321,107,47856,True,100
B1-card1_card2,10,5,8,2736,13688,True,100
B1-card1_card2,25,5,38,2295,11513,True,100
B1-card1_card2,50,5,213,1684,8633,True,100
B1-card1_card2,100,5,1262,1163,7077,True,100
B1-card1_card2,200,5,4031,791,7986,True,100
B1-card1_card2,400,5,10000,478,12390,True,100
B1-card1_card2,800,5,22359,273,23724,True,100
B1-card1_card2,1600,5,47325,111,47880,True,100
G1-card1,10,5,6,2734,13676,True,100
G1-card1,25,5,38,2295,11513,True,100
G1-card1,50,5,256,1727,8891,True,100
G1-card1,100,5,1337,1238,7527,True,100
G1-card1,200,5,4108,868,8448,True,100
G1-card1,400,5,10089,567,12924,True,100
G1-card1,800,5,22415,329,24060,True,100
G1-card1,1600,5,47356,142,48066,True,100
B0,10,10,10,2738,27390,True,200
B0,25,10,37,2294,22977,True,200
B0,50,10,229,1700,17229,True,200
B0,100,10,1279,1180,13079,True,200
B0,200,10,4033,793,11963,True,200
B0,400,10,10028,506,15088,True,200
B0,800,10,22369,283,25199,True,200
B0,1600,10,47326,112,48446,True,200
B1-card_core_addr1,10,10,8,2736,27368,True,200
B1-card_core_addr1,25,10,38,2295,22988,True,200
B1-card_core_addr1,50,10,224,1695,17174,True,200
B1-card_core_addr1,100,10,1296,1197,13266,True,200
B1-card_core_addr1,200,10,4043,803,12073,True,200
B1-card_core_addr1,400,10,10031,509,15121,True,200
B1-card_core_addr1,800,10,22373,287,25243,True,200
B1-card_core_addr1,1600,10,47333,119,48523,True,200
B1-card1,10,10,9,2737,27379,True,200
B1-card1,25,10,38,2295,22988,True,200
B1-card1,50,10,223,1694,17163,True,200
B1-card1,100,10,1272,1173,13002,True,200
B1-card1,200,10,4013,773,11743,True,200
B1-card1,400,10,9982,460,14582,True,200
B1-card1,800,10,22355,269,25045,True,200
B1-card1,1600,10,47321,107,48391,True,200
B1-card1_card2,10,10,8,2736,27368,True,200
B1-card1_card2,25,10,38,2295,22988,True,200
B1-card1_card2,50,10,213,1684,17053,True,200
B1-card1_card2,100,10,1262,1163,12892,True,200
B1-card1_card2,200,10,4031,791,11941,True,200
B1-card1_card2,400,10,10000,478,14780,True,200
B1-card1_card2,800,10,22359,273,25089,True,200
B1-card1_card2,1600,10,47325,111,48435,True,200
G1-card1,10,10,6,2734,27346,True,200
G1-card1,25,10,38,2295,22988,True,200
G1-card1,50,10,256,1727,17526,True,200
