feature,importance_gain,importance_split
V258,854254.0888572261,242
P_emaildomain,576821.7537519112,9881
card1,564765.7026534602,30314
card2,537813.3378777802,27019
C14,534862.4805511534,3353
TransactionAmt,520251.9846989438,28389
TransactionDT,504325.08947934955,29372
id_31,445230.84808627516,9442
addr1,445075.2951299697,26051
V317,432611.7653262019,1415
D2,420342.348052077,7194
DeviceInfo,416015.6212913245,8303
V70,368097.8135280609,476
C13,316852.34455352277,7656
D15,278334.55700509995,11288
C1,266660.4248944819,4563
dist1,239891.036016576,13900
card1_time_since_previous_hours,239611.57412382215,24438
V91,226246.00031358004,409
id_30,218529.04088378698,3792
D10,215312.34464223683,8234
id_33,212559.20595538616,2915
D4,210108.37812726945,8164
card5,205484.09317081422,10181
R_emaildomain,201419.53800793737,1898
card6,187641.36889867485,706
C11,185123.31116984785,3048
C8,184731.68158462644,952
C2,152709.63831799477,4076
hour_in_day,150613.25234486163,14797
D1,147186.68913763762,4719
card1_prior_count,139044.61475200206,16250
C5,139007.50779157877,1538
V308,119724.82112692297,1628
D3,116164.26766438037,4922
M5,113511.4096173495,3844
V312,109691.79086354375,1444
C6,108768.46524994075,3195
D11,107394.00427369028,5602
card1_prior_count_7d,104789.26685328782,12571
M6,102508.07744244486,3365
elapsed_days,99142.33725059777,5979
D5,93695.9546097815,5583
card3,86613.87482629716,1048
day_in_week_cycle,80606.12327659875,8344
id_02,80251.4202292785,7272
C9,77966.6833767891,2657
D8,75667.84391132742,4155
card1_prior_count_24h,69614.01400273293,7840
V313,69152.90953806788,2960
M4,67066.32389130443,1320
id_20,64930.950090013444,5453
V310,60636.80105829239,2469
V62,55276.71748018265,1376
ProductCD,54901.608578294516,349
V294,53445.212640054524,609
V83,51417.92960137129,1533
V307,51079.660202778876,3146
id_19,47629.55212381482,5234
V45,47151.06066520512,999
V314,47009.18534554541,1738
V283,42249.21141731739,921
V87,40692.00838279724,1197
V82,40276.20113758743,1406
M3,39870.47149199247,1539
id_01,39003.23010404408,1957
V243,38594.23294430971,120
card4,38430.95137810707,827
C4,37576.69616745412,486
V315,37559.612492874265,1819
V285,37278.11265859008,616
dist2,37038.95120801777,3825
V76,36823.54555977881,1288
V320,34281.97201530635,788
V53,33214.2393489033,1202
V54,31569.48356934637,1133
V133,31283.822669297457,637
id_05,31028.176297806203,2665
C7,30702.921498522162,470
V187,28809.608071491122,152
id_06,28676.69897787273,2666
V130,28292.700640961528,1678
V61,27752.20433025807,1122
V309,27710.816636279225,842
V35,26729.390636891127,941
V13,25309.664512082934,980
V127,25251.089695602655,1796
M8,24807.31648130715,1729
C10,23230.229611724615,1015
V281,23109.206687301397,688
V38,23020.038340225816,1031
V49,23001.791796177626,563
V67,22787.52582630515,609
D14,22265.502870984375,1964
V12,21781.21561847627,903
