feature_a,feature_b,spearman_r,p_value,n_valid_pairs,relation
card1_prior_count,card1_prior_count_24h,0.8326806676050273,0.0,413378,card1
card1_prior_count,card1_prior_count_7d,0.9025938516260865,0.0,413378,card1
card1_prior_count,card1_time_since_previous_hours,-0.5868714353802129,0.0,401136,card1
card1_prior_count_24h,card1_prior_count_7d,0.9488299613544207,0.0,413378,card1
card1_prior_count_24h,card1_time_since_previous_hours,-0.7532520283513306,0.0,401136,card1
card1_prior_count_7d,card1_time_since_previous_hours,-0.6876117121572306,0.0,401136,card1
card1_card2_prior_count,card1_card2_prior_count_24h,0.8376153420780618,0.0,413378,card1_card2
card1_card2_prior_count,card1_card2_prior_count_7d,0.9070201239327118,0.0,413378,card1_card2
card1_card2_prior_count,card1_card2_time_since_previous_hours,-0.5855980200249739,0.0,394660,card1_card2
card1_card2_prior_count_24h,card1_card2_prior_count_7d,0.9490781072740382,0.0,413378,card1_card2
card1_card2_prior_count_24h,card1_card2_time_since_previous_hours,-0.7525338593642491,0.0,394660,card1_card2
card1_card2_prior_count_7d,card1_card2_time_since_previous_hours,-0.6861639015756273,0.0,394660,card1_card2
card_core_prior_count,card_core_prior_count_24h,0.8357886352115977,0.0,413378,card_core
card_core_prior_count,card_core_prior_count_7d,0.906465655290166,0.0,413378,card_core
card_core_prior_count,card_core_time_since_previous_hours,-0.5819960586560712,0.0,392842,card_core
card_core_prior_count_24h,card_core_prior_count_7d,0.9485968544979478,0.0,413378,card_core
card_core_prior_count_24h,card_core_time_since_previous_hours,-0.7526167974765139,0.0,392842,card_core
card_core_prior_count_7d,card_core_time_since_previous_hours,-0.6852135423980732,0.0,392842,card_core
card_full_prior_count,card_full_prior_count_24h,0.8358247511609781,0.0,413378,card_full
card_full_prior_count,card_full_prior_count_7d,0.9064957772333632,0.0,413378,card_full
card_full_prior_count,card_full_time_since_previous_hours,-0.5819696623059996,0.0,392816,card_full
card_full_prior_count_24h,card_full_prior_count_7d,0.9486013115526862,0.0,413378,card_full
card_full_prior_count_24h,card_full_time_since_previous_hours,-0.752601314494688,0.0,392816,card_full
card_full_prior_count_7d,card_full_time_since_previous_hours,-0.6851827063654247,0.0,392816,card_full
card_core_addr1_prior_count,card_core_addr1_prior_count_24h,0.7465373756743626,0.0,413378,card_core_addr1
card_core_addr1_prior_count,card_core_addr1_prior_count_7d,0.9016766549918607,0.0,413378,card_core_addr1
card_core_addr1_prior_count,card_core_addr1_time_since_previous_hours,-0.5223896898450314,0.0,325017,card_core_addr1
card_core_addr1_prior_count_24h,card_core_addr1_prior_count_7d,0.8543463427562424,0.0,413378,card_core_addr1
card_core_addr1_prior_count_24h,card_core_addr1_time_since_previous_hours,-0.8224651922505576,0.0,325017,card_core_addr1
card_core_addr1_prior_count_7d,card_core_addr1_time_since_previous_hours,-0.6965279639658045,0.0,325017,card_core_addr1
